username,orario,text
JohnDelaney,2023-10-19 17:11:33+00:00,Looks like this is happening.
JohnDelaney,2023-10-19 03:12:50+00:00,One of the ways climate risk will destabilize markets is through home insurance (which reprices every year). Premiums in certain areas at risk of extreme weather are skyrocketing to levels that will make them unaffordable for residents  https://t.co/yUQNEyTKIh
JohnDelaney,2023-10-19 00:46:09+00:00,Well said.
SenFettermanPA,2023-10-18 21:24:51+00:00,"It’s truly disturbing that Members of Congress rushed to blame Israel for the hospital tragedy in Gaza.  

Who would take the word of a group that just massacred innocent Israeli civilians over our key ally?"
JohnDelaney,2023-10-18 14:59:13+00:00,"With the changes in net metering, California killed the residential solar industry in its state in favor of the utility lobby - its that simple."
JohnDelaney,2023-09-26 17:54:10+00:00,This is a very well done statement.
SenBooker,2023-09-26 17:16:22+00:00,My statement on Senator Robert Menendez. https://t.co/h7WY9EWwUz
JohnDelaney,2021-11-03 22:03:42+00:00,"Today at #COP26, the world’s biggest banks &amp; investors took an important &amp; necessary step to keep 1.5° alive. Climate change is a risk to everyone’s bottom line, but when we finance the green transition we all win. I hope more banks will join soon. https://t.co/qMCR8OD4x3"
JohnDelaney,2023-09-22 20:11:33+00:00,April and one of the absolute best leaders in America @jaredpolis making it happen in Colorado!
DelaneyNTIA,2023-09-21 20:20:27+00:00,"I was honored to join my good friend @GovofCO in Boulder today to recognize the winners of the 2023 5G Challenge.

These companies are delivering a future of open, interoperable wireless technologies, more jobs, and stronger supply chains. Read more: https://t.co/FbTNjQbSvU https://t.co/Gf7lGxv5EB"
JohnDelaney,2023-09-22 15:50:19+00:00,"The world continues to fragment, which leads to isolation/conflict, which leads to disrupted supply chains, which leads to higher long term inflation and interest rates

Republican dysfunction makes this worse as it causes the world to doubt the US, accelerating fragmentation..."
JohnDelaney,2023-09-21 21:33:36+00:00,"The conventional wisdom is that interest rates are currently high - this view is NOT supported by the facts. Today's 10 yr Treasury yield is well below the 40 yr average &amp; the economy is strong/growing, which indicates rates are certainly not too high. Rates could certainly go up"
JohnDelaney,2023-09-21 01:39:20+00:00,Well said.
MileHighSports,2023-09-19 20:11:36+00:00,"Coach Prime on Henry Blackburn: 

“I forgive him. Our team forgives him. Travis Hunter has forgiven him. Let's move on. That kid does not deserve that.”

 https://t.co/7JokjGR74b"
JohnDelaney,2023-09-20 16:57:18+00:00,Enjoyed moderating a discussion with the terrific Director of ⁦@WHOSTP⁩ Arati Prabhakar at the Global AI Forum. https://t.co/vd7wQeuSMv
JohnDelaney,2023-09-20 16:07:58+00:00,Great to participate at this event during #climateweek
ForbrightBank,2023-09-19 16:44:21+00:00,"We’re thrilled to hear from our very own founder &amp; executive 
chairman, @JohnDelaney on his remarks around sustainability and 
supporting a greener economy. https://t.co/w4VVCTCz9x"
JohnDelaney,2023-09-16 18:34:03+00:00,"A lot of pundits with no experience in the science of aging are declaring the President ""too old"" to be running.  These declarations by medically untrained pundits contradict what experts believe. See attached NYT analysis from 10 real experts in aging.  https://t.co/vLlLAhnJBG"
JohnDelaney,2023-09-14 17:48:14+00:00,"To all those ""experts"" with absolute conviction about the direction of the economy I quote famous economist and recipient of both WWII and Presidential Medal of Freedom John Kenneth Galbraith:

""The only function of economic forecasting is to make astrology look respectable"""
JohnDelaney,2023-09-14 03:47:13+00:00,Wow!  This is an extraordinary look into Mitt Romney's experience in the Senate.  https://t.co/9iyHm6QbS0
JohnDelaney,2023-09-13 15:21:38+00:00,"Go @Summer_Delaney⁩ - working to close pay gap!

""Delaney never wants her team to feel the way she did and hopes to build a culture where all workers are appreciated. One technique is pay transparency for job postings on ⁦⁦@CollabWORK_co⁩"" https://t.co/fUPEIjUIK3"
JohnDelaney,2023-09-11 14:26:12+00:00,"1/ We all carry memories of the tragic events of 9/11 - a day we must never forget. Growing up in one of the many blue-collar towns in North Jersey, I could see those towers from my home as a kid.  They were always present, looming like muscular symbols of America’s might."
JohnDelaney,2023-09-11 14:26:14+00:00,"9/ It was a terrible day for America. Three thousand Americans had everything taken away from them that day, and their families and friends and first responders still carry the pain. It defined a generation, including many who decided that day to serve our great nation in uniform"
JohnDelaney,2023-09-11 14:26:15+00:00,"10/ We continue to pray for the victims who tragically and wrongly lost their lives that day - may they Rest In Peace. We honor the victim's families and heroic responders and post 9/11 veterans who still suffer from the terrible events and the aftermath 

Never forget. ❤️🇺🇸🙏"
JohnDelaney,2021-11-03 22:03:42+00:00,"Today at #COP26, the world’s biggest banks &amp; investors took an important &amp; necessary step to keep 1.5° alive. Climate change is a risk to everyone’s bottom line, but when we finance the green transition we all win. I hope more banks will join soon. https://t.co/qMCR8OD4x3"
JohnDelaney,2023-09-11 14:26:12+00:00,"1/ We all carry memories of the tragic events of 9/11 - a day we must never forget. Growing up in one of the many blue-collar towns in North Jersey, I could see those towers from my home as a kid.  They were always present, looming like muscular symbols of America’s might."
JohnDelaney,2023-09-11 14:26:14+00:00,8/ What we do know was that a group of exceptionally brave Americans on flight 93 – who in their sacrifice represented the very best in us – took matters into their own hands and downed that last plane.  “Let’s Roll” were their heroic words as they stormed the cabin.
JohnDelaney,2023-09-11 14:26:14+00:00,"9/ It was a terrible day for America. Three thousand Americans had everything taken away from them that day, and their families and friends and first responders still carry the pain. It defined a generation, including many who decided that day to serve our great nation in uniform"
JohnDelaney,2023-09-11 03:59:30+00:00,Powerful and moving.  https://t.co/btAEORw3rN
JohnDelaney,2023-09-11 03:37:36+00:00,Amazing gesture. Novak is the GOAT in tennis.
usopen,2023-09-11 01:44:19+00:00,Novak hits 24 and pays tribute to the late Kobe Bryant 💙 https://t.co/rDXVUvYe1Z
JohnDelaney,2023-09-10 17:51:22+00:00,Biden Admin was smart to work out a deal with ⁦@Tesla⁩ as they have a vastly larger charging network.  Creating a flexible national network with real capacity is critical.  https://t.co/sDwybYqJqk
JohnDelaney,2023-09-04 22:18:29+00:00,The fact that we stopped the continued innovation of nuclear energy over fears of what we do with the waste is an utter tragedy.
energybants,2023-09-04 07:09:20+00:00,"HOW TO SOLVE NUCLEAR WASTE:

1. Collect the spent fuel
2. Put it in an iron container
3. Put that in a copper container
4. Put that in a hole surrounded by clay...
5. ...Deep in stable granite.

Done.

Note: we can store it above ground but this is one failsafe way to bury it. https://t.co/wqcL60DiLG"
JohnDelaney,2023-09-04 17:36:42+00:00,Someone should do an analysis of where the debt levels would be if Simpson Bowles had passed.  I suspect much lower &amp; it will remind us that the cost of doing nothing is not nothing. In this case not passing Simpson Bowles cost future generations trillions https://t.co/FjahbxZK2s
JohnDelaney,2023-09-04 05:19:45+00:00,The fiscal health of the nation is bad and every Member of Congress currently serving has their fingerprints on it.  https://t.co/FjahbxZK2s
JohnDelaney,2023-09-03 06:34:19+00:00,"You have to love Deion Sanders - what he did in his Colorado coaching debut is as amazing as he promised.  This man has backed up everything he has ever promised in football. From completely shutting down the best wide receivers of his era to now coaching
 https://t.co/XC9XkdMVr2"
JohnDelaney,2023-09-03 06:28:19+00:00,https://t.co/XC9XkdMVr2
JohnDelaney,2023-09-03 05:07:58+00:00,Bill Richardson spent a considerable amount of his life tackling some of the most difficult work - working to free other human beings held hostage.   He was an impactful and distinguished public servant but his hostage work was particularly admirable. https://t.co/3q43KqHouY
JohnDelaney,2023-08-31 15:30:05+00:00,For decades people have fought dense development under a hijacked NIMBY progressive banner only to contribute to an affordable housing shortage and a worse climate footprint
maxdubler,2023-08-30 13:13:12+00:00,"“Many people who have genuinely progressive values oppose new housing because they believe that doing so somehow puts them on the side of the working people &amp; against the greedy developers. Unfortunately, no. It puts you on the side of the Blackstone REIT and its pricing power.”"
JohnDelaney,2023-08-31 13:23:12+00:00,Well and truly said by one of our country's great leaders @jaredpolis
abbydphillip,2023-08-31 05:58:32+00:00,"Colorado Gov. @jaredpolis responds after a school tells a 12y old he can’t wear a Gadsden Flag on his backpack:  “If we want the moral high ground to say schools should let be banning rainbow flags on kids, binders or backpacks to celebrate pride, we have to also say they should be banning free-speech on the other side.”"
JohnDelaney,2021-11-03 22:03:42+00:00,"Today at #COP26, the world’s biggest banks &amp; investors took an important &amp; necessary step to keep 1.5° alive. Climate change is a risk to everyone’s bottom line, but when we finance the green transition we all win. I hope more banks will join soon. https://t.co/qMCR8OD4x3"
JohnDelaney,2023-08-31 03:17:50+00:00,"The only way to establish term limits on Members of Congress is via a Constitutional Amendment, which is exceedingly rare. The last Amendment was 30 yrs ago (it was proposed over 200 years ago!). We haven't even passed the Equal Rights Amendment, which is unassailable!"
billscher,2023-08-31 00:18:58+00:00,"For goodness sake, individual politicians with health issues does not in any way make a convincing argument for term limits"
JohnDelaney,2023-08-30 15:44:42+00:00,"Destroying art or blocking roads in the name of climate action is hurting the cause as it turns people off to the climate movement

Addressing the climate threat involves passing more good laws like the IRA, investing in climate innovation/infrastructure &amp; bringing everyone along"
JohnDelaney,2023-08-30 14:17:36+00:00,"Structural changes to the US &amp; global economy may lead to rates staying elevated for a long time (the average rates across the 90s were close to today's rate).  If this comes to pass, interest on our federal debt will grow significantly &amp; lead to some form of fiscal crisis"
JohnDelaney,2023-08-24 15:42:45+00:00,"Take Tim Scott and Doug Burgum as an example. Last night they weren't rude or obnoxious and followed the debate rules and they are deemed ""losers"" of the debate as a result. We have a truly crazy system of selecting our nominees."
JohnDelaney,2023-08-24 15:37:17+00:00,After watching last nights debate - and reflecting on the Dem debates from '20 - it is clear to me that these large format debates are worthless.  They tell you nothing about the candidates other than which ones are skilled at remembering a zinger and finding a spot to insert it.
JohnDelaney,2023-08-24 05:03:16+00:00,"Governor Burgum just used the @TimRyan framing of working for people who ""shower at the end of the day, not at the beginning"""
JohnDelaney,2023-08-23 15:09:18+00:00,"1/4 Simple way of thinking about climate change:  

Across time our world has had ice caps and had no ice caps, depending on the average temperature. When there are no ice caps the world is warmer and much of it is covered in water."
JohnDelaney,2023-08-23 15:09:18+00:00,3/4 Think of it like your freezer.  Once the temperature gets above 32 degrees the ice in your freezer will melt. It may not melt immediately but it will certainly melt.
JohnDelaney,2023-08-23 15:09:19+00:00,"4/4 We are fast approaching an average temperature that will put the earth on a trajectory that the ice caps will certainly melt. There is no way to reverse it or cool the earth. Then, slowly but surely, more of the earth will be covered in water threatening life as we know it."
JohnDelaney,2023-08-23 14:22:17+00:00,.⁦@iamwesmoore⁩ is right to focus on American Legion Bridge - aside from a huge traffic bottleneck it is a significant security risk for our region/nation as is in integral to a functioning DC Metro Region https://t.co/jHHaCs7bXt
JohnDelaney,2023-08-23 04:12:09+00:00,But why a 2% target and not 3%? It's hasn't always been 2%.
jasonfurman,2023-08-22 21:55:57+00:00,"We're now debating tactics. Optimal inflation target is &gt;2% but how much does the Fed need to do to re-establish its credibility before shifting?

@paulkrugman says it has done enough already, @MichaelRStrain thinks need multiple years of low inflation before shifting."
JohnDelaney,2023-08-21 02:05:17+00:00,Too many people shamefully think we are the only species that matter and that we can treat this amazing planet anyway we please.  They need to open their eyes.
AMAZlNGNATURE,2023-08-20 14:25:00+00:00,Rare footage of two endangered golden monkeys hugging https://t.co/rwAdeT4Sqp
JohnDelaney,2023-08-21 01:10:08+00:00,If we are entering a long period of elevated interest rates (and even elevated is a stretch as today's rates match historical averages) then the large debt levels carried by many nations (including us) will deprive the next generation of gov't investment https://t.co/YbmEtFu8Zo
JohnDelaney,2023-08-18 19:56:48+00:00,The BEST thing to ever happen to me happened 34 years ago today. ❤️ https://t.co/xhXtVPhwGU
JohnDelaney,2023-08-12 21:19:48+00:00,"Relative to other G7 nations, the U.S. economy is growing at a faster rate, unemployment is low and inflation is falling at a faster rate

While our politics is broken and divisive our economic model is an unrivaled marvel 

Never bet against the United States of America 🇺🇸"
JohnDelaney,2023-08-09 22:22:12+00:00,"There are 2 reasons why the ""Dems don't want Biden to run"" polling narrative circulating in the media is entirely misleading: (1) the most relevant polling statistic is Biden's broad and strong support among Dems &amp; (2) when asked voters ALWAYS express ""I want more choices"" views"
JohnDelaney,2023-08-07 04:44:20+00:00,"France has largely eliminated fossil fuels from its electricity generation because of their embrace of nuclear energy.   

It is hard to decarbonization without nuclear energy. https://t.co/gEweolicDZ"
