username,orario,text
KamalaHarris,2023-09-29 13:59:37+00:00,RT @.@POTUS and I welcomed the President’s Board of Advisors on Historically Black Colleges and Universities to the White House earlier this week to discuss the critical role HBCUs play in educating and training our nation's young leaders. https://t.co/FpR579jJXK
VP,2023-09-29 00:43:18+00:00,.@POTUS and I welcomed the President’s Board of Advisors on Historically Black Colleges and Universities to the White House earlier this week to discuss the critical role HBCUs play in educating and training our nation's young leaders. https://t.co/FpR579jJXK
KamalaHarris,2023-09-28 16:35:46+00:00,RT @.@POTUS and I are proud to lead the most pro-union Administration in history. Thank you to @IBEW Local 743 for your leadership and for making me an honorary union member. https://t.co/eMqKay4lFf
VP,2023-09-28 16:22:06+00:00,.@POTUS and I are proud to lead the most pro-union Administration in history. Thank you to @IBEW Local 743 for your leadership and for making me an honorary union member. https://t.co/eMqKay4lFf
KamalaHarris,2023-09-28 01:34:31+00:00,My message to young people: Your vote is your voice. https://t.co/2tnAgFJBZ5
KamalaHarris,2023-09-27 13:56:47+00:00,RT @The leaders of the Congressional Black Caucus have always led the march forward for civil rights. @POTUS and I are proud to stand alongside you to continue the fight for our most fundamental freedoms. https://t.co/UMZSCCtZXL
VP,2023-09-27 04:30:00+00:00,The leaders of the Congressional Black Caucus have always led the march forward for civil rights. @POTUS and I are proud to stand alongside you to continue the fight for our most fundamental freedoms. https://t.co/UMZSCCtZXL
KamalaHarris,2023-09-27 02:05:00+00:00,"Extremist Republicans want to cut Social Security, Medicare, and Medicaid.

We should protect and strengthen these bedrock programs, not cut them. Every American deserves the ability to retire with dignity."
KamalaHarris,2023-09-26 21:42:11+00:00,"37 states have answered our call to expand Medicaid postpartum coverage from two months to one year.

It’s time for all 50 states to get it done. https://t.co/skHzeVpckS"
KamalaHarris,2023-09-26 20:37:07+00:00,"RT @Nutrition assistance for 7 million women and children is at risk if House Republicans decide to shut down the government.

Let me be clear: A shutdown would have devastating consequences for our economy, our national security, and the most vulnerable members of our communities. https://t.co/6eVZqUojnB"
VP,2023-09-26 20:31:21+00:00,"Nutrition assistance for 7 million women and children is at risk if House Republicans decide to shut down the government.

Let me be clear: A shutdown would have devastating consequences for our economy, our national security, and the most vulnerable members of our communities. https://t.co/6eVZqUojnB"
KamalaHarris,2023-09-26 19:34:06+00:00,RT @Happening Now: Join me at the next stop on our Fight for Our Freedoms College Tour with young leaders in Atlanta as we celebrate HBCU week. https://t.co/Mf6A9lBP90
VP,2023-09-26 19:32:53+00:00,Happening Now: Join me at the next stop on our Fight for Our Freedoms College Tour with young leaders in Atlanta as we celebrate HBCU week. https://t.co/Mf6A9lBP90
KamalaHarris,2023-09-26 17:00:56+00:00,"Gen Z is brilliant, engaged, and cares deeply about the future of our country—they will help drive our nation forward. https://t.co/mfIkLHX8d9"
KamalaHarris,2023-09-26 02:07:48+00:00,RT @Our historically Black colleges and universities are centers of academic excellence that are preparing the young leaders of America. I'm thrilled to kick off #HBCUWeek with the HBCU alumni who are serving in our Administration. https://t.co/cKeieH1lLK
VP,2023-09-26 01:00:00+00:00,Our historically Black colleges and universities are centers of academic excellence that are preparing the young leaders of America. I'm thrilled to kick off #HBCUWeek with the HBCU alumni who are serving in our Administration. https://t.co/cKeieH1lLK
KamalaHarris,2023-09-26 01:32:05+00:00,"As vice president of the United States, here’s my message to our young leaders: 

You were born to lead. Own your power. Tell your truth, because your country needs you. https://t.co/7FXXhNd1uc"
KamalaHarris,2023-09-25 19:05:31+00:00,"With the first-ever White House Office of Gun Violence Prevention, President @JoeBiden and I will use the power of the federal government to strengthen the coalition of survivors, advocates, students, teachers, and elected leaders working to save lives and fight for the right to be safe in our communities."
KamalaHarris,2023-09-25 14:16:45+00:00,RT @DouglasEmhoff: In this together. https://t.co/lfxNYvQTxq
KamalaHarris,2023-09-24 00:13:06+00:00,This is MAGAnomics. https://t.co/L7As1xqqlD
KamalaHarris,2023-09-23 22:25:00+00:00,"One in five Americans has had a family member who died from gun violence. 

This is not a simple statistic—these are our children, brothers and sisters, and parents.

We owe them action by passing reasonable gun safety laws."
KamalaHarris,2023-09-23 19:05:31+00:00,President @JoeBiden and I continue to be deeply inspired by the students leading the gun safety movement. https://t.co/GqP3XvgEAq
KamalaHarris,2023-09-23 00:04:00+00:00,"We had an assault weapons ban in America. 

In the 10 years it was law, mass shootings went down. 

Congress must renew the assault weapons ban—and when they do, President @JoeBiden will sign it into law."
KamalaHarris,2023-09-22 21:55:26+00:00,Being an HBCU student is so special. https://t.co/uF9U5szK5k
KamalaHarris,2023-09-22 20:30:09+00:00,"Our promise to the American people: We will not stop working to end the gun violence epidemic in every community, because we do not have a moment, nor a life, to spare. https://t.co/i4Na5jypJt"
KamalaHarris,2023-09-22 18:12:08+00:00,The new Office of Gun Violence Prevention will play a critical role in implementing @JoeBiden’s and my efforts to reduce gun violence while encouraging elected leaders and advocates to come together to save lives. https://t.co/YRZzDuNuyS
KamalaHarris,2023-09-22 16:29:34+00:00,"RT @Because you marched, organized, and voted, we passed the most significant gun safety legislation in 30 years. But let's be clear — we have more work to do.

Today, I am proud to share that I will oversee the first-ever White House Office of Gun Violence Prevention. https://t.co/i16sAr98Yz"
VP,2023-09-22 16:03:16+00:00,"Because you marched, organized, and voted, we passed the most significant gun safety legislation in 30 years. But let's be clear — we have more work to do.

Today, I am proud to share that I will oversee the first-ever White House Office of Gun Violence Prevention. https://t.co/i16sAr98Yz"
KamalaHarris,2023-09-22 14:47:19+00:00,"RT @POTUS: Because thoughts and prayers are not enough.
 
@VP and I just created the first White House Office of Gun Violence Prevention."
POTUS,2023-09-22 14:00:31+00:00,"Because thoughts and prayers are not enough.
 
@VP and I just created the first White House Office of Gun Violence Prevention."
KamalaHarris,2023-09-22 04:31:07+00:00,"RT @It was an honor to see President Zelenskyy again. The people of Ukraine are fighting bravely to defend their homes, their families, and for the principles of independence, sovereignty, and territorial integrity.

We will not waver in our support. https://t.co/s0VchusU2g"
VP,2023-09-22 04:25:21+00:00,"It was an honor to see President Zelenskyy again. The people of Ukraine are fighting bravely to defend their homes, their families, and for the principles of independence, sovereignty, and territorial integrity.

We will not waver in our support. https://t.co/s0VchusU2g"
KamalaHarris,2023-09-22 01:58:10+00:00,"To our nation's young leaders: You are powerful and your vote is your voice.

When you vote, it determines whether your elected officials will fight for your right to be free from hate and gun violence.

This and more is at stake. https://t.co/KXcfEavGdf"
KamalaHarris,2023-09-21 21:06:27+00:00,Elections matter. Let’s not let extremist so-called leaders turn back the clock. https://t.co/HzgPnNi4R3
KamalaHarris,2023-09-21 20:30:51+00:00,"RT @Vice President @KamalaHarris and I have treated the climate crisis as an existential threat from the moment we took office.

Last year, I signed into law the largest investment ever to combat the climate crisis and help move the global economy toward a clean energy future."
JoeBiden,2023-09-21 20:30:03+00:00,"Vice President @KamalaHarris and I have treated the climate crisis as an existential threat from the moment we took office.

Last year, I signed into law the largest investment ever to combat the climate crisis and help move the global economy toward a clean energy future."
KamalaHarris,2023-09-21 16:08:35+00:00,"RT @With so much at stake in our nation, we cannot be passive observers. As I made clear at @CHCI, @POTUS and I stand with Hispanic leaders in the fight to protect fundamental freedoms and build an economy in which all people can thrive. https://t.co/aJCNulNWXS"
VP,2023-09-21 16:00:58+00:00,"With so much at stake in our nation, we cannot be passive observers. As I made clear at @CHCI, @POTUS and I stand with Hispanic leaders in the fight to protect fundamental freedoms and build an economy in which all people can thrive. https://t.co/aJCNulNWXS"
KamalaHarris,2023-09-21 13:48:45+00:00,"RT @Thank you @QuavoStuntin, Edna, and Titania for using your voices to honor Takeoff's legacy and call for action to prevent gun violence. https://t.co/PnlWildrRu"
VP,2023-09-21 03:31:24+00:00,"Thank you @QuavoStuntin, Edna, and Titania for using your voices to honor Takeoff's legacy and call for action to prevent gun violence. https://t.co/PnlWildrRu"
KamalaHarris,2023-09-20 22:15:06+00:00,"Ban assault weapons and high-capacity magazines.
Require safe gun storage.
End immunity from liability for gun manufacturers.
Require background checks on all gun sales. 

It’s time for Congress to act. https://t.co/N3esZ3rJU7"
KamalaHarris,2023-09-20 19:19:25+00:00,"RT @As a nation, we are counting on our young leaders. That’s why @POTUS and I are launching the American Climate Corps to train 20,000 young people for careers in deploying low-cost clean energy, safeguarding communities from climate impacts, and protecting our natural resources. https://t.co/yWErUdgOjk"
VP,2023-09-20 19:18:12+00:00,"As a nation, we are counting on our young leaders. That’s why @POTUS and I are launching the American Climate Corps to train 20,000 young people for careers in deploying low-cost clean energy, safeguarding communities from climate impacts, and protecting our natural resources. https://t.co/yWErUdgOjk"
KamalaHarris,2023-09-20 13:58:37+00:00,"RT @Today, the House reintroduced the John Lewis Voting Rights Advancement Act. 

Congress must pass this critical legislation to restore the Voting Rights Act and protect against discrimination at the ballot box."
VP,2023-09-19 21:15:00+00:00,"Today, the House reintroduced the John Lewis Voting Rights Advancement Act. 

Congress must pass this critical legislation to restore the Voting Rights Act and protect against discrimination at the ballot box."
KamalaHarris,2023-09-19 21:50:06+00:00,"We are witnessing a full-on attack on our freedoms. Everything from making decisions about your own body to living free from gun violence is at stake.

Register to vote and then get 3 friends to do the same. 

Your vote is your voice→ https://t.co/VbrfuqVy9P. https://t.co/PuJHxJ9cDu"
KamalaHarris,2023-09-19 20:50:03+00:00,"RT @To celebrate National Voter Registration Day, I sat down with @stormreid to discuss how voting is one important way young leaders can make a difference. https://t.co/tJsWRfPHtu"
VP,2023-09-19 20:46:43+00:00,"To celebrate National Voter Registration Day, I sat down with @stormreid to discuss how voting is one important way young leaders can make a difference. https://t.co/tJsWRfPHtu"
KamalaHarris,2023-09-19 16:15:07+00:00,"Our nation and democracy are stronger when everyone participates, and weaker when anyone is left out. 

On National Voter Registration Day, we must continue protecting the fundamental right to vote. Confirm your voter registration status at https://t.co/VbrfuqVy9P. https://t.co/XTujmUzLlO"
KamalaHarris,2023-09-19 01:53:05+00:00,"Nearly 13.5 million new jobs created. 
Unemployment is under 4% for 19 months in a row.
Annual inflation has fallen by about two-thirds since last summer. 
More working-age Americans are in the workforce.
Wages are up. 

Bidenomics is working. https://t.co/J26AGyRvSl"
KamalaHarris,2023-09-18 21:45:01+00:00,"The top ten states with the highest rates of maternal mortality have all passed abortion bans.

When people say they care about women and children but are silent on maternal mortality, they’re hypocrites."
KamalaHarris,2023-09-18 19:23:15+00:00,"RT @To our nation's young leaders: Don't ever let anybody silence you.

I am honored to travel our nation and stand with students in the fight for fundamental rights and freedoms. https://t.co/CIA2qFkiUt"
VP,2023-09-18 19:21:37+00:00,"To our nation's young leaders: Don't ever let anybody silence you.

I am honored to travel our nation and stand with students in the fight for fundamental rights and freedoms. https://t.co/CIA2qFkiUt"
KamalaHarris,2023-09-17 23:56:31+00:00,Very few of those who challenge our administration actually have a plan for America. We are delivering for the American people. https://t.co/M3ns2zClvd
KamalaHarris,2023-09-17 21:16:53+00:00,"RT @Autoworkers helped build the middle class, and strong unions grow the economy. 

@POTUS and I respect workers’ right to strike under the collective bargaining system, and agree a new contract should promote good middle class jobs — and ensure the UAW remains at the heart of our auto economy."
VP,2023-09-17 21:02:18+00:00,"Autoworkers helped build the middle class, and strong unions grow the economy. 

@POTUS and I respect workers’ right to strike under the collective bargaining system, and agree a new contract should promote good middle class jobs — and ensure the UAW remains at the heart of our auto economy."
KamalaHarris,2023-09-17 19:00:05+00:00,American manufacturing is growing faster than it has in decades under President @JoeBiden’s leadership. https://t.co/uRc7c44Zag
KamalaHarris,2023-09-16 23:57:31+00:00,Seeing our young leaders invested in the future of our country fills me with optimism. https://t.co/7pvN1qhgT9
KamalaHarris,2023-09-16 21:13:05+00:00,"Across our country, we are seeing a full-on attack against hard-won freedoms.

The freedom to make decisions about your own body.
The freedom to love who you love.
The freedom to be free from gun violence.
The freedom to vote.

We have a responsibility to protect these freedoms. https://t.co/XR1zOkhMa8"
KamalaHarris,2023-09-16 17:00:12+00:00,"No child should grow up in poverty. 

That's why President @JoeBiden and I will continue fighting to restore the expanded Child Tax Credit to give millions of families the tax relief and breathing room they deserve."
KamalaHarris,2023-09-16 00:29:00+00:00,"We need Congress to put forward a bill that would restore the protections of Roe v. Wade. 

Once they do, President @JoeBiden will sign that bill into law."
KamalaHarris,2023-09-15 22:15:12+00:00,"When I look at our young leaders, I know our future is bright. https://t.co/Rax5LM7bbA"
KamalaHarris,2023-09-15 19:47:26+00:00,Our children should be sitting in a classroom learning—not worried someone might walk through the door threatening their lives with a gun. https://t.co/llGLVg1f3u
KamalaHarris,2023-09-15 18:29:11+00:00,"RT @The strength of our country depends on the ingenuity and determination of the Hispanic community.

During National Hispanic Heritage Month, we honor these tremendous contributions and recommit to ensuring every person in our nation can thrive. https://t.co/jpLOg3P2ew"
VP,2023-09-15 18:14:31+00:00,"The strength of our country depends on the ingenuity and determination of the Hispanic community.

During National Hispanic Heritage Month, we honor these tremendous contributions and recommit to ensuring every person in our nation can thrive. https://t.co/jpLOg3P2ew"
KamalaHarris,2023-09-15 15:42:24+00:00,"RT @I’ll ask you nicely to buy this new, color-changing campaign mug. 

But I know someone who won’t: https://t.co/iRL1DMxYAb https://t.co/gTaeXNERbS"
