username,orario,text,Unnamed: 0
LeadingReport,2023-09-28 20:38:15+00:00,"RT @BREAKING: During the first congressional hearing of Joe Biden’s impeachment, Rep. Nancy Mace accused the Bidens of betraying their country and committing treason.",
LeadingReport,2023-09-28 20:06:54+00:00,"BREAKING: During the first congressional hearing of Joe Biden’s impeachment, Rep. Nancy Mace accused the Bidens of betraying their country and committing treason.",
LeadingReport,2023-09-28 20:35:34+00:00,"BREAKING: The FBI has busted a ""satanic pedo cult"" in NYC that targets youth identifying as LGBTQ+ or youth who struggle with mental health issues.",
LeadingReport,2023-09-28 19:14:08+00:00,BREAKING: Presidential candidate Vivek Ramaswamy says the reason Donald Trump is leading in polls is because he was an excellent president.,
LeadingReport,2023-09-28 04:35:50+00:00,BREAKING: The House just passed an amendment to prohibit USDA funding of research trying to turn edible plants like lettuce and spinach into mRNA vaccine factories.,
LeadingReport,2023-09-28 03:42:07+00:00,"BREAKING: A former police officer and a poll watcher says he witnessed a pile of ballots pulled out of a box that were 171 to 1 for Biden in Cobb County, Georgia, and then noticed someone had illegally sorted through the boxes.",
LeadingReport,2023-09-28 00:06:20+00:00,BREAKING: Former President Trump says he rejects being called the 'most famous person in the world’ because that title belongs to Jesus Christ.,
LeadingReport,2023-09-27 19:29:47+00:00,"BREAKING: A certified Fulton County Georgia audit monitor claims to have observed many boxes of 2020 ballots that appeared to be perfectly filled out as though they were preprinted and did not look done by hand, of which 98% were filled out for Biden and 2% for Trump. She and other observers have a list of suspicious batches.",0.0
LeadingReport,2023-09-27 03:56:50+00:00,BREAKING: Texas State Rep. Brian Harrison is urging county leaders in his state to ban all COVID vaccine mandates.,1.0
LeadingReport,2023-09-27 03:16:42+00:00,BREAKING: Elon Musk says he will never mandate vaccines and would rather go to prison before forcing people to be vaccinated.,2.0
LeadingReport,2023-09-27 01:43:12+00:00,BREAKING: Rep. Matt Gaetz seems to be closing in on making a motion to vacate Kevin McCarthy as Speaker of the House as rumors intensify.,3.0
LeadingReport,2023-09-27 01:18:25+00:00,"BREAKING: Georgia Secretary of State Brad Raffensperger certified the 2020 election before investigating the 364,000 ineligible voter records based on residency alone, of which 67,000 voted.",4.0
LeadingReport,2023-09-27 00:05:06+00:00,"BREAKING: Hunter Biden received a $250,000 payment from Beijing, China, with Joe Biden's home address listed as the beneficiary address.",5.0
LeadingReport,2023-09-26 20:48:22+00:00,"BREAKING: New York has ended its COVID vaccine mandate for health care workers, beginning on October 4th.",6.0
LeadingReport,2023-09-26 19:22:50+00:00,"BREAKING: Democrat Rep. Adam Schiff has been busted for steering millions in taxpayer dollars to for-profit defense contractors, many of whom have been political donors to his campaigns.",7.0
LeadingReport,2023-09-26 04:04:51+00:00,"BREAKING: Dr. Peter McCullough says if he were a young parent today, he would forego all childhood vaccines.",8.0
LeadingReport,2023-09-26 02:13:19+00:00,"BREAKING: House Republicans have revealed that they now believe Joe Biden and his family likely received $50 million in bribe payments, $30 million more than previously thought.",9.0
LeadingReport,2023-09-25 23:31:03+00:00,"BREAKING: NFL team Washington Commanders have been sued by The Native American Guardians Association and are advocating that the team revert to their prior team name of ""Redskins.""",10.0
LeadingReport,2023-09-25 23:23:30+00:00,"BREAKING: According to a nurse's testimony, none of the millions of patients with COVID died from COVID; instead, they died through medical malpractice because hospitals were forced to comply with government demands, which resulted in the deaths of millions of people.",11.0
