username,orario,text
MollyJongFast,2023-10-20 15:10:13+00:00,RT @ruthbenghiat: Most everything Jordan does is for an audience of One @MollyJongFast
ruthbenghiat,2023-10-20 14:31:27+00:00,Most everything Jordan does is for an audience of One @MollyJongFast
MollyJongFast,2023-10-20 14:28:03+00:00,Is Jordan trying to appeal to trump here?
MollyJongFast,2023-10-20 14:49:18+00:00,You’d only need 5 sane republicans but that may be a very heavy lift
EliseStefanik,2023-10-19 20:54:03+00:00,"The people across #NY21 and America can rest assured that I strongly oppose any attempt to create a Democrat backed coalition government.

I will vote to support Jim Jordan for Speaker on the House Floor. 

We must work to unify Republicans as the last line of defense to save America."
MollyJongFast,2023-10-20 14:31:54+00:00,"RT @JakeSherman: JORDAN’s close ally does him no favors, suggesting death threats due to opposing Jordan is overblown and a “red herring”"
JakeSherman,2023-10-20 14:23:33+00:00,"JORDAN’s close ally does him no favors, suggesting death threats due to opposing Jordan is overblown and a “red herring”"
MicaSoellnerDC,2023-10-20 14:19:06+00:00,"PERRY calls increased attacks and threats on Jordan’s opponents a “red herring”

“There are people out in the world that dislike us and threaten us. That's nothing new. It's nothing new to any member of Congress. We all know it. That is another red herring.”"
MollyJongFast,2023-10-20 14:31:48+00:00,Woke math!
MEPFuller,2023-10-20 14:24:53+00:00,"Jim Jordan claimed his vote total basically stayed the same between the first and second ballot. Technically, he lost two more votes overall, but my takeaway is that he’s basically daring Republicans to vote against him—and I think plenty are going to do just that."
MollyJongFast,2023-10-20 14:31:34+00:00,RT @Fritschner: A few more like this and we could elect Speaker Jeffries and start working on the people’s business
Fritschner,2023-10-20 14:27:13+00:00,A few more like this and we could elect Speaker Jeffries and start working on the people’s business
lawrencegandrea,2023-10-20 13:58:42+00:00,"NEW: Rep. Derrick Van Orden arrived in Israel this morning for what he’s described as a fact-finding mission.

He’ll miss speaker votes today and potentially in the coming days. He’s supported Jim Jordan. More here: https://t.co/0Wje7Bzt86"
MollyJongFast,2023-10-20 14:30:58+00:00,Woke math!
clairecmc,2023-10-20 14:26:41+00:00,"Short version of Jim Jordan press conference:

I can’t count."
MollyJongFast,2023-10-20 14:30:10+00:00,Worth wondering what he offered them.
MZanona,2023-10-20 01:28:50+00:00,"NEWS: As Jordan works to inject some life back into his flailing speaker bid, he's made some progress w/ a small bloc of holdouts: New York Republicans, sources tell me @haleytalbotcnn &amp; @AnnieGrayerCNN.

Still wouldn't be enough to secure speakership, but wants to show movement."
jamiedupree,2023-10-20 14:14:55+00:00,"Rep. Jim Jordan R-OH reminds everyone that he voted to block the electoral votes of Arizona and Pennsylvania after the Jan. 6 riots:  ""I think there were all kinds of problems with the 2020 election, I've been clear about that."""
MollyJongFast,2023-10-20 14:20:00+00:00,"RT @I was impressed by what @MollyJongFast said this morning on Morning Joe. She referred to those disruptive Republicans as nihilists. They certainly are. Jordan, Gaetz, MTG, Boebert, Gosar and their ilk only want to tear down, not build or improve anything. They are destroyers!"
SteveCarvalho9,2023-10-20 14:10:56+00:00,"I was impressed by what @MollyJongFast said this morning on Morning Joe. She referred to those disruptive Republicans as nihilists. They certainly are. Jordan, Gaetz, MTG, Boebert, Gosar and their ilk only want to tear down, not build or improve anything. They are destroyers!"
BillKristol,2023-10-20 13:35:54+00:00,"And to some of my former fellow Republicans, to individuals I once knew as decent and responsible public officials, to representatives like Tom Cole and Mike Gallagher and others, I say:

Enough! You know you have gone along for too long. Now is the time to step up. Join the 20."
MollyJongFast,2023-10-20 13:41:28+00:00,"RT @WHERE WE'RE AT:

--Jim Jordan can't get to 217
--Prospects for a resolution to empower interim speaker McHenry look grim
--Members getting death threats over their speaker votes
--Lawmakers swearing &amp; yelling at each other in closed-door meeting

Day 16 without a speaker."
MZanona,2023-10-19 20:13:06+00:00,"WHERE WE'RE AT:

--Jim Jordan can't get to 217
--Prospects for a resolution to empower interim speaker McHenry look grim
--Members getting death threats over their speaker votes
--Lawmakers swearing &amp; yelling at each other in closed-door meeting

Day 16 without a speaker."
MollyJongFast,2023-10-20 13:40:32+00:00,RT @DaniellaMicaela: I am absolutely staying tuned for more information! https://t.co/jg7WFdS5Yg
DaniellaMicaela,2023-10-20 01:02:08+00:00,I am absolutely staying tuned for more information! https://t.co/jg7WFdS5Yg
MollyJongFast,2023-10-20 13:24:23+00:00,"RT @anneapplebaum: Biden speech from last night, read the whole thing: https://t.co/GMVUlDt4xg"
anneapplebaum,2023-10-20 09:34:21+00:00,"Biden speech from last night, read the whole thing: https://t.co/GMVUlDt4xg"
MollyJongFast,2023-10-20 13:16:08+00:00,Worth thinking about those 18 vulnerable house republicans.
JakeSherman,2023-10-20 03:37:59+00:00,"JORDAN will hold an early AM news conference tomrorow.

I am told this is an attempt to use the ""bully pulpit"" -- to the extent he has one -- to try to drum up support for his bid to be speaker."
MollyJongFast,2023-10-20 13:14:05+00:00,"Ummmmm wut?

https://t.co/u03aJCM9Eh https://t.co/pCfeSsZelA"
MollyJongFast,2023-10-20 12:37:07+00:00,I’ll be on during the 7am hour….
Morning_Joe,2023-10-20 11:42:04+00:00,"Fri. guest list: Jonathan Lemire, Richard Haass, Jackie Alemany, Chuck Rosenberg, Maj. Libby Weiss, Claire McCaskill, Marc Polymeropoulos, Raf Sanchez, Molly Jong-Fast, Jonathan Martin, Joyce Vance, Aubrey Plaza, Christopher Abbott, ctd..."
MollyJongFast,2023-10-20 12:10:04+00:00,RT @pourmecoffee: The Hallmark Channel Original Movies presents... A Speaker for Christmas https://t.co/Zd8AoM8ElE
pourmecoffee,2023-10-19 17:02:57+00:00,The Hallmark Channel Original Movies presents... A Speaker for Christmas https://t.co/Zd8AoM8ElE
