,username,orario,text
0,NRSC,2023-09-22 00:31:00+00:00,"Joe Biden and Bob Casey have used their offices to enrich themselves. In 2024, that comes to an end. https://t.co/eou1hYovGe"
1,NRSC,2023-09-27 17:52:55+00:00,"“Ethics Crusader” @JonTester is refusing to answer questions about why he is keeping $20,000 he received from Crooked @BobMenendezNJ https://t.co/A2v5zswVJf"
2,NRSC,2023-09-26 15:17:43+00:00,RT @JohnCornyn: #Bidenomics
3,JohnCornyn,2023-09-26 14:37:09+00:00,#Bidenomics
4,MattFinnFNC,2023-09-26 02:18:18+00:00,Paying $6.70 a gallon for gas in LA https://t.co/G0iP7ozkCc
5,NRSC,2023-09-26 02:22:42+00:00,"Apparently @jontester @JoeManchinWV @RosenforNevada @Bob_Casey &amp; @tammybaldwin support @BobMenendezNJ taking bribes to rig our foreign policy for Egyptian businessmen. #VoteThemOut 

 https://t.co/GMWyP3Vfwi"
6,NRSC,2023-09-25 18:11:56+00:00,"Democrats have made clear they will tolerate Bob Menendez’s comical levels of corruption as long as he continues to back their extreme agenda #NJSEN
https://t.co/Z4YSXD6iRS"
7,NRSC,2023-09-25 16:48:02+00:00,"RT @barrassoforwyo: Join me in supporting @DaveMcCormickPA for U.S. Senate 🇺🇸
https://t.co/hvt0s5afTD https://t.co/PoqnTiD93J"
8,barrassoforwyo,2023-09-25 16:20:27+00:00,"Join me in supporting @DaveMcCormickPA for U.S. Senate 🇺🇸
https://t.co/hvt0s5afTD https://t.co/PoqnTiD93J"
9,NRSC,2023-09-24 17:49:43+00:00,Is this really the best defense Democrats can come up with?
10,RNCResearch,2023-09-24 16:31:52+00:00,"""Biden, according to one witness testimony, was on the phone 20 times with Hunter Biden's business associates ... is that appropriate?""

Democrat Rep. Jim Clyburn: ""You don't impeach a man for being a father to his children"" https://t.co/XDmot0hSdz"
11,NRSC,2023-09-24 17:38:21+00:00,"When you're a Democrat, they let you do it"
12,mkraju,2023-09-24 15:17:52+00:00,"Dick Durbin stops short of calling on Bob Menendez to resign, tells @DanaBashCNN on @CNNSotu: “This is a very serious charge,” compares it to his comments on Trump’s charges. “In terms of resignation, that’s a decision for Sen. Menendez and the people of New Jersey.”"
13,NRSC,2023-09-23 18:02:22+00:00,"NEW: ‘Thank You For Speaking Out’: Sherrod Brown Praises Prosecutor Candidate Who Called To Defund Police, End Cash Bail

https://t.co/VrvOXIrSYv"
14,NRSC,2023-09-23 01:49:11+00:00,Bob Menendez after he took a massive bribe: https://t.co/I3aVpGdwwx
15,mkraju,2023-09-23 01:13:05+00:00,Bob Menendez responds to calls for him to resign amid his corruption charges. “It is not lost on me how quickly some are rushing to judge a Latino and push him out of his seat. I am not going anywhere.” https://t.co/jN84DCna37
