,username,orario,text
0,NateSilver538,2023-07-24 20:29:57+00:00,"Now that I'm writing a bit more, switched my newsletter over to a custom domain.

It's free for now but it's still much appreciated if you sign up for the mailing list!

https://t.co/knOIcqwuMp"
1,NateSilver538,2023-09-23 18:13:46+00:00,"First Silver Bulletin subscriber questions thread! Just two (fake/dummy) questions for now, but getting the ball rolling on this.

https://t.co/F3qB2ej5bu"
2,NateSilver538,2023-09-20 19:25:07+00:00,"This is a weird one:
https://t.co/Cy9xeOKAs1"
3,NateSilver538,2023-09-20 15:59:16+00:00,"Not sure what odds I'd give that Elon actually starts charging for Twitter.

But I'll still use this as an excuse to flog my newsletter which is the best place to find my writing these days.

https://t.co/knOIcqwuMp"
4,NateSilver538,2023-09-18 18:40:12+00:00,"Prediction market prices seem too low on both Biden and Trump. A lot of detail here about the state of the nomination races.
https://t.co/FyshXu09CS"
5,NateSilver538,2023-09-19 02:07:46+00:00,This was the first paywalled post at the newsletter and I have to say I was pleased with the number of signups amid an annoying day here at good ol' Twitter/X. Thanks for reading. Somewhat piquant (free) post about the audience for election models coming later this week.
6,NateSilver538,2023-09-18 19:44:44+00:00,"There are so many actually important political issues these days, I cannot believe how many people are trying to frame the Boebert thing as A Matter Of Great Importance. It's an amusing story, have fun with it, but I express the views of many Americans in saying really who cares."
7,vermontgmg,2023-09-18 18:58:26+00:00,"These are not exactly equivalent “controversies” or “scandals,” and the way @NateSilver538 conflates then says a lot about the brainrot of “bothsides-ism.”"
8,NateSilver538,2023-09-18 13:25:44+00:00,Starting a new political party for people who don't give a shit either about how John Fetterman dresses or what Lauren Boebert does in a theater.
9,NateSilver538,2023-09-18 13:41:06+00:00,"I think they're both stupid and irrelevant controversies that only partisans and prudes could be interested in, that's why I compared them to one another in a tweet. https://t.co/ZAQ6e9Cnhy"
10,NateSilver538,2023-09-17 21:55:27+00:00,This is an extremely random aside but I didn't remember how just good the mid-90s Seattle SuperSonics were. https://t.co/loLXCGIH7m
11,NateSilver538,2023-09-16 02:07:47+00:00,"RT @Hasan Minhaj has built a comedy career in part on the strength of his autobiographical standup, talking about harrowing threats and police entrapment. Does it matter if many of these things never actually happened to him? 

My story: https://t.co/nDudet3lST"
12,ClareMalone,2023-09-15 15:30:41+00:00,"Hasan Minhaj has built a comedy career in part on the strength of his autobiographical standup, talking about harrowing threats and police entrapment. Does it matter if many of these things never actually happened to him? 

My story: https://t.co/nDudet3lST"
13,NateSilver538,2023-09-16 01:45:08+00:00,"This is the non-spicy version of this take. But voters, other than maybe college-educated liberals, treat the media with a lot of suspicion. That makes it much less straightforward how the tenor of media coverage affects public opinion."
