,username,orario,text
0,NewsbySmiley,2023-09-22 17:47:48+00:00,"RT @Menendez: ""I remain focused on continuing this important work and will not be distracted by baseless allegations.""

""People should remember that before accepting the prosecutor’s version."" https://t.co/n43nfISA3v"
1,maxpcohen,2023-09-22 17:43:58+00:00,"Menendez: ""I remain focused on continuing this important work and will not be distracted by baseless allegations.""

""People should remember that before accepting the prosecutor’s version."" https://t.co/n43nfISA3v"
2,NewsbySmiley,2023-09-22 16:09:39+00:00,"RT @alexmenamiami: Unfortunately, Miami Mayor Francis Suarez has canceled today’s meeting with the Miami Herald’s leadership team."
3,alexmenamiami,2023-09-22 15:24:49+00:00,"Unfortunately, Miami Mayor Francis Suarez has canceled today’s meeting with the Miami Herald’s leadership team."
4,alexmenamiami,2023-09-20 19:58:16+00:00,Democracy is in trouble if Miami officials brush aside reporters and ignore questions https://t.co/Xd6Dpbm3us
5,NewsbySmiley,2023-09-22 15:44:42+00:00,"RT @NEWS: New Jersey Democratic Sen. Bob Menendez was charged with corruption-related charges for the second time in 10 years, prosecutors will announce this morning. He is chairman of Senate Foreign Relations and rules will force him to give up his gavel

https://t.co/qMf2sD6BS1"
6,mkraju,2023-09-22 15:31:56+00:00,"NEWS: New Jersey Democratic Sen. Bob Menendez was charged with corruption-related charges for the second time in 10 years, prosecutors will announce this morning. He is chairman of Senate Foreign Relations and rules will force him to give up his gavel

https://t.co/qMf2sD6BS1"
7,NewsbySmiley,2023-09-22 14:39:21+00:00,‘Waiting for him to drop out’: DeSantis’ influence nosedives in Florida https://t.co/o9KEUtAoeU
8,NewsbySmiley,2023-09-22 01:17:19+00:00,"RT @Fort Lauderdale duped in $1.2 million phishing scam, police say. Here’s what happened https://t.co/g0cQ6AAPlV by @GrethelAguila and @Omar_fromPR via @MiamiHerald"
9,Omar_fromPR,2023-09-21 21:34:52+00:00,"Fort Lauderdale duped in $1.2 million phishing scam, police say. Here’s what happened https://t.co/g0cQ6AAPlV by @GrethelAguila and @Omar_fromPR via @MiamiHerald"
10,NewsbySmiley,2023-09-22 00:52:25+00:00,"RT @A story about the room where it happened, according to investigators in the case against Alex Díaz de la Portilla.

Authorities say two lobbyists paid his brother’s campaign bills at a Brickell hotel.

✍️w/@tessriski 

https://t.co/zRltrhlpHj"
