username,orario,text,Unnamed: 0
NikkiHaley,2023-09-28 20:00:12+00:00,"We're feeling the love after last night's debate! Looking forward to being back in the Hawkeye State this weekend—be sure to RSVP and bring your family, friends, and neighbors. See you all there!
https://t.co/X2Jfcysw2T",
NikkiHaley,2023-09-28 17:38:57+00:00,"RT @""During the second debate on Wednesday night, @NikkiHaley continued her streak with another fierce, straightforward performance. Among her competitors, she stood out as the most passionate."" — @SouthernKeeks https://t.co/175mxx5LLE",
TeamHaley,2023-09-28 16:33:52+00:00,"""During the second debate on Wednesday night, @NikkiHaley continued her streak with another fierce, straightforward performance. Among her competitors, she stood out as the most passionate."" — @SouthernKeeks https://t.co/175mxx5LLE",
NikkiHaley,2023-09-28 17:38:51+00:00,"RT @📺Nikki Haley was the only candidate to offer real solutions to almost every issue facing American families: 

✅Inflation and jobs
✅Crime
✅Illegal immigration
✅Fentanyl crisis  
✅China 
✅Healthcare 
✅Education https://t.co/jyKP3HPwnt",
TeamHaley,2023-09-28 17:29:02+00:00,"📺Nikki Haley was the only candidate to offer real solutions to almost every issue facing American families: 

✅Inflation and jobs
✅Crime
✅Illegal immigration
✅Fentanyl crisis  
✅China 
✅Healthcare 
✅Education https://t.co/jyKP3HPwnt",
NikkiHaley,2023-09-28 17:38:34+00:00,"RT @""@NikkiHaley does well in debates because she doesn't back down. She appears hungry for the job. More than that, it's clear she's capable. And she is ready to answer for or defend anything thrown her way."" — @SouthernKeeks https://t.co/Jg7nqHYegc",
KLF,2023-09-28 16:34:14+00:00,"""@NikkiHaley does well in debates because she doesn't back down. She appears hungry for the job. More than that, it's clear she's capable. And she is ready to answer for or defend anything thrown her way."" — @SouthernKeeks https://t.co/Jg7nqHYegc",
NikkiHaley,2023-09-28 17:38:28+00:00,RT @CournoyerIA: Join me in welcoming @NikkiHaley back to Iowa this Saturday in Clive! Register here: https://t.co/EIytF11Sqr,
CournoyerIA,2023-09-28 17:04:46+00:00,Join me in welcoming @NikkiHaley back to Iowa this Saturday in Clive! Register here: https://t.co/EIytF11Sqr,
NikkiHaley,2023-09-28 17:28:39+00:00,"If Congress won't do its job and pass a budget they shouldn't get paid. 

No budget, no pay. https://t.co/BqnLHPvWvD",
NikkiHaley,2023-09-28 08:03:43+00:00,"RT @Fact Check: @NikkiHaley Claims Ron DeSantis Banned Fracking in Florida

Verdict: TRUE. As governor, DeSantis campaigned on and implemented a ban on fracking in Florida’s waters.
https://t.co/4HuI2Csv6s",
TeamHaley,2023-09-28 07:52:35+00:00,"Fact Check: @NikkiHaley Claims Ron DeSantis Banned Fracking in Florida

Verdict: TRUE. As governor, DeSantis campaigned on and implemented a ban on fracking in Florida’s waters.
https://t.co/4HuI2Csv6s",
NikkiHaley,2023-09-28 06:29:55+00:00,"You should know this about me—I don’t put up with bullies. We'll fight tooth and nail for the American people. 

Join our movement and let's make history! https://t.co/kvU5E9fcrc",
NikkiHaley,2023-09-28 04:38:27+00:00,"On his second day in office as governor, Ron issued executive orders BANNING fracking and offshore drilling in Florida—a page straight from Joe Biden’s playbook.",
NikkiHaley,2023-09-28 04:37:17+00:00,"Energy security is national security. 

We’ll unleash American energy and make America strong and proud.",
NikkiHaley,2023-09-28 04:21:11+00:00,A win for Russia is a win for China.,
NikkiHaley,2023-09-28 04:20:06+00:00,"Vivek got rich off of China, and now he wants to throw Taiwan to the communist wolves. 

His promise to abandon Taiwan in 2028 sends a dangerous message to our enemies and allies.",
NikkiHaley,2023-09-28 04:07:51+00:00,"RT @Bidenomics is government control of everyone.

Nikki Haley's #TheFreedomPlan will revive the middle class, empower families, and strengthen our communities—not Washington. https://t.co/0I8tIndSAh",
TeamHaley,2023-09-28 03:56:52+00:00,"Bidenomics is government control of everyone.

Nikki Haley's #TheFreedomPlan will revive the middle class, empower families, and strengthen our communities—not Washington. https://t.co/0I8tIndSAh",
NikkiHaley,2023-09-28 04:07:42+00:00,RT @NIKKI HALEY: No parents should ever wonder what is being said or taught in the classroom. We need transparency. Always. https://t.co/vUGBNomBO3,
TeamHaley,2023-09-28 04:07:13+00:00,NIKKI HALEY: No parents should ever wonder what is being said or taught in the classroom. We need transparency. Always. https://t.co/vUGBNomBO3,
NikkiHaley,2023-09-28 04:06:18+00:00,"Here’s how we fix our education system:

✔️ Universal school choice
✔️ Focus on reading, not CRT
✔️ Vocational schools
✔️ Teach financial literacy
✔️ Empower parents, not teachers unions
✔️ Total transparency in the classroom",
NikkiHaley,2023-09-28 04:01:14+00:00,"School choice is the great equalizer. 

If we want to improve education around the nation, put parents in charge.",
NikkiHaley,2023-09-28 03:54:29+00:00,When I am president we will make health care costs transparent. We will put the patient in the driver seat and costs will go down.,
NikkiHaley,2023-09-28 03:47:40+00:00,Stop all normal trade relations with China until they stop killing Americans with fentanyl poison.,
NikkiHaley,2023-09-28 03:45:26+00:00,"70,000 Americans are dying a year because Joe Biden won't confront China's role in the fentanyl pipeline.",
NikkiHaley,2023-09-28 03:42:31+00:00,You take care of those who take care of you. #BackTheBlue,
NikkiHaley,2023-09-28 03:35:47+00:00,RT @TeamHaley: REMINDER: Nikki Haley traveled over 400 miles along the southern border and has a plan to fix it: https://t.co/VefS4sKuvk,
TeamHaley,2023-09-28 03:25:19+00:00,REMINDER: Nikki Haley traveled over 400 miles along the southern border and has a plan to fix it: https://t.co/VefS4sKuvk,
NikkiHaley,2023-09-28 03:33:01+00:00,"When I was governor, we signed one of the toughest immigration laws in the country. 

We made sure Americans got American jobs—not illegal immigrants. 

The second you stop being a country of laws you give up everything this country was founded on.",
NikkiHaley,2023-09-28 03:24:17+00:00,"Here's how we FIX the southern border once and for all: 

✔️ 25,000 more Border Patrol and ICE agents
✔️ Mandatory E-Verify
✔️ Defund sanctuary cities
✔️ No tax dollars to illegal immigrants
✔️ Remain in Mexico
✔️ End catch &amp; release, start catch &amp; deport",
NikkiHaley,2023-09-28 03:21:21+00:00,"RT @Under Joe Biden, 60% of Americans are living paycheck to paycheck. Nikki Haley will give the middle class thousands of dollars in tax relief because she trusts you to spend your money better than the government.",
TeamHaley,2023-09-28 03:20:24+00:00,"Under Joe Biden, 60% of Americans are living paycheck to paycheck. Nikki Haley will give the middle class thousands of dollars in tax relief because she trusts you to spend your money better than the government.",
NikkiHaley,2023-09-28 03:19:53+00:00,Read my plan to revive the middle class and put more money in families’ pockets. #TheFreedomPlan https://t.co/96x26wdYrN,
NikkiHaley,2023-09-28 03:16:53+00:00,"If Congress doesn’t pass a budget, they shouldn’t get paid. No budget, no pay.",
NikkiHaley,2023-09-28 03:14:20+00:00,"#TheFreedomPlan will revive the middle class, empower families, and strengthen our communities—not Washington. 

Our secret weapon is freedom and it’s time to unleash it.",
NikkiHaley,2023-09-28 02:55:19+00:00,RT @TeamHaley: TUNE IN LIVE: Nikki Haley is about to take the stage for her SECOND presidential debate! #RNCDebate https://t.co/QfPognGPte,
TeamHaley,2023-09-28 02:53:47+00:00,TUNE IN LIVE: Nikki Haley is about to take the stage for her SECOND presidential debate! #RNCDebate https://t.co/QfPognGPte,
NikkiHaley,2023-09-27 15:30:32+00:00,"America deserves a choice, not an echo. https://t.co/mW41Yl7T6f",
NikkiHaley,2023-09-26 21:40:13+00:00,"RT @TeamHaley: If the government shuts down, Congress should not get paid. https://t.co/rhCRwoLCK7",
TeamHaley,2023-09-26 20:54:29+00:00,"If the government shuts down, Congress should not get paid. https://t.co/rhCRwoLCK7",
NikkiHaley,2023-09-26 21:39:00+00:00,"RT @Opinion: ""Iowa farmers shouldn’t worry about China eating them alive. China should worry about Iowa farmers beating it worldwide,"" writes Nikki Haley. https://t.co/UhGTvjjAtp",
DMRegister,2023-09-26 18:50:02+00:00,"Opinion: ""Iowa farmers shouldn’t worry about China eating them alive. China should worry about Iowa farmers beating it worldwide,"" writes Nikki Haley. https://t.co/UhGTvjjAtp",
NikkiHaley,2023-09-26 20:30:04+00:00,"The best thing we can do for farmers, ranchers, and families is to free them from Washington and Communist China. 

Just like farmers, I tell it like it is. And just like farmers, I get the job done. https://t.co/13J2q9RYLB",
NikkiHaley,2023-09-26 19:30:06+00:00,"China is killing Americans with fentanyl poison. If Joe Biden doesn't hold China accountable, it will only get worse. 

Thank you @LVOFentanyl for using the power of your voice to demand action at the White House this past weekend!",
NikkiHaley,2023-09-26 17:15:36+00:00,"Granite Staters expect all the candidates to show up, look them in the eye, and answer their tough questions.

There are no shortcuts to the White House and we promise to keep coming back to earn your vote! https://t.co/ZqpdOubEbv",
NikkiHaley,2023-09-26 17:13:34+00:00,RT @Nikki Haley is the only candidate who can unite the country and expand the Republican Party. It’s time for a new generation of leadership! https://t.co/BXg7WWmDPL,
TeamHaley,2023-09-26 15:40:15+00:00,Nikki Haley is the only candidate who can unite the country and expand the Republican Party. It’s time for a new generation of leadership! https://t.co/BXg7WWmDPL,
NikkiHaley,2023-09-26 17:13:27+00:00,"RT @.@NikkiHaley correctly recognizes that economic freedom is America’s greatest advantage against China, not a weakness to be corrected by “strategic” government intervention. 

https://t.co/TMGrnQgrEO",
NRO,2023-09-26 17:11:24+00:00,".@NikkiHaley correctly recognizes that economic freedom is America’s greatest advantage against China, not a weakness to be corrected by “strategic” government intervention. 

https://t.co/TMGrnQgrEO",
NikkiHaley,2023-09-26 14:53:58+00:00,"Joe Biden's trying to control agriculture in the name of “climate change,” but all he’s doing is driving up prices and making it harder for farmers to stay in business. 

Joe Biden wants Iowa to look like California—Iowa’s just fine the way it is. https://t.co/13J2q9RYLB",
NikkiHaley,2023-09-26 00:09:41+00:00,"A strong and proud America requires a strong and proud middle class. 

#TheFreedomPlan will empower families and strengthen our communities—not Washington. Read more about my plan here:
https://t.co/96x26wdYrN",
NikkiHaley,2023-09-25 14:29:21+00:00,We passed one of the toughest immigration laws in the country in South Carolina. We can do the same for the entire country. https://t.co/bH0CZl0pLT,
NikkiHaley,2023-08-28 02:07:17+00:00,"Underestimate me, that’ll be fun. https://t.co/e3YbG8J3Dm",0.0
NikkiHaley,2023-09-24 14:15:43+00:00,"Bidenomics has America’s middle class paying more for gas, more for groceries, and more just to get by. 

It’s time to make Joe Biden a one-term president. https://t.co/Cy2tpzC9lW",1.0
NikkiHaley,2023-09-23 23:58:09+00:00,"We loved cheering on our @ClemsonFB Tigers even though we didn’t get the ending we wanted. We were missing @WMichaelHaley and @Nalin_Haley today. Onto next week…Go Tigers! 🏈🐅
#FootballWeekend
#ClemsonFootball https://t.co/MLbanobPI8",2.0
NikkiHaley,2023-09-23 23:35:31+00:00,"RT @Done for the day —135 doors knocked on or doorbells rung, with about 70% of residents home and answering. Unprompted, several asked me to pass along best wishes to ⁦@NikkiHaley⁩ for this Wednesday’s GOP presidential primary debate. Retweet if you see this, Nikki! https://t.co/heKTT3ty5v",3.0
SenTomDavisSC,2023-09-23 23:21:59+00:00,"Done for the day —135 doors knocked on or doorbells rung, with about 70% of residents home and answering. Unprompted, several asked me to pass along best wishes to ⁦@NikkiHaley⁩ for this Wednesday’s GOP presidential primary debate. Retweet if you see this, Nikki! https://t.co/heKTT3ty5v",4.0
NikkiHaley,2023-09-23 18:29:00+00:00,"A strong and proud America requires a strong and proud middle class. We’ll cut taxes, put more money in your wallet, and get government out of your way. #TheFreedomPlan.
https://t.co/FlbJZcVYE9",5.0
NikkiHaley,2023-09-23 14:56:29+00:00,"It’s time to retire the permanent politician. 

We need term limits for Congress and a new generation of leadership.",6.0
NikkiHaley,2023-09-22 22:52:16+00:00,Border Czar Kamala Harris is nowhere to be found.,7.0
NikkiHaley,2023-09-22 22:39:25+00:00,"RT @TeamHaley: Haley highlights new economic plan ahead of second presidential debate
https://t.co/jqaf0dzTAg",8.0
TeamHaley,2023-09-22 22:30:07+00:00,"Haley highlights new economic plan ahead of second presidential debate
https://t.co/jqaf0dzTAg",9.0
NikkiHaley,2023-09-22 20:40:17+00:00,"There is nothing Americans can’t accomplish as long as government gets out of the way—that’s why we’ll fight to make #TheFreedomPlan a reality. 

Our middle class and small businesses deserve better than Bidenomics. Time to reverse it and make Joe Biden a one-term president! https://t.co/TUmtY6VkIA",10.0
NikkiHaley,2023-09-22 20:30:34+00:00,"RT @TeamHaley: Nikki Haley unveils economic plan, slams 'Bidenomics' ahead of GOP debate https://t.co/b2hbDyOmpq",11.0
TeamHaley,2023-09-22 20:30:05+00:00,"Nikki Haley unveils economic plan, slams 'Bidenomics' ahead of GOP debate https://t.co/b2hbDyOmpq",12.0
