,username,orario,text
0,PJQualityGuru,2023-09-07 12:00:30+00:00,"🚨CAMPAIGN UPDATE🚨

I am establishing a PAC to help cover legal fees for the moms, dads and grandparents who are facing politically-motivated criminal charges. They have been abandoned by the RNC and other Party leaders which is why I am also matching up to $1 million in donations.

These America-loving patriots deserve a proper defense, and I'm proud to lead the way. Political speech must never be criminalized in America. 

Donate at https://t.co/FTblFn71L1."
1,PJQualityGuru,2023-09-20 20:30:08+00:00,"Shame on these establishment hacks and their corrupt friends at the RNC for trying to pressure this good man from the race to help a MAGA-hating, washed up moderate.  @chiefjamescraig hold strong!  Conservatives are with you!

https://t.co/JwDIwaXmeJ"
2,PJQualityGuru,2023-09-19 14:24:03+00:00,"Make no mistake, American families are paying the price for this at the grocery stores, fuel pumps and in their mortgage payments. Career politicians are bankrupting this country. My plan puts the American middle class first. I’m going to fix this."
3,NewsWire_US,2023-09-18 22:45:19+00:00,U.S. NATIONAL DEBT TOPS $33 TRILLION FOR FIRST TIME
4,PJQualityGuru,2023-09-17 04:32:18+00:00,"""There is nothing more important to our country than our children,"" he said. ""They are our future.""

https://t.co/Djff2mJSIU"
5,PJQualityGuru,2023-09-16 18:24:02+00:00,"Heading back to Iowa for @IowaFaith Dinner tonight. Iowa and NH are critical to this process as first in the nation contests. The RNC debate rules don’t respect their importance, but I do. Looking forward to connecting with caucus goers in Des Moines in a few hours!"
6,PJQualityGuru,2023-09-15 03:33:40+00:00,RT @NHGOP: Initial lineup is out! Get your tickets HERE - https://t.co/5GKHO2Inpv #nhpolitics https://t.co/7h07oinFuX
7,NHGOP,2023-09-15 02:10:57+00:00,Initial lineup is out! Get your tickets HERE - https://t.co/5GKHO2Inpv #nhpolitics https://t.co/7h07oinFuX
8,PJQualityGuru,2023-09-14 04:16:41+00:00,"RT @Tonight on @77wabcradio:  Where is the #Biden impeachment inquiry headed? #NY pushing for expedited work permits for #migrants. PLUS, #GOP Presidential Candidate #PerryJohnson @PJQualityGuru at 10:35pm AND Minister #ChernorBah at 11:35pm on #UnitedNations &amp; #SierraLeone."
9,RitaCosby,2023-09-14 04:10:17+00:00,"Tonight on @77wabcradio:  Where is the #Biden impeachment inquiry headed? #NY pushing for expedited work permits for #migrants. PLUS, #GOP Presidential Candidate #PerryJohnson @PJQualityGuru at 10:35pm AND Minister #ChernorBah at 11:35pm on #UnitedNations &amp; #SierraLeone."
10,PJQualityGuru,2023-09-12 21:47:55+00:00,"RT @🔊 Perry Johnson (@PJQualityGuru) gave guest host @AllAmericanJen details on the exclusion from the first debate

Full Interview: https://t.co/tIhrzpovlT https://t.co/HgHe2i7zBQ"
11,JoePiscopoShow,2023-09-12 21:44:09+00:00,"🔊 Perry Johnson (@PJQualityGuru) gave guest host @AllAmericanJen details on the exclusion from the first debate

Full Interview: https://t.co/tIhrzpovlT https://t.co/HgHe2i7zBQ"
12,PJQualityGuru,2023-09-12 15:06:59+00:00,"RT @🚨 NOW
⏰ 8:40am EST

Perry Johnson (@PJQualityGuru) joins guest host @AllAmericanJen to give a look at his exclusion from the first debate

LISTEN🎙️LIVE: https://t.co/6JNr9bB6Vu https://t.co/YeORa8gzTa"
13,JoePiscopoShow,2023-09-12 14:35:00+00:00,"🚨 NOW
⏰ 8:40am EST

Perry Johnson (@PJQualityGuru) joins guest host @AllAmericanJen to give a look at his exclusion from the first debate

LISTEN🎙️LIVE: https://t.co/6JNr9bB6Vu https://t.co/YeORa8gzTa"
14,PJQualityGuru,2023-09-12 13:22:38+00:00,I’m coming up next on @NHTodayShow with @ChrisRyan603 to talk about https://t.co/8L0GG8JQ2E. Tune in now to learn more! https://t.co/BpVZVcg9rg
15,PJQualityGuru,2023-09-11 21:45:42+00:00,"Let us #NeverForget what happened on this day 22 years ago, and always honor those who lost their lives in one of the darkest days of our nation's history. God Bless our first responders and all those protect our America and her citizens."
16,PJQualityGuru,2023-09-11 19:56:54+00:00,RT @.@PJQualityGuru joins @PaulWJR right now to announce that he has started a PAC to raise money for those accused of crimes related to the 2020 election and committed to an impressive personal match of up to $1 million. #760WJR
17,wjrradio,2023-09-11 19:56:40+00:00,.@PJQualityGuru joins @PaulWJR right now to announce that he has started a PAC to raise money for those accused of crimes related to the 2020 election and committed to an impressive personal match of up to $1 million. #760WJR
18,PJQualityGuru,2023-09-08 14:02:52+00:00,The criminalization of political speech is a travesty. That’s why I’ve committed to match up to $1 million dollars to ensure those facing politically motivated charges get a proper legal defense. Donations have started pouring in. Go to https://t.co/8L0GG8JQ2E to chip in.
19,PJQualityGuru,2023-09-08 14:02:53+00:00,"All funds will go directly to the moms, dads, grandmas and grandpas who have been abandoned by the RNC."
20,PJQualityGuru,2023-09-07 02:05:57+00:00,"ICYMI: Tomorrow, I'm launching a PAC to help the 2020 Michigan electors build a legal defense fund as the radical left prepares to weaponize the law to politically persecute them while the GOP abandons them.

Watch my interview with @SchmittNYC on @NEWSMAX to learn more! https://t.co/wL8MMCAMto"
21,PJQualityGuru,2023-09-07 01:31:41+00:00,Tune in now!
22,PJQualityGuru,2023-09-07 00:50:42+00:00,Tune in to @NEWSMAX at 7:35pm ET tonight where I'll be joining @SchmittNYC to preview a big announcement I have coming tomorrow. You don't want to miss it!
23,PJQualityGuru,2023-09-02 00:27:20+00:00,BIG announcement next week!
24,PJQualityGuru,2023-08-29 18:48:12+00:00,RT @GOP Presidential Candidate @PJQualityGuru talks with @PaulWJR right now about why he wants Republican National Committee Chairwoman Ronna McDaniel to resign.
25,wjrradio,2023-08-29 18:48:00+00:00,GOP Presidential Candidate @PJQualityGuru talks with @PaulWJR right now about why he wants Republican National Committee Chairwoman Ronna McDaniel to resign.
26,PJQualityGuru,2023-08-26 03:30:29+00:00,"I took 5th place in the Iowa Straw Poll but @GOPChairwoman kicked me out of the debate and put a couple of Never-Trumpers on the stage. Ronna ROMNEY McDaniel should resign before she costs us the Presidency a second time. #resignronna 

https://t.co/IpcHNt0UAf"
27,PJQualityGuru,2023-09-07 12:00:30+00:00,"🚨CAMPAIGN UPDATE🚨

I am establishing a PAC to help cover legal fees for the moms, dads and grandparents who are facing politically-motivated criminal charges. They have been abandoned by the RNC and other Party leaders which is why I am also matching up to $1 million in donations.

These America-loving patriots deserve a proper defense, and I'm proud to lead the way. Political speech must never be criminalized in America. 

Donate at https://t.co/FTblFn71L1."
28,PJQualityGuru,2023-08-24 18:12:59+00:00,"The RNC did rig these debates. The people should decide the GOP nominee, not DC elites. Ronna Romney McDaniel is corrupt and hasn’t had a single successful election cycle as Chair. She must resign before she costs us 2024.

https://t.co/8he8Bbag96"
29,PJQualityGuru,2023-08-24 01:10:25+00:00,"I am obviously disgusted with how the debate process has been corrupted, but I am far more concerned about Joe Biden and the Democrats staying in power and continuing to destroy our country which is why I am calling for Ronna Romney McDaniel’s immediate resignation as RNC Chair. She is incapable of winning, she is incapable of leading and she will cost us elections up and down the ballot in 2024. 

Ronna may be the longest serving chair in RNC history, but she is also going down as the most unsuccessful and corrupt Chair in the history of the Republican Party.

Republicans were decimated in 2018, she allowed Joe Biden to take the White House in 2020 and had the least successful midterm with a Democrat President in the history of the RNC. Now, she has corrupted and botched the debate process by attempting to hand-pick the 2024 GOP nominee with her elitist Washington D.C. buddies. This corruption and incompetence must come to an end or we will lose in 2024.

I encourage other Republicans to stand up and help the grassroots of the GOP take this Party back."
30,PJQualityGuru,2023-08-24 00:49:05+00:00,"I am filing an FEC complaint against the RNC and Fox News for their corrupt debate process. 

You can read it here. 

https://t.co/jekOA345aH"
31,PJQualityGuru,2023-08-24 00:11:07+00:00,The @VictoryPolling national poll was good. @RuthlessPodcast https://t.co/r3yKQSffSi
32,PJQualityGuru,2023-08-23 21:51:42+00:00,The Victory Insights pollster explains his methodology was spot on. The RNC made up an excuse at the 11th hour to throw out a good poll &amp; keep me out of the debate. We had been working with Fox News on logistics all weekend but were thrown off by the RNC Monday night.
33,PeterSchorschFL,2023-08-23 21:34:06+00:00,"The @RNC rejected a @VictoryPolling poll, denying @PJQualityGuru a #GOPODebate invite. Why?

Reporting by @JacobOgles

https://t.co/KSjo7JAEis

#FlaPol"
34,PJQualityGuru,2023-08-23 02:54:24+00:00,Landed in Milwaukee having qualified to debate. Ronna Romney McDaniel &amp; Debate Chair David Bossie have corrupted the RNC debate process to hand-pick establishment candidates for the stage including 2 candidates who refuse to support Trump if he is the nominee. This must be fixed! https://t.co/O8TNc0Vdvs
35,PJQualityGuru,2023-08-23 01:22:03+00:00,"RT @WATCH: Pres Candidate @PJQualityGuru tells Newsmax he's going to sue the RNC and called it ""the most corrupt organization"" that is ""Killing us"" https://t.co/EOSbdqx2s7"
36,kelsientaggart,2023-08-23 01:20:40+00:00,"WATCH: Pres Candidate @PJQualityGuru tells Newsmax he's going to sue the RNC and called it ""the most corrupt organization"" that is ""Killing us"" https://t.co/EOSbdqx2s7"
37,PJQualityGuru,2023-08-23 00:57:42+00:00,Tune in at 7:05pm ET where I’m joining @SchmittNYC on @NEWSMAX to talk about the latest RNC corruption. I’ll be sharing more about my path forward. You don’t want to miss it.
38,PJQualityGuru,2023-08-22 19:46:59+00:00,"Corrupt David Bossie who was fired for ripping off @realDonaldTrump  made the decision to exclude the McLaughlin poll because he supposedly worked for President Trump. He also excluded the Victory Insight poll claiming it wasn’t a national poll, which means he clearly doesn’t understand the polling process. He should not have been in charge of this corrupt debate process and should resign. Maybe there should be a protest this week of Ronna Romney McDaniel in Oakland County to demand Bossie’s resignation. Details to follow."
39,PJQualityGuru,2023-08-22 17:17:16+00:00,"🚨UPDATE🚨

Perry Johnson Blasts RNC for Corrupt and Rigged Debate Process

Johnson campaign to announce legal action in the coming hours

➡️https://t.co/hlrS9vddXc"
40,PJQualityGuru,2023-08-22 05:44:31+00:00,"The debate process has been corrupted, plain and simple. Our campaign hit every metric put forward by the RNC and we have qualified for the debate. We’ll be in Milwaukee Wednesday and will have more to say tomorrow."
41,PJQualityGuru,2023-08-22 00:27:10+00:00,"I’ve said it since day one: our number one objective in 2024 is to #FireBiden! 

I am prepared to not only debate in Milwaukee Wednesday, but am ready to take on @JoeBiden and his miserable record in the fall. 

Officially signed the RNC’s Beat Biden Pledge today! https://t.co/7qOx6lQy9f"
42,PJQualityGuru,2023-08-21 22:50:19+00:00,"RT @""Who am I going to discuss it with? Let's face it. Nobody else has a plan.""

Republican presidential candidate @PJQualityGuru joins @SarahAMuller1 on ""Eye on Iowa"" to discuss the upcoming RNC debate.  
https://t.co/W4alDZAAGp https://t.co/ScmfSx8XnS"
43,Forbes,2023-08-21 22:17:45+00:00,"""Who am I going to discuss it with? Let's face it. Nobody else has a plan.""

Republican presidential candidate @PJQualityGuru joins @SarahAMuller1 on ""Eye on Iowa"" to discuss the upcoming RNC debate.  
https://t.co/W4alDZAAGp https://t.co/ScmfSx8XnS"
44,PJQualityGuru,2023-08-21 20:56:21+00:00,"Excited to announce the RNC just confirmed a total of more than 50k unique donors to our campaign, well beyond the threshold for Milwaukee!"
45,PJQualityGuru,2023-08-21 15:38:13+00:00,RT @@greggutfeld Have you read Two Cents to Save America by Perry Johnson?  He really boils it down.  He deserves a look and maybe a comment on The Five.
46,DebbiPanAm,2023-08-21 15:25:16+00:00,@greggutfeld Have you read Two Cents to Save America by Perry Johnson?  He really boils it down.  He deserves a look and maybe a comment on The Five.
47,PJQualityGuru,2023-08-21 15:37:23+00:00,"RT @NewHampJournal: Perry Johnson’s Longshot Bid Makes GOP Pres. Debate Stage 

https://t.co/tRq2rX4QaJ 
@NHGOP #FITN"
48,NewHampJournal,2023-08-21 13:22:42+00:00,"Perry Johnson’s Longshot Bid Makes GOP Pres. Debate Stage 

https://t.co/tRq2rX4QaJ 
@NHGOP #FITN"
49,PJQualityGuru,2023-08-21 01:37:46+00:00,"RT @A new episode of my reality series, #BackstagePass, airs tonight at 9pm ET on @NEWSMAX. 

The episode follows our journey to Iowa for the State Fair and, of course, our rally and concert with @bigandrich. It’s an episode you don’t want to miss, so be sure to tune in! https://t.co/cNpGaBSrtv"
50,PJQualityGuru,2023-08-21 01:29:58+00:00,"A new episode of my reality series, #BackstagePass, airs tonight at 9pm ET on @NEWSMAX. 

The episode follows our journey to Iowa for the State Fair and, of course, our rally and concert with @bigandrich. It’s an episode you don’t want to miss, so be sure to tune in! https://t.co/cNpGaBSrtv"
51,PJQualityGuru,2023-08-21 01:22:55+00:00,"RT @Over the past few days many GOP candidates have reached the 40,000 donor mark to make the debate stage on Wednesday such as @AsaHutchinson, @PJQualityGuru, @WillHurd. But other requirements such as polling are holding candidates back like @RyanBinkley. #iowacaucus https://t.co/g5mXalH5AF"
52,SarahAMuller1,2023-08-21 01:22:05+00:00,"Over the past few days many GOP candidates have reached the 40,000 donor mark to make the debate stage on Wednesday such as @AsaHutchinson, @PJQualityGuru, @WillHurd. But other requirements such as polling are holding candidates back like @RyanBinkley. #iowacaucus https://t.co/g5mXalH5AF"
53,PJQualityGuru,2023-09-07 12:00:30+00:00,"🚨CAMPAIGN UPDATE🚨

I am establishing a PAC to help cover legal fees for the moms, dads and grandparents who are facing politically-motivated criminal charges. They have been abandoned by the RNC and other Party leaders which is why I am also matching up to $1 million in donations.

These America-loving patriots deserve a proper defense, and I'm proud to lead the way. Political speech must never be criminalized in America. 

Donate at https://t.co/FTblFn71L1."
54,PJQualityGuru,2023-08-20 23:40:06+00:00,"RT @GOP presidential candidate Perry Johnson believes that the race for the nomination really begins on the debate stage, despite former President Donald Trump's lead in the polls. Johnson plans to present his plan to cut discretionary spending during the

https://t.co/QUcUMEto7I"
55,izzorv6,2023-08-20 16:11:06+00:00,"GOP presidential candidate Perry Johnson believes that the race for the nomination really begins on the debate stage, despite former President Donald Trump's lead in the polls. Johnson plans to present his plan to cut discretionary spending during the

https://t.co/QUcUMEto7I"
56,PJQualityGuru,2023-08-20 23:39:56+00:00,RT @MMNewzz: Perry Johnson to Newsmax: Race Begins on Debate Stage https://t.co/S1vVSsXdIU https://t.co/5YsVvzXffm
57,MMNewzz,2023-08-20 16:26:04+00:00,Perry Johnson to Newsmax: Race Begins on Debate Stage https://t.co/S1vVSsXdIU https://t.co/5YsVvzXffm
58,PJQualityGuru,2023-08-20 22:01:15+00:00,"“You really don't know a candidate until you actually get to hear the candidate, get to hear everything, you get to see what he says, and you have an idea of what this person is all about.""

https://t.co/xdl8aOvcwl"
59,PJQualityGuru,2023-08-20 21:30:44+00:00,"RT @I got my FREE copy of ‘Two Cents to Save America’ in the mail today!

Thanks @PJQualityGuru! I will get to reading very soon. https://t.co/5ZUIDcLeTc"
60,mattrg45,2023-08-20 05:40:20+00:00,"I got my FREE copy of ‘Two Cents to Save America’ in the mail today!

Thanks @PJQualityGuru! I will get to reading very soon. https://t.co/5ZUIDcLeTc"
