username,orario,text
POTUS,2023-10-05 00:22:32+00:00,"The House will now re-organize to select a new speaker.
 
To our Republican colleagues: We remain committed to working in a bipartisan fashion for the good of the American people.
 
It's what they expect and deserve. https://t.co/3lGUSLp9sN"
POTUS,2023-10-05 23:55:22+00:00,"I’m proud to welcome General Charles Brown to his new position as chairman of the Joint Chiefs of Staff.
 
General Brown is a true patriot, and I look forward to working with him to ensure that we can continue to deter and defeat any potential threat to the American people. https://t.co/PXrlPQ9B5X"
POTUS,2023-10-05 16:55:00+00:00,"Folks, manufacturers of all 10 drugs selected for Medicare price negotiation are coming to the table.
 
These drugs treat blood clots, diabetes, kidney disease, arthritis, blood cancers, Crohn’s disease, and more.

Finally, we can negotiate for seniors to get a better deal."
POTUS,2023-10-05 14:00:00+00:00,Fixing our broken student loan system doesn’t just get working folks breathing room – it’s good for our economy and our country. https://t.co/GTaaS4xe2M
POTUS,2023-10-05 01:15:00+00:00,"I’ve said it before, and I’ll say it again:
 
For many Americans, the cost of one drug is the difference between dignity and dependence.
 
It's time we change that."
POTUS,2023-10-05 00:22:32+00:00,"The House will now re-organize to select a new speaker.
 
To our Republican colleagues: We remain committed to working in a bipartisan fashion for the good of the American people.
 
It's what they expect and deserve. https://t.co/3lGUSLp9sN"
POTUS,2023-10-05 00:22:32+00:00,"The House will now re-organize to select a new speaker.
 
To our Republican colleagues: We remain committed to working in a bipartisan fashion for the good of the American people.
 
It's what they expect and deserve. https://t.co/3lGUSLp9sN"
POTUS,2023-09-29 01:36:58+00:00,"Democracy is not a partisan issue. It’s an American issue.

That's why I've come today to Arizona to honor the McCain Institute and Library – because they are home to a proud Republican who put country first.

Our commitment should be no less. https://t.co/75tsQpJZ10"
POTUS,2023-09-28 19:39:17+00:00,"Today in Phoenix at an institute devoted to the defense of democracy named in honor of a true patriot, Senator John McCain, I’ll speak about the threat to our institutions, to our Constitution itself, and the very character of our nation."
POTUS,2023-09-28 16:00:01+00:00,"This May, Speaker McCarthy and I reached a deal that would fund essential priorities and cut the deficit over $1 trillion. 

Now, there's a group of extreme House Republicans who would rather shut down the government than live up to that deal."
POTUS,2023-09-28 03:02:55+00:00,"Its simple.

Extreme House Republicans need to do their job: 

Fund the government. https://t.co/MjlCw69ymM"
POTUS,2023-09-28 00:05:00+00:00,"America is the only nation in the world that can be defined by one word: 

Possibilities.
 
Science and technology allow us to unlock our potential as a nation and meet the challenges of our time with urgency and purpose. https://t.co/BpQvDytgxe"
POTUS,2023-09-27 16:15:00+00:00,"Funding the government is one of the most basic responsibilities of Congress.

It's time for extreme Republicans in the House to start doing the job America elected them to do. We have time, let's get it done."
POTUS,2023-09-27 01:46:09+00:00,"UAW members, your president stands with you. https://t.co/nD9Bc0NGDi"
POTUS,2023-09-27 01:35:00+00:00,"If the government shuts down, that means members of our U.S. military are going to be on duty, unpaid.

There’s no reason for us to be in this position.

Just a few months ago we reached a bipartisan budget agreement on spending. We shook hands. Now, they’re reneging on the deal."
POTUS,2023-09-26 16:30:28+00:00,A message from me on the extreme Republican shutdown: https://t.co/Gofyc437z6
POTUS,2023-09-26 22:35:00+00:00,"Just as we’re building an economy of the future, we need labor agreements for the future."
POTUS,2023-09-26 21:45:02+00:00,"Record corporate profits should mean record contracts.

It's time American autoworkers got a fair deal. https://t.co/DN2IMbcuuh"
POTUS,2023-09-26 19:25:16+00:00,"Today, I'm in Wayne County, Michigan to join UAW members on the picket line.
 
All workers deserve to share in the value they helped create."
POTUS,2023-09-26 18:45:00+00:00,"Let me be clear:

If the government shuts down, members of the U.S. military are going to have to continue to work but not get paid.

Extreme House Republicans are playing politics with our servicemembers and their families."
POTUS,2023-09-26 03:41:40+00:00,"Funding the government is one of the most basic responsibilities of Congress. 
 
It’s time for extreme House Republicans to do the job America elected them to do. https://t.co/EAwNpJzeuJ"
POTUS,2023-09-26 02:40:01+00:00,"Historically Black Colleges and Universities play a critical role in our nation – they're engines of economic mobility with legacies of excellence.

I'm proud to invest in them. And I won't let up. https://t.co/WlTnf41jxb"
POTUS,2023-09-26 16:30:28+00:00,A message from me on the extreme Republican shutdown: https://t.co/Gofyc437z6
POTUS,2023-09-26 16:30:28+00:00,A message from me on the extreme Republican shutdown: https://t.co/Gofyc437z6
POTUS,2023-09-26 16:30:28+00:00,A message from me on the extreme Republican shutdown: https://t.co/Gofyc437z6
POTUS,2023-09-26 16:30:28+00:00,A message from me on the extreme Republican shutdown: https://t.co/Gofyc437z6
POTUS,2023-09-26 16:30:28+00:00,A message from me on the extreme Republican shutdown: https://t.co/Gofyc437z6
POTUS,2023-09-25 17:31:52+00:00,"I applaud the WGA and AMPTP for reaching a tentative agreement that will allow writers to return to telling the stories of our nation, our world, and all of us.

All workers – including writers, actors, and autoworkers – deserve a fair share of the value they helped create."
POTUS,2023-09-25 16:47:25+00:00,Tune in as I host a meeting with Pacific Islands Forum leaders for the U.S.-Pacific Islands Forum Summit. https://t.co/h30ReVIpFH
POTUS,2023-09-25 14:00:00+00:00,"Let me break down the key difference between Bidenomics and MAGAnomics.

House Republicans think massive corporations and the wealthiest Americans need a tax break.

I think it's time working people saw some relief. And the wealthiest started paying their fair share."
POTUS,2023-09-25 02:00:13+00:00,"Right now, we face a moment where basic principles like sovereignty, territorial integrity, and universal human rights are being tested.

We must stand up — we owe it to ourselves, to each other, and to generations to come. https://t.co/L4XdWfSyHR"
POTUS,2023-09-25 00:00:00+00:00,"We pay more for prescription drugs than any other major economy in the world.

But when we passed the Inflation Reduction Act – with no help from the other team – we beat Big Pharma.

And it’s already making a difference. https://t.co/V181tIHlNA"
POTUS,2023-09-22 23:18:34+00:00,Promise kept. https://t.co/JZcgFh8DSx
POTUS,2023-09-24 14:00:00+00:00,The White House Office of Gun Violence Prevention is going to save lives. https://t.co/UpoKx7a3LH
POTUS,2023-09-24 03:17:53+00:00,Join the Vice President and me as we deliver remarks at the 2023 Phoenix Awards Dinner. https://t.co/ufTbPemrQP
POTUS,2023-09-24 02:39:43+00:00,"Concert tickets are hard enough to get, you shouldn’t have to pay surprise service fees on top of that.

My Administration is working to crack down on those junk fees, so you know what you are paying for up front."
POTUS,2023-09-23 23:55:01+00:00,"Bidenomics is about making smart investments in American infrastructure, supply chains, manufacturing, and clean energy.

And it's working.

On my watch we’ve created more than 13 million new jobs, including 800,000 manufacturing jobs."
POTUS,2023-09-23 22:05:01+00:00,"We have a duty to our economy, the young people in this nation, and future generations to act boldly and continue taking the most aggressive action on climate in history. https://t.co/hYxmqulPMz"
POTUS,2023-09-23 19:05:28+00:00,The world is depending on the United Nations to master our challenges and prove ourselves capable of forging a better future for humankind. https://t.co/QSV6W1WVTM
POTUS,2023-09-23 15:52:19+00:00,"In 2020, 55 of the largest corporations paid zero in income tax. Under the law I passed, they'll have to pay a minimum tax of 15%.

Congressional Republicans’ plan is to cut taxes for the wealthy and big corporations.

Mine prioritizes tax breaks for folks who actually need them."
POTUS,2023-09-23 01:05:04+00:00,"Because of the survivors, families, advocates, and young people who protested, organized, voted, ran for office, and marched for their lives –

I am proud to announce the creation of the first-ever White House Office of Gun Violence Prevention in our history. https://t.co/ru6rNM1Dhv"
POTUS,2023-09-22 22:56:21+00:00,"Tuesday, I’ll go to Michigan to join the picket line and stand in solidarity with the men and women of UAW as they fight for a fair share of the value they helped create.

It’s time for a win-win agreement that keeps American auto manufacturing thriving with well-paid UAW jobs."
POTUS,2023-09-22 21:12:46+00:00,"It’s time to again ban assault weapons and high-capacity magazines.
 
And let me be very clear:
 
If members of Congress refuse to act, then we need to elect new members of Congress who will act."
POTUS,2023-09-22 20:53:15+00:00,The Vice President and I have officially announced the first-ever White House Office of Gun Violence Prevention. Listen in: https://t.co/s0rhq1p1y6
POTUS,2023-09-22 17:44:44+00:00,"At a time when there are those who want to ban books and erase parts of history, we’re making clear during Hispanic Heritage Month that Hispanic heritage is American heritage. https://t.co/Tj2yAKNWdk"
POTUS,2023-09-22 15:25:01+00:00,"We've taken historic action to combat the scourge of gun violence in America, but I'll tell you myself:
 
There's more to do.
 
I'm proud to establish the first-ever White House Office of Gun Violence Prevention. https://t.co/FNWoCPgHOF"
POTUS,2023-09-22 14:00:31+00:00,"Because thoughts and prayers are not enough.
 
@VP and I just created the first White House Office of Gun Violence Prevention."
POTUS,2023-09-22 02:45:30+00:00,"The United States' commitment to Ukraine will not weaken.
 
Putin may still wrongly believe that he can outlast Ukraine.
Putin may doubt our staying power.

He’s wrong.
 
We will stand for liberty and freedom today, tomorrow, and for as long as it takes. https://t.co/k1m1BgggvT"
POTUS,2023-09-22 01:35:01+00:00,"The United States will continue to stand with the brave people of Ukraine.
 
It's not just an investment in Ukraine’s future.
 
But in a future where the entire world respects the principles of independence, sovereignty, and territorial integrity."
POTUS,2023-09-22 00:51:26+00:00,"Last time there was a government shutdown, 800,000 Americans were furloughed or worked without pay.

But enjoy your weekend."
axios,2023-09-21 20:47:42+00:00,NEW: Congress is officially heading home for the weekend after House GOP hardliners once again tanked plans to fund the government by the Oct. 1 deadline. https://t.co/LPVm1w2XP2
POTUS,2023-09-22 00:36:05+00:00,"Glad to have you back, Mr. President and Mrs. Zelenska. https://t.co/TaRaLkiL8w"
POTUS,2023-09-22 00:10:19+00:00,"Two nations. One clear, firm, and unwavering message: We stand together.

Дві країни. Один чіткий, твердий і непохитний сигнал: ми разом. https://t.co/d5VGFt8nJk"
POTUS,2023-09-22 23:18:34+00:00,Promise kept. https://t.co/JZcgFh8DSx
POTUS,2023-09-21 22:15:00+00:00,"For 30 years, @AmeriCorps has provided over 1 million Americans a career pathway and the opportunity to serve.

They've taught millions how to read, rebuilt thousands of homes after disasters, and now play a critical role in my new American Climate Corps.

Happy 30th, AmeriCorps!"
POTUS,2023-09-21 17:50:14+00:00,"Wildfires and floods across the U.S. tell an urgent story of what awaits us if we fail to reduce our dependence on fossil fuels and begin to climate-proof our world.

From day one of my Administration, we’ve treated this crisis like the existential threat that it is."
POTUS,2023-09-21 17:50:15+00:00,"We must bring commitment, urgency, and ambition as we work to meet the Sustainable Development Goals by 2030, a roadmap for improving lives around the world adopted at the United Nations in 2015."
POTUS,2023-09-21 17:50:16+00:00,"The hard truth is that, after decades of progress, the world has lost ground in the wake of COVID-19, conflicts, and other crises.

The United States is committed to doing its part to get us back on track."
POTUS,2023-09-21 16:15:57+00:00,"For the second year, the UN General Assembly was darkened by the shadow of an illegal war brought without provocation by Russia against its neighbor Ukraine.

The United States strongly supports Ukraine as it defends its territory and tries to bring about a diplomatic resolution that delivers just and lasting peace."
POTUS,2023-09-21 03:30:00+00:00,"Mr. President, it’s great to see you again.
 
When we last met, you said that we have an obligation to leave the next generation a better world, and I couldn't agree with you more.
 
Brazil and the United States are meeting that obligation together. https://t.co/RjXxOKbGx2"
POTUS,2023-09-21 02:30:00+00:00,"My Administration just approved $37 million in debt cancellation for 1,200 borrowers whose colleges took advantage of them or closed abruptly, bringing us to $117 billion in student loan debt relief for 3.4 million borrowers.

We'll use every tool we can to get borrowers relief."
POTUS,2023-09-21 01:30:00+00:00,"The right to vote is the threshold of democracy and liberty everywhere in the world.

Without it, nothing is possible.

Governor, I applaud this huge step forward to expand that right for Pennsylvanians."
GovernorShapiro,2023-09-20 00:00:00+00:00,"Pennsylvania now has automatic voter registration.

There are about 1.6 million Pennsylvanians who are eligible to vote but aren’t registered.

This is a safe, secure, and streamlined way to be able to get them to register and participate in our democracy. https://t.co/0R2PgfUZXm"
POTUS,2023-09-21 00:10:18+00:00,Join the next generation of climate action at https://t.co/dp0NctSzPp. https://t.co/ZtPEzQy7z1
