username,orario,text,Unnamed: 0
Redistrict,2023-09-26 16:44:02+00:00,"NEW: the Supreme Court's rejection of Alabama Republicans' last-ditch request ensures that one of the three maps proposed by a court-appointed special master (all of which feature a second Black majority seat) will be adopted for 2024, netting Dems a seat. https://t.co/auW41e3g9j",
Redistrict,2022-11-11 17:25:00+00:00,"Disclaimer: as has always been the case, the personal judgments offered by this account regarding election results are not official race ""calls"" and do not necessarily reflect the views of the Cook Political Report, NBC News or any other entity.",0.0
Redistrict,2023-09-07 16:19:52+00:00,"RT @Democrats are preparing to take another shot at Montana’s 1st District in 2024, with a rematch between 2022 Democratic nominee Monica Tranel and Republican Rep. Ryan Zinke looking increasingly likely.

@leahaskarinam on Montana's 2024 House races: https://t.co/VFRRuIfB4B",1.0
CookPolitical,2023-09-07 16:19:35+00:00,"Democrats are preparing to take another shot at Montana’s 1st District in 2024, with a rematch between 2022 Democratic nominee Monica Tranel and Republican Rep. Ryan Zinke looking increasingly likely.

@leahaskarinam on Montana's 2024 House races: https://t.co/VFRRuIfB4B",2.0
Redistrict,2023-09-07 16:04:34+00:00,"This is actually a win for Democrats, as Republicans won’t get a chance to more aggressively re-gerrymander Ohio’s lines before 2024. Per Ohio’s rules, however, the lines will need to be redrawn by 2026.",3.0
AndrewJTobias,2023-09-07 15:22:26+00:00,"Ohio will use same unconstitutional congressional maps in 2024, as court dismisses legal challenges

https://t.co/fkRwjX3S9s",4.0
Redistrict,2023-09-07 16:19:11+00:00,"The current @CookPolitical ratings for Ohio’s competitive seats will remain in place:

#OH01 Greg Landsman (D) - Lean D
#OH09 Marcy Kaptur (D) - Lean D
#OH13 Emilia Sykes (D) - Toss Up",5.0
Redistrict,2023-09-05 16:00:08+00:00,"New: federal court strikes down AL GOP's latest congressional map. In scathing opinion, judges say they're ""disturbed"" map ""did not even nurture the ambition"" to adhere to SCOTUS ruling, will appoint special master to drawn extra Black opportunity seat. https://t.co/B1DOLlljTG https://t.co/r2gLzpNzAA",6.0
Redistrict,2023-09-03 04:14:40+00:00,"A big win for Dems/civil rights plaintiffs: Black plurality North FL district one step closer to being restored after FL judge strikes down DeSantis map. Still likely headed for appeal at FL Supreme Court, but remedial process can begin. https://t.co/1TpDU8ltx5",7.0
Redistrict,2023-08-28 05:22:23+00:00,"Let’s just say he’s already carved out a special, oddly configured district in our hearts.",8.0
MayaSRod,2023-08-28 04:50:24+00:00,What if the full name is Gerry Mander Wasserman 🤔,9.0
Redistrict,2023-08-28 04:12:38+00:00,I’ve seen enough (for now): taking a break from politics to welcome Gerry M. Wasserman into the world...he’s already mapped out a place in our hearts. See you all in a month or two. https://t.co/sfPxDdI5MU,10.0
Redistrict,2023-08-25 20:36:29+00:00,"RT @GoRemy: Dear Oliver Anthony,

It's hard for us too. 😢

Sincerely,
The Rich Men North of Richmond 

https://t.co/PSXiAJLAux",11.0
GoRemy,2023-08-25 16:31:49+00:00,"Dear Oliver Anthony,

It's hard for us too. 😢

Sincerely,
The Rich Men North of Richmond 

https://t.co/PSXiAJLAux",12.0
Redistrict,2023-08-13 06:01:34+00:00,"New signs of life for the legal challenge to Florida's congressional map, under state law. This is a big deal: if plaintiffs are successful, the restoration of a Black-plurality #FL05 would flip another House seat to Dems for 2024. https://t.co/mhW2fJxixd",13.0
Redistrict,2023-08-09 03:49:04+00:00,"It looks like Ohio Issue 1 is going to fail in Delaware Co. (northern Columbus burbs), which has voted Republican in every presidential race since 1916 and didn't even vote for Sherrod Brown in 2018.",14.0
Redistrict,2023-08-09 01:55:56+00:00,"I've seen enough: in a major victory for the pro-choice side, Ohio Issue 1 (a measure to raise the threshold to pass a state constitutional amendment to 60%) fails.",15.0
Redistrict,2023-08-09 03:04:02+00:00,"The final Ohio Issue 1 map could end up looking a lot like the '18 Senate race map, where Sherrod Brown's strength/religious conservatives' weakness with blue-collar voters in eastern Ohio proved decisive.",16.0
Redistrict,2023-08-09 01:44:56+00:00,"Looking pretty brutal for the GOP side in Ohio Issue 1 returns so far, although we don't yet have a great handle on differentials between early/EDay.",17.0
Redistrict,2023-08-08 23:54:10+00:00,New @CookPolitical: Michigan is a prime 2024 House battleground. Will Rs flip Rep. Elissa Slotkin's (D) open seat? Can Dems deny Rep. John James (R) a second term? Don't miss our full analysis. https://t.co/G7lN89PkON,18.0
Redistrict,2023-08-04 17:18:03+00:00,"RT @The 2024 looks like a 2020 rerun, but w/ a LOT of unpredictable storylines on the horizon like a split screen of Biden impeachment &amp; Trump legal trials next year?

https://t.co/hCfp3JLXhe",19.0
amyewalter,2023-08-04 17:17:43+00:00,"The 2024 looks like a 2020 rerun, but w/ a LOT of unpredictable storylines on the horizon like a split screen of Biden impeachment &amp; Trump legal trials next year?

https://t.co/hCfp3JLXhe",20.0
Redistrict,2023-07-31 14:25:53+00:00,"RT @One thing that caught my eye in the poll: Republicans thought DeSantis was more likable than Trump -- one of his few bright-spots in the poll-- despite all the dunking on him on this issue. 
They just don't think he's as fun, which almost perfectly mirrors the topline result https://t.co/yNpIs0EcF8",21.0
Nate_Cohn,2023-07-31 14:16:58+00:00,"One thing that caught my eye in the poll: Republicans thought DeSantis was more likable than Trump -- one of his few bright-spots in the poll-- despite all the dunking on him on this issue. 
They just don't think he's as fun, which almost perfectly mirrors the topline result https://t.co/yNpIs0EcF8",22.0
Redistrict,2023-07-28 13:57:09+00:00,"My latest for @CookPolitical: ""Allen v. Milligan's ultimate impact on the 2024 race for House control will depend on high-stakes lower court fights raging across the South."" Full rundown of the state of play in AL, LA, GA, FL, NC, SC, and TX. https://t.co/eEvKWf5iVa https://t.co/lc1JmvbYn7",23.0
Redistrict,2023-07-28 13:46:31+00:00,"RT @How It Started (August 1995 Electoral College Ratings)

How It’s Going (August 2023 Electoral College Ratings) https://t.co/n5XqAt02Ki",24.0
amyewalter,2023-07-27 18:15:21+00:00,"How It Started (August 1995 Electoral College Ratings)

How It’s Going (August 2023 Electoral College Ratings) https://t.co/n5XqAt02Ki",25.0
Redistrict,2023-07-20 16:00:31+00:00,"NEW @CookPolitical: five House rating changes, including #CA41 Rep. Ken Calvert (R) and #CO03 Rep. Lauren Boebert (R) from Lean R to Toss Up. Full analysis: https://t.co/BRitK3rSfD https://t.co/bRhb5ZtWHH",26.0
Redistrict,2023-07-20 15:03:07+00:00,"New @CookPolitical: the latest scoop on the #UT02 special election by the talented @leahaskarinam, who will be helping us part-time the next few months. Welcome, Leah! https://t.co/bPqLgjh4Mn",27.0
