username,orario,text
RepHoulahan,2023-10-05 17:34:05+00:00,"Calling all Berks and Chester County residents interested in attending one of the U.S. military service academies, the deadline to apply for a congressional nomination is October 16! 

You can apply at https://t.co/x3WBaN3LRp. https://t.co/Td9dOtzZb7"
RepHoulahan,2023-09-26 23:45:49+00:00,RT @On Wednesday @RepHoulahan and I joined @CenterForwardUS  for a discussion about servicemember and veteran healthcare. We had the opportunity to highlight some of the great work our Armed Services Committee bipartisan Quality of Life Task Force is doing. Thanks for having me! https://t.co/8dIroVJYpw
RepJenKiggans,2023-09-26 21:31:04+00:00,On Wednesday @RepHoulahan and I joined @CenterForwardUS  for a discussion about servicemember and veteran healthcare. We had the opportunity to highlight some of the great work our Armed Services Committee bipartisan Quality of Life Task Force is doing. Thanks for having me! https://t.co/8dIroVJYpw
RepHoulahan,2023-09-26 16:08:38+00:00,Great news! You can now order another round of free COVID tests from the @WhiteHouse. Order yours at https://t.co/KQQpFmj5Ov.
WhiteHouse,2023-09-25 16:20:43+00:00,"Starting today, every household can order another free round of COVID tests – shipped straight to your door.

Head to https://t.co/GqK9GmYJE2 to order yours. https://t.co/LUg77yZLhU"
RepHoulahan,2023-09-25 22:32:38+00:00,"I’m proud 3⃣ of my bills to help PA agriculture have been endorsed by @NewDemCoalition for this year's farm bill!

These bills would:
✅ Protect our mushroom farmers
✅ Bolster the industrial hemp industry
✅ Protect crops from spotted lanternflies"
NewDemCoalition,2023-09-25 21:38:15+00:00,"NEW: “A group of fiscally moderate Democrats are looking to the Farm Bill to combat rising food insecurity, endorsing a slate of 44 measures to bolster nutrition programs and strengthen food supply chains.”

Learn more in @TheMessenger ⬇️
https://t.co/MDOtrBDoCs"
RepHoulahan,2023-09-25 21:53:39+00:00,"When I heard TRICARE didn't cover doulas — nonmedical providers that support women in pregnancy — at military treatment facilities, I knew I had to do something about it.

That's why I've included language in this year's defense spending bill to cover it.https://t.co/4KRggLCOly"
RepHoulahan,2023-09-25 20:14:21+00:00,"G’mar Chatima Tovah. Wishing all those in Pennsylvania and around the world observing Yom Kippur, a blessed and meaningful fast today."
RepHoulahan,2023-09-21 21:44:57+00:00,"Hundreds of @DeptofDefense sites and prior military installations across the country are contaminated with PFAS. Known as ""forever chemicals,"" PFAS impacts thousands of Americans including many in southeastern PA.
https://t.co/TXCKLrF598"
RepHoulahan,2023-09-21 21:44:57+00:00,"After hearing about this, I wrote a letter — along with 50 of my colleagues — urging the DoD to expedite the clean up of these sites and allocate proper funds to make that possible.

Learn more about this important &amp; necessary effort to protect Americans from forever chemicals ⬇️ https://t.co/NzoMHCn5QS"
RepHoulahan,2023-09-21 18:06:55+00:00,"We cannot continue wasting our time with political games.

I joined my @NewDemCoalition colleagues in calling on Speaker McCarthy to find a bipartisan solution and avert a government shutdown.
https://t.co/hW9skfFFax"
RepHoulahan,2023-09-20 19:21:43+00:00,"Happy Hispanic Heritage Month! We have such a vibrant Hispanic community in Berks and Chester Counties, and a few weeks ago I had the opportunity to sit down with some of our Hispanic-owned small businesses in Phoenixville. https://t.co/DOnu2hM8kx"
RepHoulahan,2023-09-20 19:21:44+00:00,"As a former entrepreneur, it was great to celebrate the accomplishments of these local businesses and discuss the challenges they face as well. I met with owners from Magic Memories, Palermo’s Pizza, Liberty Square Pizza, and Café com Leite. https://t.co/yRwZp5GyvN"
RepHoulahan,2023-09-20 19:21:45+00:00,"Before our discussion, I also toured Magic Memories, a Hispanic-owned daycare center in Phoenixville. As we continue to celebrate Hispanic Heritage Month, I’ll be highlighting more Hispanic voices in our community and the positive impact they bring to Southeastern PA. https://t.co/Rhxoj6fcU9"
RepHoulahan,2023-09-20 18:20:33+00:00,"Momentarily, I'll be presiding over the House Floor to defend reproductive freedoms for service women and their families.

As we work towards passing the annual defense bill, I will not relent as we protect those who put their lives on the line for our country."
RepHoulahan,2023-09-19 22:29:13+00:00,"NEWS: I'm incredibly proud to share I will be a @HouseDemocrats conferee to this year's annual defense bill, the National Defense Authorization Act.

As a veteran, I will fight to make sure we continue to place people over politics and pass a bill that strengthens our military."
RepHoulahan,2023-09-19 21:57:52+00:00,"Such a tragic loss. As the home for many students in Chester and Berks, @TempleUniv is a valued institution in our community.

Our office is thinking of her family, Temple students, faculty and staff, and all Pennsylvanians who knew her.
https://t.co/lbJ7Ni2MIg"
RepHoulahan,2023-09-19 16:08:38+00:00,"Reading is excited and ready to welcome @VP Kamala Harris to our community today! 

Her historic multi-state tour to speak with our nation's youth comes at a critical time, and there is no better place to visit next than our very own Reading Area Community College, @RACC_edu."
VP,2023-09-18 19:21:37+00:00,"To our nation's young leaders: Don't ever let anybody silence you.

I am honored to travel our nation and stand with students in the fight for fundamental rights and freedoms. https://t.co/CIA2qFkiUt"
RepHoulahan,2023-09-19 16:08:38+00:00,"As one of the most fearless and effective messengers in this Administration, Vice President Harris will show students, faculty and staff, &amp; community leaders what we all know to be true - she is a fighter for everyday Americans. More on her nationwide tour:https://t.co/OXwTl8pMiy"
RepHoulahan,2023-09-19 15:48:24+00:00,"Thank you, @GovernorShapiro, for helping more Pennsylvanians access the ballot box 🇺🇸🇺🇸🇺🇸"
GovernorShapiro,2023-09-19 14:30:27+00:00,"From now on in Pennsylvania, if you’re an eligible voter getting or renewing your driver’s license or ID card at the DMV, you will be automatically registered to vote unless you choose to opt out.

Pennsylvania is an automatic voter registration state."
RepHoulahan,2023-09-18 23:07:28+00:00,"Earlier this month, I hosted a conversation with Black leaders in Chester County. We had representatives from community organizations such as NAACP branches, local government officials, faith-based leaders, students, and other community members. https://t.co/dH3kG3ZTvu"
RepHoulahan,2023-09-18 23:07:29+00:00,"We had a productive discussion on various topics such as student loans, agriculture, and climate change. We were also able to discuss how communities of color in Chester County will benefit from large federal bills, such as the Inflation Reduction Act. https://t.co/2PH31R5NRN"
RepHoulahan,2023-09-18 22:27:15+00:00,RT @Thrilled to have had CEO James Cowan meet with @RepHoulahan to discuss our work in Ukraine and the vital role of women in the mine action sector. Thank you for your commitment to this important issue and for your leadership on the UXO/Demining Caucus! https://t.co/s1LYueGxVk
HALOTrustUSA,2023-09-18 21:32:06+00:00,Thrilled to have had CEO James Cowan meet with @RepHoulahan to discuss our work in Ukraine and the vital role of women in the mine action sector. Thank you for your commitment to this important issue and for your leadership on the UXO/Demining Caucus! https://t.co/s1LYueGxVk
RepHoulahan,2023-09-18 16:11:53+00:00,"My time in the @usairforce was one of the most formative periods in my life. 

Happy birthday, and keep aiming high! 🥳✈️"
DeptofDefense,2023-09-18 14:07:00+00:00,"Happy birthday, @USAirForce!  

76 never looked so good! #AimHigh https://t.co/XPFdim8rha"
RepHoulahan,2023-09-15 21:12:02+00:00,"To all the Pennsylvanians celebrating #RoshHashanah this evening, my entire team and I want to wish you a joyous and fruitful new year! 🍎🍯"
RepHoulahan,2023-09-15 18:48:04+00:00,"RT @Right now, 81,000 brave service members remain missing and unaccounted for.
 
But they are not – and will never be – forgotten.
 
On National POW/MIA Recognition Day, I honor their courage and devotion, and promise to never stop fighting to bring them home. https://t.co/K8Hn3kP5dM"
POTUS,2023-09-15 15:35:01+00:00,"Right now, 81,000 brave service members remain missing and unaccounted for.
 
But they are not – and will never be – forgotten.
 
On National POW/MIA Recognition Day, I honor their courage and devotion, and promise to never stop fighting to bring them home. https://t.co/K8Hn3kP5dM"
