username,orario,text,Unnamed: 0
RepSherrill,2023-09-28 19:27:41+00:00,"More than 100,000 NJ children could be left without child care if my GOP colleagues fail to act before the end of this week. I joined @CBSNews to share how I’m fighting for legislation to ensure that child care providers get the federal funding they need to keep their doors open. https://t.co/jlz1CCCYfE",
RepSherrill,2023-09-28 16:02:26+00:00,"Thanks to the Morristown Club for the opportunity to discuss and answer questions about my work to strengthen the economy, lower prescription drug prices, protect the environment, and ensure New Jersey is ready to celebrate America’s 250th Birthday. https://t.co/qIeuIzEXiX",
RepSherrill,2023-09-28 00:01:43+00:00,.@SpeakerMcCarthy should worry less about his job security and more about governing. I joined @andersoncooper to call on McCarthy to stop catering to far-right extremists and instead work with both parties to prevent a shutdown. https://t.co/zSZCLydGn5,
RepSherrill,2023-06-22 22:50:21+00:00,"I was trained to use assault-style firearms in the Navy and can tell you that these weapons of war have absolutely no place in our communities. As a mom of four, I’ll never back down from protecting our kids from senseless gun violence. https://t.co/Y4TDmKxlGf",0.0
RepSherrill,2023-09-27 18:04:33+00:00,"I’ve heard from businesses throughout New Jersey about the challenges they face competing globally because of the CCP’s tactics. I’m fighting back with a plan to bring jobs to NJ and give businesses a leg up in this new era of global competition.

https://t.co/XoASyzemSn",1.0
RepSherrill,2023-09-27 02:05:15+00:00,I’m joining @AC360 this evening. Tune in! https://t.co/cVy6Jxc8FG,2.0
RepSherrill,2023-09-26 23:45:24+00:00,We must work together to combat the CCP’s economic aggression. I’m fighting to make sure we’re investing in the innovation and technology needed to lead the global economy. https://t.co/8EgMiLbZds,3.0
RepSherrill,2023-09-26 22:06:03+00:00,"New Jersey was a global manufacturing hub for generations. It’s time to make the Garden State a worldwide manufacturing &amp; R&amp;D powerhouse once again.

Read more about my plan to bring good paying jobs in research &amp; development, &amp; innovation back to the U.S.
https://t.co/ErZJCN1yWb",4.0
RepSherrill,2023-09-26 19:35:22+00:00,"At school, our children deserve to be able to focus on learning — not on active shooter drills &amp; the fear of gun violence.

I’m fighting for gun safety measures that will keep our kids safe, like expanded background checks, secure storage laws, &amp; a national assault weapons ban.",5.0
RepSherrill,2023-09-26 17:24:27+00:00,"It’s time for the 2023 Congressional App Challenge! Each year, I am so impressed by how New Jersey students use their STEM skills to code both creative and useful apps. Click the link below to learn more about how to participate.

https://t.co/iEIyH4M1Im https://t.co/wW0VHQ0nLO",6.0
RepSherrill,2023-09-25 22:46:08+00:00,"New Jersey has led the nation by investing in our education system, and we’re home to world class colleges and universities. My American Jobs and Competition Plan will help make sure our students have opportunities to stay and work in the Garden State. https://t.co/aQihuhT6ZX",7.0
RepSherrill,2023-09-25 19:57:45+00:00,"When NJ businesses, community leaders, &amp; unions work together, there’s no stopping what we can do.

My American Jobs &amp; Competition Plan will help us to push back on the CCP’s economic aggression and create an even playing field for NJ to compete.
https://t.co/tzAQGQTNax",8.0
RepSherrill,2023-09-25 16:59:03+00:00,"Some have called me the “tunnel obsessed Congresswoman” — but to me it’s a badge of honor. 

The Gateway Tunnel is the nation’s largest infrastructure project, &amp; I’ve fought to bring back federal funding to New Jersey since first taking office. I’m proud this project is underway. https://t.co/qdQ65NLvcw",9.0
RepSherrill,2023-09-24 20:56:27+00:00,"G’mar Chatimah Tovah!

I am wishing all our friends and neighbors celebrating Yom Kippur a meaningful fast. https://t.co/pXk2OwgwQp",10.0
RepSherrill,2023-09-23 21:59:35+00:00,New Jersey has stood united in support of Ukraine since the beginning of Putin’s brutal invasion. Thank you to the UACCNJ for bringing friends and neighbors together at today's annual Ukrainian Festival. It was wonderful to join you! https://t.co/agVaL4jVe5,11.0
RepSherrill,2023-09-23 18:46:32+00:00,"I’m hard at work raising the next generation of Bruce Springsteen fans, including by joining a resolution to designate September 23rd as National @springsteen Day.

Happy birthday, Boss! https://t.co/2Bn8RqkdEa",12.0
RepSherrill,2023-09-22 23:01:51+00:00,"These are serious allegations against Senator Menendez and if proven true, there is no room for this kind of conduct in public service. 

Today is a sad day for New Jersey and I believe it’s in the best interest of our state that Senator Menendez resign.",13.0
