username,orario,text
RepSpanberger,2023-10-20 14:25:13+00:00,"Congress has a long to-do list.

But the U.S. House needs a Speaker to avoid a shutdown, support our allies in Israel and Ukraine, secure our borders, and so much more.

Democrats remain focused on governing — and I urge the GOP majority to work with us to get things done. https://t.co/73sojPHzvf"
RepSpanberger,2023-10-20 01:17:11+00:00,"RT @""The House has so much work to do,"" says Virginia Representative Abigail Spanberger. 

The speaker’s office has been vacant for more than two weeks, leaving the House paralyzed https://t.co/5WA7y3ir3P https://t.co/6SdjJENaOD"
BloombergTV,2023-10-20 00:50:19+00:00,"""The House has so much work to do,"" says Virginia Representative Abigail Spanberger. 

The speaker’s office has been vacant for more than two weeks, leaving the House paralyzed https://t.co/5WA7y3ir3P https://t.co/6SdjJENaOD"
RepSpanberger,2023-10-20 00:00:01+00:00,"More than 4,200 Virginians joined last night’s telephone town hall!

We discussed a range of issues — including broadband internet access, the crisis at our southern border, and the ongoing wars in Ukraine and Israel.

Watch a full recording below!👇

https://t.co/c5lEft50r2 https://t.co/kjaPRUwpah"
RepSpanberger,2023-10-19 23:00:01+00:00,"While the House Republican majority struggles, our shared priorities — like passing the Farm Bill, stopping a shutdown, and supporting Israel — have been forced on the backburner.

We need to get back to work for the American people in a bipartisan way.

More w/ @NewsRadioWINA: https://t.co/z0RVkG2EHd"
RepSpanberger,2023-10-19 21:55:40+00:00,"Thank you to @SecBlinken for taking this necessary step.

Thwarting these Iranian programs is vital to stopping further destabilization in the region and assuring the security of Israel."
SecBlinken,2023-10-19 01:45:00+00:00,"Today, the United States is imposing new sanctions to counter Iran’s ballistic missile and UAV programs."
RepSpanberger,2023-10-19 20:40:05+00:00,"The U.S. State Department has advised all Americans traveling or living abroad to exercise increased caution.

✅ Stay alert in locations frequented by tourists

✅ Enroll in the Smart Traveler Enrollment Program (STEP) at https://t.co/0Ji9sF1yze to receive information and alerts"
RepSpanberger,2023-10-19 19:35:08+00:00,RT @Kerry Crowley &amp; Jeanie Barbrow joined Jason Tickle of @CarolineHabitat &amp; Congresswoman Spanberger in Fredericksburg on Tues. for the region's first housing summit to explore solutions for addressing this critical issue in our communities. Learn more:  https://t.co/X04MsmCi5W https://t.co/oi80GVTGFp
RDVirginia_,2023-10-19 17:30:00+00:00,Kerry Crowley &amp; Jeanie Barbrow joined Jason Tickle of @CarolineHabitat &amp; Congresswoman Spanberger in Fredericksburg on Tues. for the region's first housing summit to explore solutions for addressing this critical issue in our communities. Learn more:  https://t.co/X04MsmCi5W https://t.co/oi80GVTGFp
RepSpanberger,2023-10-19 18:25:24+00:00,"October is #HeadStartAwarenessMonth!

Virginia’s Head Start programs support the education of thousands of children, invest in families, and help parents and caretakers navigate learning in the early years.

I’ll always work to make sure families are set up for success. https://t.co/4dIf8jnI89"
RepSpanberger,2023-10-19 14:25:32+00:00,"We have pressing matters to address — like keeping the government open and passing a bipartisan Farm Bill.

I am committed to working with my colleagues on both sides of the aisle to get things done. The House GOP must be willing to do the same.

More w/ @JulieMason: https://t.co/tYzJJZVYMR"
RepSpanberger,2023-10-19 01:10:16+00:00,"STARTING SOON! 👇

I look forward to hearing from you!"
RepSpanberger,2023-10-18 16:25:20+00:00,"TONIGHT at 7:30pm — our next telephone town hall!

I hope you will bring your questions, feedback, and ideas. https://t.co/FzsUEtvUkm"
RepSpanberger,2023-10-18 23:55:23+00:00,Thank you to the local members and leadership of the Virginia Hospital &amp; Healthcare Association who stopped by my office this afternoon — and for all you do to keep Virginians healthy! https://t.co/JPkHlCm0oh
RepSpanberger,2023-10-18 22:45:28+00:00,"Congress has a long to-do list:

◻️ Avoid a government shutdown
◻️ Pass a bipartisan Farm Bill
◻️ Strengthen our border security and combat fentanyl
◻️ Support our Israeli and Ukrainian allies

The House GOP majority needs to work with Democrats to get serious about governing."
RepSpanberger,2023-10-18 14:04:30+00:00,"41 million Americans rely on Adderall.

For over a year, I've heard from many Virginians who have struggled to fill their prescriptions due to the shortage.

That's why I'm urging the FDA &amp; DEA to address this health crisis and make sure Americans get the medication they need. https://t.co/KQ34zS4ccP"
TIME,2023-10-18 06:23:00+00:00,It's been one year since the FDA announced that pharmaceutical companies were unable to produce enough Adderall https://t.co/4NlzRjNtEo
RepSpanberger,2023-10-18 05:59:42+00:00,"The United States has a moral responsibility to determine how this explosion occurred and who is responsible for the deaths of innocent civilians — children, families, hospital workers, and volunteers. 

Their families — and the world — deserve accountability."
POTUS,2023-10-18 01:40:05+00:00,"I am outraged and deeply saddened by the explosion at the Al Ahli Arab hospital in Gaza, and the terrible loss of life that resulted. Immediately upon hearing this news, I spoke with King Abdullah II of Jordan, and Prime Minister Netanyahu of Israel and have directed my national security team to continue gathering information about what exactly happened.

The United States stands unequivocally for the protection of civilian life during conflict and we mourn the patients, medical staff and other innocents killed or wounded in this tragedy."
