username,orario,text
RobertKennedyJr,2023-09-29 02:51:50+00:00,"Where do you think our resources are better spent? Building up Ukraine’s munitions industry? Or rebuilding our own industrial base to produce things people actually need?

https://t.co/pwNKLhvkMc"
RobertKennedyJr,2023-09-28 12:57:10+00:00,It’s the only way that we’re going to save this country… https://t.co/B6OsqwT4Ou
RobertKennedyJr,2023-09-28 20:06:56+00:00,Government shutdown looming. The President and Congress have a responsibility to keep our government running. DO YOUR JOB. #Kennedy24
RobertKennedyJr,2023-09-28 18:26:33+00:00,"Thank you to all who came out last weekend to Austin, TX. What an incredible crowd! #Kennedy24 https://t.co/jZwzKr2xed"
RobertKennedyJr,2023-09-28 05:21:31+00:00,This is why I became an environmentalist. #Kennedy24 https://t.co/pgw5MHv5CU
RobertKennedyJr,2023-09-28 00:52:02+00:00,"Establishment journal Foreign Affairs signals the next step of Ukraine War escalation: stationing U.S. military advisors on the ground. Have they forgotten how we got embroiled in Vietnam?

https://t.co/1waziqtGf1"
RobertKennedyJr,2023-09-28 00:52:14+00:00,"But this time, the opponent isn’t the Viet Cong. It is nuclear-armed Russia."
RobertKennedyJr,2023-09-28 00:53:06+00:00,"Within 100 days of my term as President, this war will be over. And it will be on better terms than anyone could reasonably expect. #Kennedy24"
RobertKennedyJr,2023-09-28 12:57:10+00:00,It’s the only way that we’re going to save this country… https://t.co/B6OsqwT4Ou
RobertKennedyJr,2023-09-28 12:57:10+00:00,It’s the only way that we’re going to save this country… https://t.co/B6OsqwT4Ou
RobertKennedyJr,2023-09-28 12:57:10+00:00,It’s the only way that we’re going to save this country… https://t.co/B6OsqwT4Ou
RobertKennedyJr,2023-09-28 12:57:10+00:00,It’s the only way that we’re going to save this country… https://t.co/B6OsqwT4Ou
RobertKennedyJr,2023-09-27 00:25:20+00:00,When they say “go jump in a lake” … DONATE NOW → https://t.co/XR0u87nyQQ https://t.co/WjiVuPgZTI
RobertKennedyJr,2023-09-27 15:37:50+00:00,"The epidemic of chronic disease isn’t random. We’ve created a toxic environment and a multi-trillion-dollar sick-care industry to manage the consequences.

https://t.co/7JNvs5XLzL"
RobertKennedyJr,2023-09-27 15:39:31+00:00,"As President, I will end the chronic disease epidemic.

Watch my interview with @DrMarkHyman to find out how I'll fix it: https://t.co/Fc23DJKzLD

#Kennedy24"
RobertKennedyJr,2023-09-27 03:12:13+00:00,"I think we need to take a closer look at the basic assumptions behind Fed policy. First, the Fed flooded the financial system with free credit. But it didn’t go toward productive capital investment. It went to speculation, stock buybacks, etc."
RobertKennedyJr,2023-09-27 03:12:45+00:00,"But now that rates are about 5 points higher than a few years ago, businesses, consumers, and the federal government are staggering under unbearable debt service burdens."
RobertKennedyJr,2023-09-27 03:13:09+00:00,U.S. government interest payments on national debt due to hit $1 trillion a year by 2025. That’s one-seventh of the entire federal budget!
RobertKennedyJr,2023-09-27 03:10:22+00:00,"“The dream of home ownership is quickly receding for millions of Americans. High interest rates are supposed to kill inflation, but for many of us, they are having the opposite effect.”"
RobertKennedyJr,2023-09-27 03:11:47+00:00,"What high rates definitely do is kill economic growth. In circumstances where economic overheating causes inflation, then yes, it kills inflation too. But that’s not the situation now."
RobertKennedyJr,2023-09-27 03:12:00+00:00,"It’s not like businesses are over-investing in new production or R&amp;D, and need less access to credit."
RobertKennedyJr,2023-09-27 00:25:20+00:00,When they say “go jump in a lake” … DONATE NOW → https://t.co/XR0u87nyQQ https://t.co/WjiVuPgZTI
RobertKennedyJr,2023-09-27 00:25:20+00:00,When they say “go jump in a lake” … DONATE NOW → https://t.co/XR0u87nyQQ https://t.co/WjiVuPgZTI
RobertKennedyJr,2023-09-27 00:25:20+00:00,When they say “go jump in a lake” … DONATE NOW → https://t.co/XR0u87nyQQ https://t.co/WjiVuPgZTI
RobertKennedyJr,2023-09-27 00:25:20+00:00,When they say “go jump in a lake” … DONATE NOW → https://t.co/XR0u87nyQQ https://t.co/WjiVuPgZTI
