username,orario,text,Unnamed: 0
RonDeSantis,2023-09-13 18:06:11+00:00,"When I’m president, the days of the DC Establishment spending this country into oblivion are over.

I’ve had enough of the elites imposing their will on us.

Now is the time for We the People to impose OUR will on them. https://t.co/8abcHAUOB6",0.0
RonDeSantis,2023-09-22 15:44:51+00:00,"The Mexican drug cartels are invading our country and killing Americans.

We have every right to fight back, and I will do so as Commander in Chief.

Using deadly force at the border will be one of the ways. https://t.co/Kh5IrAUFqW",1.0
RonDeSantis,2023-09-22 01:30:23+00:00,"Under the Biden Administration, American families have experienced the worst inflation in decades.

How do we tackle these prices? One way is to lower gas prices by reigniting American energy dominance.

Our goal is $2 in 2025. https://t.co/R2KTR7qn98",2.0
RonDeSantis,2023-09-21 21:56:26+00:00,"How have we gotten to a point in this country where we are permitting and facilitating sprawling developments to house thousands of illegal immigrants who have broken our nation's laws?

Weak, spineless leaders. Our national sovereignty is at stake. We must stop excusing inaction at the top.

I will end this.",3.0
DailyWireNews,2023-09-17 05:49:34+00:00,Inside Colony Ridge: The ‘Fastest Growing Development’ In The U.S. Is A Magnet For Illegal Immigrants https://t.co/l3EWiRa9BQ https://t.co/nlilUSdriV,4.0
RonDeSantis,2023-09-21 20:48:57+00:00,"Casey and I are praying for Governor @KimReynoldsIA and Kevin as they set out to defeat his announced diagnosis.

As we have experienced firsthand, battling cancer is not an easy fight but prayers and support from the people around you raises your chances of success. We intend to provide that support to Kim and Kevin.",5.0
RonDeSantis,2023-09-21 18:08:21+00:00,"This Biden border invasion has led to asinine ideas like giving illegal aliens ID cards and allowing blanket work waivers to those coming here illegally. 

As President, I will put a stop to the chaos at the southern border once and for all.
https://t.co/2ORwAnN56u",6.0
RonDeSantis,2023-09-21 17:10:53+00:00,"For decades, the DC Establishment has put the interests of themselves and their donors above the American people. I will end business as usual in DC.

That doesn’t sit well with many DC politicians — and that’s fine with me. https://t.co/fQ57UWyxCS",7.0
RonDeSantis,2023-09-21 02:48:51+00:00,"In the DeSantis Administration, green will mean go.

I will demand faster approvals than any President in history.

If bureaucrats are slowing down energy projects, then those bureaucrats will lose their jobs. https://t.co/3wvzS1iB54",8.0
RonDeSantis,2023-09-20 20:06:13+00:00,"As your President, I will restore our Freedom to Fuel — starting on January 20, 2025.

I will ensure the United States of America is the most dominant energy producer in the world.

Here’s how: https://t.co/747mjkNZol",9.0
RonDeSantis,2023-09-20 18:36:59+00:00,"Midland over Moscow.

The Marcellus over the Mullahs.

The Bakken over Beijing.

That will be our energy policy when I’m President.

We will reignite American energy dominance, save the American automobile, and assure American energy security. https://t.co/0wv2oQKoin",10.0
RonDeSantis,2023-09-20 16:52:09+00:00,"Ron DeSantis Announces Energy Policy Rollout in Midland, Texas https://t.co/HtbBqxF9K8",11.0
RonDeSantis,2023-09-20 14:08:04+00:00,"Biden frowns on producing our own oil and gas here but will go to Saudi Arabia and fist bump to try to get it from them? This stops when I'm president.

We're going to open up all energy production and we will be energy dominant again in this country.

We need to lower gas prices and reduce inflation for the American people — and we have the resources at our disposal to do it.",12.0
RonDeSantis,2023-09-20 01:35:47+00:00,"I applaud Governor @KimReynoldsIA and the Iowa legislature for promoting a culture of life.

Donald Trump is wrong to attack the heartbeat bill as “terrible.”

Standing for life is a noble cause.",13.0
KimReynoldsIA,2023-09-19 23:50:10+00:00,It’s never a “terrible thing” to protect innocent life. I’m proud of the fetal heartbeat bill the Iowa legislature passed and I signed in 2018 and again earlier this year.,14.0
RonDeSantis,2023-09-19 16:09:36+00:00,"Both the Trump and Biden administrations have pursued a Central Bank Digital Currency. I will not; in fact, I will ban it — just as I did in Florida.

A CBDC is a massive threat to American liberty. It would allow the federal government to surveil all your purchases and control your accounts. It would pave the way to a CCP-style social credit system. That's why when I am president, a CBDC is DOA.",15.0
RonDeSantis,2023-09-18 22:22:33+00:00,"Yes, it is true — I’m different from the establishment Republicans and Democrats who have spent irresponsibly to create today’s inflation.

As president, I will ensure both parties stop spending our country into oblivion. https://t.co/pRTvPeoT1F",16.0
RonDeSantis,2023-09-18 20:58:16+00:00,"Kevin McCarthy says I’m a little different from Donald Trump. I agree.

In Florida, we run budget surpluses. We’ve paid down our debt. I’ve kept every one of my promises.

Meanwhile, McCarthy and Trump worked together to add $7 trillion — more debt than our country racked up in its first 200 years — to the debt in just four years.

It’s understandable that the DC Establishment doesn’t want me to be president — and I wear that as a badge of honor.",17.0
RonDeSantis,2023-09-17 01:26:06+00:00,"Religious liberty may not be a prominent subject in some debates — but I can assure you, it’s an issue that has prominence with me.

As your President, I will ensure that religious liberty is honored as our founders intended.

Enough is enough. https://t.co/NvKFijPtnT",18.0
RonDeSantis,2023-09-17 00:20:43+00:00,"The Left may say they oppose the establishment of religion, but they are the ones trying to establish a religion — the religion of leftism.

If there is a conflict between the Left’s agenda and your faith, they want you to bend the knee. We will not.

That is why we must restore full religious liberty in this country — and now is the time to do it.

If we don’t, we will lose this battle for all time. As your President, I will not let that happen.",19.0
RonDeSantis,2023-09-16 22:03:33+00:00,"Gov. DeSantis Delivers Remarks at the God Above Government Rally in Des Moines, Iowa https://t.co/4pKZsja0nF",20.0
RonDeSantis,2023-09-16 19:05:19+00:00,"I’m done with the rhetoric. It's time for action.

I will be the president to finally END the invasion at the southern border.

Thanks to @joniernst for attending our event in Montgomery County where I outline the way to end the crisis once and for all.

Here’s how: https://t.co/dW8a3HOYAQ",21.0
RonDeSantis,2023-09-16 03:09:26+00:00,"Under my Administration, the Department of Justice will investigate and prosecute attacks on faith-based crisis pregnancy centers and pro-life activists.

These attacks have been ignored by the Biden Administration — and that is unacceptable. https://t.co/wvMJtlgzJR",22.0
RonDeSantis,2023-09-13 18:06:11+00:00,"When I’m president, the days of the DC Establishment spending this country into oblivion are over.

I’ve had enough of the elites imposing their will on us.

Now is the time for We the People to impose OUR will on them. https://t.co/8abcHAUOB6",23.0
RonDeSantis,2023-09-16 02:34:05+00:00,"On Day One, we will issue an executive order ensuring funding available to private, non-religious schools must also be available to private, faith-based schools.

We will stop the federal government from targeting men and women on the basis of their faith.

And under my Administration, there will never be a question about whether a faith-based charity that serves the poor deserves First Amendment protections.",24.0
RonDeSantis,2023-09-15 23:50:02+00:00,"Let’s be clear, we are not $32 trillion in debt because of one party.

Republicans and Democrats are responsible for bankrupting our country — and we need a new sheriff in town.

As your President, I am not going to let the DC Establishment spend this country into oblivion. Those days are over on January 20, 2025.",25.0
RonDeSantis,2023-09-15 21:22:33+00:00,"I’m sick of hearing Republicans complain about the southern border. I’m tired of the empty rhetoric.

As President, I will actually solve this issue and stop the invasion — for good.

NO MORE EXCUSES. https://t.co/buBtIH0XRz",26.0
RonDeSantis,2023-09-15 20:29:04+00:00,"Don’t tell me a man can become a woman.

Don’t tell me a man can get pregnant.

It’s NOT true, and we cannot root our society in things that are false.

The truth will set us free. https://t.co/7CdRC1z0KI",27.0
RonDeSantis,2023-09-14 21:36:18+00:00,"I am proud to announce the launch of our Faith &amp; Family Coalition — where we are bringing together faith leaders from across the country to join our movement.

We can't do this without your support and prayers. Sign up TODAY! 
https://t.co/aYBxZvZ3VY",28.0
RonDeSantis,2023-09-14 17:20:20+00:00,"Family and faith are the building blocks of society, but government is waging an assault on both of them.

As President, I will lead the effort to restore full religious liberty in this country. It's time to put on the full armor of God and get it done. https://t.co/8hJljquesp",29.0
RonDeSantis,2023-09-14 15:49:49+00:00,"Under my presidency, we will finally put an END to the invasion of the southern border. How?

I will immediately declare a national emergency.

I will build the wall.

I will send the military to the border.

I will authorize deadly force against cartel drug smugglers.

And I will declare the Mexican drug cartels foreign terrorist organizations, and treat them as such.

Enough is enough.",30.0
RonDeSantis,2023-09-14 02:19:41+00:00,"Do Republicans have a spending problem? Of course.

DC politicians in BOTH parties are responsible for saddling this country with $32 trillion in debt.

I’ve held the line on spending in Florida, and I will do the same as President. https://t.co/0xSX24AcbX",31.0
RonDeSantis,2023-09-13 21:14:31+00:00,"It was an honor to meet His Eminence @CardinalDolan today and discuss issues important to the Catholic community: religious freedom, education choice, promoting a culture of life, and more.

As president, I will stand strong for people of faith, defend religious liberty, and end the weaponization of government. Anyone in the federal bureaucracy who has been targeting Catholics will be held accountable starting on Day One of the DeSantis Administration.",32.0
RonDeSantis,2023-09-13 19:09:33+00:00,"These new numbers validate the pain Americans are feeling at the pump and the grocery store.

It doesn’t have to be this way. Economic decline is not inevitable.

When I’m President, I’ll reverse Bidenomics, restore our energy dominance, and deliver for America’s families.

It’s time to make the American Dream a reality for middle class Americans.",33.0
dcexaminer,2023-09-13 14:43:23+00:00,#BREAKING: Inflation ticked up to 3.7% in August https://t.co/UsJbJDDahT,34.0
RonDeSantis,2023-09-13 01:44:10+00:00,"The Mexican drug cartels are invading our country and poisoning tens of thousands of Americans every year.

Yet the elites think we’re supposed to just throw up our hands and let it happen?

Not on my watch. A new sheriff is coming to town and accountability will be administered. https://t.co/PNzeMZEQWS",35.0
RonDeSantis,2023-09-12 23:10:27+00:00,"I had a great meeting with leaders from the Orthodox Jewish community in New York! 

@CaseyDeSantis and I wish all celebrating a sweet new year ahead. L'Shanah Tovah! https://t.co/1pobKGIdBz",36.0
RonDeSantis,2023-09-12 20:27:43+00:00,"The federal government and DC elites work against the American people: a weaponized Department of Justice targeting innocent Americans, skyrocketing inflation that is hurting our families, a devalued dollar, and an open border that facilitates crime and drug fatalities.

And all of this — and more — is being funded by both parties in Congress with debt and taxpayer money.

The days of rubber stamping multi-trillion dollar spending bills that harm the American people must end. Congress needs to end this madness now. 

Under my presidency, I will give them no choice.",37.0
RonDeSantis,2023-09-12 00:11:03+00:00,"While Americans mourn 9/11, Biden lines the pockets of the Iranian ayatollahs who provide safe harbor to the current head of al-Qaeda. This deal bankrolls nuclear ambitions, hostage takers, and extremists who hate America. When I’m President, we will not sell out American interests to enrich our adversaries.",38.0
AP,2023-09-11 21:57:56+00:00,BREAKING: Biden administration clears the way for the release of five American citizens detained in Iran by issuing a blanket waiver for international banks to transfer $6 billion in frozen Iranian money and agreeing to release five Iranian citizens. https://t.co/Py4LuWy9a7,39.0
RonDeSantis,2023-09-11 22:32:05+00:00,"It was an honor to observe the 9/11 ceremony at Ground Zero today as a guest of families who lost loved ones.

Decades later, we as a nation still owe full transparency and accountability to the grieving families who lost loved ones on 9/11. Read my full statement on what we must do next.
https://t.co/dN4eHCL7yB",40.0
RonDeSantis,2023-09-10 02:28:32+00:00,"Had a great time at the Cy-Hawk game with Gov. @KimReynoldsIA! 

Iowa is lucky to have such a strong governor who never backs down from doing what’s right. https://t.co/50YP0QiDps",41.0
RonDeSantis,2023-09-10 01:56:13+00:00,In Ames for the annual Cy-Hawk game! https://t.co/p335zZ96pX,42.0
RonDeSantis,2023-09-09 18:13:19+00:00,"It was a pleasure to visit with firefighters and their families in Hardin County, IA this morning. We are grateful for the efforts of our first responders and thank them for their service.

As your president, I will always have the back of our nation’s firefighters. https://t.co/Ub7TlPuiqg",43.0
RonDeSantis,2023-09-09 17:29:23+00:00,"Great to chat with Iowans at Natural Grind in Grundy County. Be sure to check them out if you’re in the area!

All in attendance were in agreement: we need a President to stop the madness at our southern border once and for all.

As President, I will hold the drug cartels accountable and stop the invasion cold!",44.0
RonDeSantis,2023-09-13 18:06:11+00:00,"When I’m president, the days of the DC Establishment spending this country into oblivion are over.

I’ve had enough of the elites imposing their will on us.

Now is the time for We the People to impose OUR will on them. https://t.co/8abcHAUOB6",45.0
RonDeSantis,2023-09-09 15:59:00+00:00,"Just a few months after ending the COVID “public health emergency,” the Governor of New Mexico has declared a new “public health emergency”: Guns. She is now asserting the power to infringe on Second Amendment rights by executive fiat.

This assertion is not surprising — since 2020, “public health” has become a pretext for depriving citizens of civil liberties and trampling on our Constitutional rights. 

It ends when I am President.

Your 2nd Amendment rights SHALL NOT BE INFRINGED.",46.0
DLoesch,2023-09-09 04:38:43+00:00,"NM @GovMLG bans ALL carry with an edict that will absolutely be destroyed in court: 

https://t.co/o0AA6nKwo2",47.0
RonDeSantis,2023-09-08 20:56:31+00:00,"A reckoning is coming.

Florida is the only state that launched a grand jury investigation into Big Pharma regarding mRNA shots under Operation Warp Speed — and pushing jabs on toddlers.

When I’m president, the biomedical bureaucracy will be held responsible for the damage it’s done.",48.0
RonDeSantis,2023-09-08 16:44:39+00:00,"We can never let COVID authoritarianism take hold in our country ever again.

As your President, I will defeat this tyranny — once and for all. https://t.co/nIotxNqbrd",49.0
RonDeSantis,2023-09-08 16:13:40+00:00,"Republicans need to fight over the federal government’s out-of-control spending.

Use the power of the purse to hold out-of-control federal agencies accountable. https://t.co/Q6UEL0egNJ",50.0
RonDeSantis,2023-09-07 22:41:58+00:00,"As your president, I will immediately clean out the FDA, CDC, NIH, and every other federal agency that failed us during COVID.

I will bring a reckoning to the Medical Swamp in Washington, D.C.

If there is no accountability, they will try to impose biomedical authoritarianism on society yet again.",51.0
RonDeSantis,2023-09-07 19:16:01+00:00,"In Florida, we did not — and will not — allow the dystopian visions of paranoid hypochondriacs to control our economy or health policies.

As your President, I will never let Deep State bureaucrats impose a destructive biomedical agenda on our people. https://t.co/5mzhdlVue8",52.0
