username,orario,text,Unnamed: 0
SecretaryPete,2023-09-28 19:12:16+00:00,"Under this administration, we've made the largest investment in passenger rail since the creation of Amtrak. https://t.co/fFFhn7HOFa",
SecretaryPete,2023-09-28 18:18:15+00:00,"It's not just the shutdown: FAA is operating on a 5-year authorization that also expires this Sunday, unless Congress acts. 

This chaos among House Republicans must end so that Congress can do its job. https://t.co/cC1dPvjmLo",
SecretaryPete,2023-09-28 17:41:47+00:00,"We've pressed airlines to cut junk fees and guarantee family seating at no extra cost.

Glad to see JetBlue now joining Alaska, American, and Frontier in committing to fee-free family seating for passengers. https://t.co/1QkmVqmAaB",
SecretaryPete,2023-09-28 16:59:40+00:00,"RT @More than 13,000 air traffic controllers and 50,000 Transportation Security Officers would be forced to work without getting paid under an Extreme Republican Shutdown.",
SecretaryPete,2023-09-28 16:53:54+00:00,A shutdown would halt air traffic control hiring. That's the last thing we need right now.,
SecretaryPete,2023-09-28 15:33:21+00:00,"Now is not the time to cut railroad safety, but House Republicans are demanding cuts that would lead to 11,000 fewer miles of track inspected next year—jeopardizing the safety of countless communities near rail lines.",
SecretaryPete,2023-09-28 01:31:34+00:00,Airline disruptions improved and cancellations are now below pre-pandemic levels. But that progress would be reversed if House Republicans shut down the government. https://t.co/hr3aRtCvDQ,
SecretaryPete,2023-09-27 16:40:02+00:00,House Republicans need to come back to the table and honor the budget deal they struck earlier this year. A shutdown would undermine the safety of the transportation systems we all depend on. https://t.co/ItJqGRLyA0,
SecretaryPete,2023-09-27 15:55:43+00:00,Safety is this Department's number one priority. The completion of @DENAirport's new taxiway will reduce close calls and ensure this airport is meetings America's gold standard for aviation safety. https://t.co/bLPPqLO4CP,
SecretaryPete,2023-09-27 15:32:41+00:00,"RT @POTUS: Record corporate profits should mean record contracts.

It's time American autoworkers got a fair deal. https://t.co/DN2IMbcuuh",
SecretaryPete,2023-09-27 14:40:19+00:00,"A government shutdown means air traffic controller training would stop, those on the job wouldn't get paid, and the progress we've made to fill these essential positions would be halted. https://t.co/sy5DqdUGcV",
SecretaryPete,2023-09-27 03:17:40+00:00,"In Nebraska, I toured a rail facility that we're improving with a major grant as part of our rail safety work. Facilities like this need investments to enhance safety, operations, and working conditions. https://t.co/EePDMzrqs4",
SecretaryPete,2023-09-27 03:17:41+00:00,This structure was built during the Great Depression and hasn't seen a lot of updates since. Workers here highlighted the benefits of a new enclosure for the rail cars: better goods movement capacity and better working conditions in hot summers and cold Nebraska winters.,
SecretaryPete,2023-09-27 00:05:11+00:00,A government shutdown would halt training for air traffic controllers and reverse our progress to fill these essential positions. House Republicans made a deal with President Biden earlier this year that would keep the government open—it’s time they keep their promise.,
SecretaryPete,2023-09-26 22:39:03+00:00,"America has the safest, most complex aviation system in the world, but one close call is one too many. Our investments in @DENAirport and airports across the country will help keep passengers and crews safe. https://t.co/qFauPnPvvi",
SecretaryPete,2023-09-26 20:53:49+00:00,"Good news: Crews successfully refloated the grounded Canadian vessel on the St. Lawrence Seaway, and ship traffic has resumed. Thanks to @SeawayUSDOT for working hand-in-glove with our Canadian counterparts on this.",
