username,orario,text,Unnamed: 0
SenAmyKlobuchar,2023-09-28 18:57:05+00:00,Thank you to @MNSecofState Steve Simon for participating in the Rules Committee hearing I chaired on AI and the future of our elections! https://t.co/6wajG7cqLP,
SenAmyKlobuchar,2023-09-27 00:15:16+00:00,My statement on the antitrust lawsuit against Amazon: https://t.co/TYOHlLa456,
SenAmyKlobuchar,2023-09-25 18:53:10+00:00,Thanks @SenatorTester for your leadership of the Veterans' Affairs Committee. When our veterans signed up to serve there wasn’t a waiting line. When they come home there shouldn’t be a waiting line for the benefits they’ve earned. That's why we passed the PACT Act.,
SenAmyKlobuchar,2023-09-24 00:02:43+00:00,The strength and resolve of the Ukrainian people in the face of Putin’s evil continues to inspire and reminds us just how precious democracy is. We stand with Ukraine. 🇺🇸🇺🇦 https://t.co/gHK9dD90Xb,0.0
SenAmyKlobuchar,2023-09-22 22:44:37+00:00,"Good to be joined by @FASDUnited members -including former MN First Lady Susan Shepard Carlson- in Washington to discuss efforts to address and treat Fetal Alcohol Spectrum Disorders. As co-lead of the FASD Respect Act with Sen. @lisamurkowski, I’m grateful to these champions! https://t.co/XBEdGgBUgE",1.0
SenAmyKlobuchar,2023-09-22 16:24:24+00:00,I took this photo of President Zelenskyy yesterday when we welcomed him to Washington. I asked him a question about grain shipments and Putin’s plans to weaponize winter and limit the world’s food supplies. We stand with Ukraine. 🇺🇸🇺🇦 https://t.co/3sCCo7cIlo,2.0
SenAmyKlobuchar,2023-09-21 19:08:58+00:00,RT @Congratulations to the @148FW as they celebrated the 75th Anniversary of the Wing this past weekend during their military ball. Thanks to the special guests in attendance such as Director of the Air National Guard - Lt. Gen. Michael Loh and @SenAmyKlobuchar! https://t.co/ZH6hRjKWJA,3.0
MNNationalGuard,2023-09-21 19:08:32+00:00,Congratulations to the @148FW as they celebrated the 75th Anniversary of the Wing this past weekend during their military ball. Thanks to the special guests in attendance such as Director of the Air National Guard - Lt. Gen. Michael Loh and @SenAmyKlobuchar! https://t.co/ZH6hRjKWJA,4.0
SenAmyKlobuchar,2023-09-21 00:54:22+00:00,AM radio is critical for everything from news and weather updates to music and sports scores but it’s currently on the chopping block. We need to pass our bipartisan bill to make sure AM radio continues to be available in cars for communities across the country.,5.0
SenAmyKlobuchar,2023-09-19 17:41:49+00:00,"I introduced a bipartisan bill to stop the use of fraudulent AI-generated content in campaign ads. AI is being used as a tool to influence our democracy. Voters deserve nothing less than full transparency and it's time to put in place rules of the road.
https://t.co/cCBPytPo5u",6.0
SenAmyKlobuchar,2023-09-17 17:26:07+00:00,"Leaf-peeping season is around the corner! Looking forward to seeing all the beautiful fall foliage 🍂🍁
https://t.co/lOBeDhMAbx",7.0
SenAmyKlobuchar,2023-09-16 01:42:39+00:00,"The 133rd Airlift Wing has been selected to receive new C-130Js! This is a testament to the brave men and women of the 133rd. Great to be with Major General Manke, Brigadier General Gabrielli, Senator Smith, and Representatives Emmer, Stauber, and Finstad to celebrate today. https://t.co/cOJ7ebsoi3",8.0
SenAmyKlobuchar,2023-09-15 22:55:26+00:00,"Wishing a healthy, happy, and sweet new year to all Minnesotans celebrating Rosh Hashanah!",9.0
SenAmyKlobuchar,2023-09-14 23:20:32+00:00,My statement on the announcement that the 133rd Airlift Wing was selected to receive new C-130J aircraft: https://t.co/zhC2ADkxCk,10.0
SenAmyKlobuchar,2023-09-14 17:20:50+00:00,"For too long, Americans have paid the highest prices in the world for prescription drugs. Thanks to legislation we passed to end Big Pharma’s sweetheart deal, Medicare is starting to negotiate lower drug prices for consumers. This is big.",11.0
SenAmyKlobuchar,2023-09-13 04:07:03+00:00,"Thank you to @RonWyden, @PeterWelch, @SenSchumer, @SenStabenow, @SenatorBaldwin, @SenCortezMasto, @SenatorHick &amp; @SenWhitehouse for joining me on the Floor today to highlight the law we passed to end Big Pharma's sweetheart deal &amp; allow Medicare to negotiate lower drug prices.",12.0
SenAmyKlobuchar,2023-09-13 02:33:02+00:00,I just spoke on the Senate Floor about the law we passed based on my bill to allow Medicare to negotiate lower drug prices. No surprise Big Pharma is trying to stop this in the courts but we aren’t deterred. We’re fighting back against these absurd lawsuits &amp; we’re not giving up. https://t.co/AmHLGCE3RW,13.0
SenAmyKlobuchar,2023-09-12 17:25:53+00:00,"RT @There's a disturbing rise in violent threats against election workers who are crucial to a healthy democracy.
 
That's why I've introduced legislation with @SenAmyKlobuchar to better protect our election workers.
https://t.co/ZbllSEIQs6",14.0
PeterWelch,2023-09-03 22:23:00+00:00,"There's a disturbing rise in violent threats against election workers who are crucial to a healthy democracy.
 
That's why I've introduced legislation with @SenAmyKlobuchar to better protect our election workers.
https://t.co/ZbllSEIQs6",15.0
SenAmyKlobuchar,2023-09-11 18:12:13+00:00,"Today and every day, we honor the memory of those we lost on September 11th, 2001. We will always remember the heartbreak of that day, but also the way the American people came together, showing that what unites us will always be greater than what divides us.",16.0
SenAmyKlobuchar,2023-09-10 18:44:10+00:00,Skol @Vikings!,17.0
Vikings,2023-09-10 15:05:14+00:00,"We’ve been waiting to say this…

IT’S GAMEDAY!! https://t.co/vplgZ6nTxp",18.0
SenAmyKlobuchar,2023-09-10 17:32:22+00:00,It was great to join Dakota County leaders &amp; @RepAngieCraig in Rosemount to mark the start of work on the final piece of the Mississippi River Greenway! This project will complete the 27-mile scenic trail &amp; I'm proud to have helped secure federal investments to make it a reality.,19.0
SenAmyKlobuchar,2023-09-08 16:13:45+00:00,Over 4.1 million veterans have received free screenings for toxic exposures through the PACT Act since it was signed into law last year. We won’t stop working to make sure our veterans get the care they have earned and deserve.,20.0
SenAmyKlobuchar,2023-09-06 19:40:46+00:00,"It was an honor to help lead efforts to rename the South St. Paul post office for Police Officer Leo Pavlak who died in the line of duty in 1933. His story will always be remembered.
https://t.co/2iGLQ9bwjl",21.0
SenAmyKlobuchar,2023-09-05 23:33:20+00:00,The first 10 drugs selected for Medicare negotiation are out! This is huge. I’ve been fighting to pass my legislation to allow Medicare to negotiate lower prescription prices for 50 million seniors &amp; we got it done last year. Pharma’s sweetheart deal is finally coming to an end. https://t.co/cCxir1qU15,22.0
SenAmyKlobuchar,2023-09-05 15:47:07+00:00,Had a great time at the State Fair this year. I’m already looking forward to next year! 🌽🎡🍪🍭 https://t.co/8lvBR2fYXJ,23.0
SenAmyKlobuchar,2023-09-04 18:03:15+00:00,"Today and every day, I’m thinking of our incredible workers both past and present. I’m grateful for everything they do to move our nation forward. Wishing everyone a fun, safe, and meaningful Labor Day.",24.0
SenAmyKlobuchar,2023-09-03 02:26:09+00:00,Homegrown sustainable aviation fuel is an economic generator for our communities and an important tool to help us reduce our carbon footprint. I’ve been a longtime advocate of making aviation biofuel more available. This partnership will do just that. https://t.co/W9HSNscUSi,25.0
SenAmyKlobuchar,2023-09-01 22:32:26+00:00,"RT @Bolstering our cyber defenses and protecting our critical infrastructure requires a robust cybersecurity workforce. Glad to see GAO release a report I requested showing the progress made on strengthening our cybersecurity workforce.

https://t.co/MZhOXT4Qby",26.0
SenatorHassan,2023-08-26 20:04:07+00:00,"Bolstering our cyber defenses and protecting our critical infrastructure requires a robust cybersecurity workforce. Glad to see GAO release a report I requested showing the progress made on strengthening our cybersecurity workforce.

https://t.co/MZhOXT4Qby",27.0
SenAmyKlobuchar,2023-08-31 20:15:44+00:00,"Beautiful story!!
https://t.co/kHwYdxFAC9",28.0
SenAmyKlobuchar,2023-08-30 23:34:17+00:00,RT @Great to be with @SenAmyKlobuchar in Minneapolis today to meet community leaders and hear from Minnesota farmers and producers on how we can expand opportunities to bring their goods to consumers around the world. https://t.co/zJE9dKXFkO,29.0
AmbassadorTai,2023-08-30 21:21:50+00:00,Great to be with @SenAmyKlobuchar in Minneapolis today to meet community leaders and hear from Minnesota farmers and producers on how we can expand opportunities to bring their goods to consumers around the world. https://t.co/zJE9dKXFkO,30.0
SenAmyKlobuchar,2023-08-29 20:47:37+00:00,My statement on the announcement of the first prescription drugs subject to Medicare negotiations to lower prices: https://t.co/34ZTgA8LxC,31.0
SenAmyKlobuchar,2023-08-29 00:02:01+00:00,"Thanks to @SecVilsack for joining me, @SenTinaSmith, Rep. @BettyMcCollum04 and MN Ag Commissioner @ThommyPetersen at @TheGoodAcreMN to announce significant new infrastructure funding for rural Minnesota! https://t.co/v0IBCqzmJu",32.0
SenAmyKlobuchar,2023-08-28 03:45:03+00:00,"I was at Camp Ripley to see construction projects underway thanks to federal funding, including upgrades to the dining hall. We also just advanced funding for a new project to strengthen security. I'll keep working to ensure the MN National Guard has the resources they need. https://t.co/9WsiD2emTa",33.0
