,username,orario,text
0,SenDuckworth,2023-07-15 17:50:06+00:00,"For months now, thanks to one man who has never served in uniform a day in his life, the United States Senate has been failing our troops and military families.

Enough. In my new @msnbc op-ed, I'm calling on Senator Tuberville to end this charade. https://t.co/6RZZvDPjJs"
1,SenDuckworth,2023-09-23 04:00:23+00:00,"Proud to join Illinoisans on the picket lines today as they fight for working families across the nation and demand a fair, living wage for autoworkers.

In solidarity, @UAW! https://t.co/zlurpwePTo"
2,SenDuckworth,2023-09-23 00:03:49+00:00,"Great to be back at @CityClubChicago today to talk about all the ways I’m working to bring investments and jobs to our state.

Illinois is ready to help bring our world into the future—and I’m going to do everything in my power to make sure the whole world knows it. https://t.co/3c3WuSMhNf"
3,SenDuckworth,2023-09-22 23:01:30+00:00,"The #1 killer of kids in America isn't cancer or car accidents—it's gun violence.

Now, for the first time ever, the White House will finally have its own office solely dedicated to addressing this crisis and saving lives.

Thank you, @POTUS and @VP."
4,cspan,2023-09-22 21:41:12+00:00,"President Biden: “I am proud to announce the creation of the first ever White House office of Gun Violence Prevention, the first office in our history.” https://t.co/3fOw7GJrkt"
5,SenDuckworth,2023-09-22 19:28:49+00:00,"On every Congressional Delegation I lead overseas, I tell our partner countries: if you’re looking to come to or expand business in the U.S., Illinois is the place to do it.

Tune in as I share some of my successful efforts abroad at @CityClubChicago: https://t.co/R0MNLn1f3t"
6,SenDuckworth,2023-09-22 17:23:46+00:00,"American homeowners and consumers rely on the rights and protections put in place by the Consumer Financial Protection Bureau.
 
The Supreme Court must side with working families and uphold CFPB's ability to do its job.
https://t.co/SVIgs91ai4"
7,SenDuckworth,2023-09-22 03:38:24+00:00,"I have a whole list of things I'd like to get done to improve accessibility in the Capitol, and ending the persisting stigma around reasonable accommodations is one of them.

I'm with you, @SenFettermanPA. Accessibility should be the default—not an afterthought."
8,Sky_Lee_1,2023-09-21 19:11:45+00:00,"-@JohnFetterman at disabilities hearing gets emotional showing his cellphone transcription app &amp; addressing those who mock him for his auditory processing struggles:

“How can we become more empathetic, more responsive, and more effective senators?https://t.co/yyuPNOLNim"
9,SenDuckworth,2023-09-22 02:14:04+00:00,"Because of Tuberville's months-long hold, military families are unsure where their kids are going to school...

Military spouses quit their jobs unsure if they're moving to a new duty station...

He's messing with military families lives' for his own political agenda. It's sick. https://t.co/I3h3q5cYRE"
10,SenDuckworth,2023-09-22 00:38:37+00:00,"After securing significant funding for our nation's diaper banks over the last few years, I'm proud Illinoisan families have greater access to the diapers they need.

This National Diaper Need Awareness Week, please help me share these resources about local diaper banks:"
11,SenDuckworth,2023-09-22 00:38:39+00:00,https://t.co/iIqWC5eGsV
12,SenDuckworth,2023-09-22 00:38:39+00:00,https://t.co/6hTIxLnYnt
13,SenDuckworth,2023-09-21 23:25:52+00:00,"These last few years, @SenKevinCramer and I worked hard to secure major federal funding to support our nation’s diaper banks.

Now, this National Diaper Need Awareness Week, we reintroduced our bipartisan bill to help build on our progress and end diaper need for all families. https://t.co/Y7Sm1ZQrTc"
14,SenDuckworth,2023-09-21 22:38:35+00:00,"After hearing from President @ZelenskyyUa this morning, one thing remains clear: Ukraine has to win this war and Russia has to lose it."
15,SenDuckworth,2023-09-21 22:38:35+00:00,"So long as Ukraine needs our support, the U.S. should not shy away from our role as a global leader in the fight to uphold democracy and the rule of law."
16,SenDuckworth,2023-09-21 22:38:35+00:00,"A world with a Ukrainian victory is a safer one, and I hope House Republicans will stop holding up the aid needed to help make that happen."
17,SenDuckworth,2023-09-21 17:13:02+00:00,"Happy Birthday @AmeriCorps! Thank you for being a leading example of ""American Service"", giving countless Americans opportunities to volunteer and better their communities for the last 30 years. Here's to the next 30 years."
18,AmeriCorps,2023-09-21 16:34:37+00:00,"🎉Happy 30 years of #GettingThingsDone for America!🎉 Today, we celebrate the 30th anniversary of @AmeriCorps created after President @BillClinton signed the National and Community Service Trust Act. Follow @AmeriCorps along as we kickstart our celebrations today. #AmeriCorps30 https://t.co/L2v6I6fyKJ"
19,SenDuckworth,2023-09-21 01:39:21+00:00,My statement on U.S. Steel’s announcement to temporarily idle blast furnace ‘B’ at the Granite City Works Plant—hurting countless working families. https://t.co/KYkzPbHg4V
20,SenDuckworth,2023-09-20 22:23:23+00:00,"Women in Wisconsin shouldn’t have had to live like this—but because Trump was able to “kill Roe v. Wade,"" legal abortions were banned for more than a year. In a blue state.

We must enshrine full reproductive rights into law so this never happens again. https://t.co/Tr8hHxBtW5"
21,SenDuckworth,2023-09-20 22:04:52+00:00,"RT @The DoD values the contributions LGBTQ+ Service members, veterans, and their families have made. 

We encourage all who were discharged under “Don’t Ask, Don’t Tell,” to check out the link below to see how you can seek correction to your military record.  https://t.co/8jJgEtRf0x"
22,DeptofDefense,2023-09-20 18:03:00+00:00,"The DoD values the contributions LGBTQ+ Service members, veterans, and their families have made. 

We encourage all who were discharged under “Don’t Ask, Don’t Tell,” to check out the link below to see how you can seek correction to your military record.  https://t.co/8jJgEtRf0x"
23,SenDuckworth,2023-07-15 17:50:06+00:00,"For months now, thanks to one man who has never served in uniform a day in his life, the United States Senate has been failing our troops and military families.

Enough. In my new @msnbc op-ed, I'm calling on Senator Tuberville to end this charade. https://t.co/6RZZvDPjJs"
24,SenDuckworth,2023-09-20 19:08:30+00:00,"""Don't Ask, Don't Tell"" was wrong.

It forced many brave enough to serve to conceal their most authentic selves—and our military suffered as a result.

We are so much stronger having rid our nation of this hateful, discriminatory policy 12 years ago today."
25,SenDuckworth,2023-09-20 18:08:41+00:00,"Great news for Illinois! I’m proud @the182AW was selected, allowing the 182nd to continue its mission, protecting hundreds of good-paying local jobs and maintaining the ability for the Air National Guard to respond to new emergencies and domestic missions in the process."
26,WMBDNews,2023-09-15 00:30:08+00:00,"Getting updated J-models means the guard members will be flying the same version as their active duty colleagues. The previous version, the H3 variant, was nearly three decades old.

https://t.co/Qqng5C1pK2"
