,username,orario,text
0,SenWarren,2023-09-23 21:42:55+00:00,The IRS is cracking down on wealthy tax cheats and tax prep scammers who have been rigging the system for years. This is great news to make our tax system fairer.https://t.co/mSuBtaQPrh
1,SenWarren,2023-09-22 22:52:15+00:00,"When unions win, workers win! Proud to stand with the @UAW. https://t.co/qdM9VMM0O6"
2,SenWarren,2023-09-22 18:15:47+00:00,"I stand in solidarity with @UAW workers expanding their strike, including at the Stellantis center in Mansfield, Massachusetts.

The Big Three auto companies have raked in record profits and auto workers deserve a record contact."
3,UAWRegion9A,2023-09-22 16:28:20+00:00,"Today at noon, our members at Local 422 in Mansfield, MA, will strike. Just now, @UAW President @ShawnFainUAW called on 38 Stellantis &amp; GM PDCs across 20 states to join the historic #StandUpUAW Strike, the first ever strike of all Big 3 automakers at the same time. https://t.co/umhDIoCMsY"
4,SenWarren,2023-09-22 16:50:02+00:00,"I love a good plan! Vice President Harris and I have worked hard over the years to protect consumers and lower costs for working people.

This @CFPB action will bring peace of mind to millions of Americans burdened by medical debt."
5,VP,2023-09-22 02:29:25+00:00,"For years, medical debt has harmed people’s credit scores. Today, the Consumer Financial Protection Bureau is announcing plans to remove medical debt from Americans' credit reports and allow millions of people to invest in their futures. https://t.co/XSxPiVzZMi"
6,SenWarren,2023-09-22 03:41:28+00:00,"For too long, private equity has exploited the health care system. Now @linakhanFTC's leading the charge to crack down on illegal efforts to limit competition, raise prices, &amp; increase barriers to care. This action is welcome news for patients &amp; providers. https://t.co/XVrpgVJcAA"
7,SenWarren,2023-09-21 23:55:00+00:00,"RT @When someone gets sick, they should be able to focus on getting better, rather than fighting debt collectors coercing them into paying bills they may not even owe. Today, the @CFPB  joined @VP to announce a proposal to ban medical bills on credit reports. https://t.co/zTIeEtfqDd"
8,chopracfpb,2023-09-21 21:50:08+00:00,"When someone gets sick, they should be able to focus on getting better, rather than fighting debt collectors coercing them into paying bills they may not even owe. Today, the @CFPB  joined @VP to announce a proposal to ban medical bills on credit reports. https://t.co/zTIeEtfqDd"
9,SenWarren,2023-09-21 21:50:13+00:00,".@VP Harris is leading the fight to lower costs by addressing the burden of medical debt. No one should have their credit ruined because of a medical emergency. By proposing to erase medical debt from credit reports, @CFPB is doing what it does best: saving Americans money."
10,SenWarren,2023-09-21 17:58:54+00:00,"1,200+ students who attended the University of Phoenix can breathe a sigh of relief now that their debt has been cancelled. It's long overdue &amp; important action by @usedgov to help struggling borrowers who were cheated by this predatory for-profit college.
https://t.co/U1Qe0DuWAw"
11,SenWarren,2023-09-21 17:38:20+00:00,RT @NARAL is charting a new path forward with a name that makes it clear what our mission is: Reproductive Freedom for All. https://t.co/2xKgVA48xC
12,reproforall,2023-09-20 15:01:23+00:00,NARAL is charting a new path forward with a name that makes it clear what our mission is: Reproductive Freedom for All. https://t.co/2xKgVA48xC
13,SenWarren,2023-09-21 15:28:40+00:00,"15 years after the financial crisis, Wall Street banks are bigger than ever and still depend on taxpayer bailouts to avoid an economic meltdown.

Powerfully important op-ed by @LevMenand &amp; @MorganRicks1 on structural changes to end Too Big to Fail. https://t.co/4sCmgqwfXa"
14,SenWarren,2023-09-21 02:26:08+00:00,".@GM and @Ford made a whopping $100 billion and $75 billion in profits in the past decade, while @StellantisNA made nearly $18 billion in 2022 alone.
 
Record profits should mean a record contract that ensures @UAW workers who make these profits possible aren't left behind."
