username,orario,text,Unnamed: 0
SenateGOP,2023-09-28 20:12:36+00:00,"RT @This is how bad things have become because Biden has chosen to leave our border wide open:

In 2017, we averaged fewer than 25,000 border crossings per MONTH.

Biden has blown past that—with nearly 30,000 illegal border crossings—in the last THREE DAYS. https://t.co/FMNNlbDfrc",
SpeakerMcCarthy,2023-09-28 17:32:24+00:00,"This is how bad things have become because Biden has chosen to leave our border wide open:

In 2017, we averaged fewer than 25,000 border crossings per MONTH.

Biden has blown past that—with nearly 30,000 illegal border crossings—in the last THREE DAYS. https://t.co/FMNNlbDfrc",
SenateGOP,2023-09-28 19:38:03+00:00,"RT @President Biden inherited the most secure border ever.

We saw record lows under Trump.

Now, we’ve seen more than 7 million illegal immigrants in under 3 years.

President Biden must enforce the law.
#BidenBorderCrisis https://t.co/V1r2JIK0cd",
SenTedCruz,2023-09-28 18:34:34+00:00,"President Biden inherited the most secure border ever.

We saw record lows under Trump.

Now, we’ve seen more than 7 million illegal immigrants in under 3 years.

President Biden must enforce the law.
#BidenBorderCrisis https://t.co/V1r2JIK0cd",
SenateGOP,2023-09-28 19:37:11+00:00,"RT @🚨NEW: @JDVance1 To Introduce Bill Aimed At Eliminating Biden EV Subsidies, Promote Domestic Manufacturing

“If we’re subsidizing anything, it ought to be the wages of Ohio workers – not the green energy daydreams that are offshoring their jobs to China.”

https://t.co/XmYgML3ZZ5",
SenVancePress,2023-09-28 19:23:48+00:00,"🚨NEW: @JDVance1 To Introduce Bill Aimed At Eliminating Biden EV Subsidies, Promote Domestic Manufacturing

“If we’re subsidizing anything, it ought to be the wages of Ohio workers – not the green energy daydreams that are offshoring their jobs to China.”

https://t.co/XmYgML3ZZ5",
SenateGOP,2023-09-28 19:12:10+00:00,"RT @SenatorBraun: I will not let our adversaries buy up America acre by acre. 
https://t.co/hev5zNDn0D",
SenatorBraun,2023-09-28 17:00:07+00:00,"I will not let our adversaries buy up America acre by acre. 
https://t.co/hev5zNDn0D",
SenateGOP,2023-09-28 18:58:54+00:00,"🚨🚨NOW: @SenMikeLee calls out the Biden administration for energy dependence on foreign adversaries and child labor.

“This madness needs to stop.” https://t.co/FxAa5ReqCA",
SenateGOP,2023-09-28 18:33:42+00:00,"🚨WATCH: @SenHawleyPress slams the Biden administration for mandating reliance on China, who depends on child and slave labor —

That is the reality of Joe Biden’s extreme “clean” energy policies. https://t.co/3XZ3i6mXE2",
