username,orario,text
SenatorBaldwin,2023-10-19 23:41:46+00:00,"With American citizens kidnapped by Hamas, I joined my Democrat and Republican colleagues in urging President Biden to do everything he can to bring them back home safely and make families whole again. https://t.co/AuU2xSPsU4"
SenatorBaldwin,2023-10-19 19:08:37+00:00,"Workers who create the value of the company deserve their fair share when the company does well. But with the Big Three Automakers, that hasn’t happened &amp; only the executives have been cashing in. 

Proud to stand with @UAW because it’s high time workers get respect &amp; fair pay. https://t.co/5tMG0cdFdn"
SenatorBaldwin,2023-10-19 16:57:37+00:00,We need to do everything we can to help those in mental health crises and prevent suicide. I am glad to partner with @GovEvers to make sure the 988 lifeline is here for anyone who needs it.
GovEvers,2023-10-19 00:04:29+00:00,"I declared 2023 the Year of Mental Health in Wisconsin, and today, I'm glad to announce @DHSWI is receiving nearly $17 million in new federal funding to support the 988 Wisconsin Lifeline to get folks help when they need it—work that would not be possible without @SenatorBaldwin. https://t.co/2b88jIcDmB"
SenatorBaldwin,2023-10-18 22:59:24+00:00,"In Wisconsin, water is central to our way of life. Whether it’s the mighty Mississippi, our fresh coasts, or our inland lakes &amp; rivers, keeping our water healthy is a necessity. 

For the past 51 years, the Clean Water Act has helped us protect our water, economy, &amp; way of life. https://t.co/xtuBPGtC4F"
SenatorBaldwin,2023-10-18 19:49:17+00:00,"Whether it’s investing in our agriculture community or helping boost tourism and the local economy, I’m always proud to deliver for Wisconsin. https://t.co/Iu8jzvLFGu"
SenatorBaldwin,2023-10-18 17:50:38+00:00,"Over ​​half of Wisconsin is in a child care desert. That means for every open child care slot available in a community, there are three or more children who need it.

I’m working to ensure we invest in child care options that will support our kids, our workforce, &amp; our economy."
SenatorBaldwin,2023-10-05 21:08:18+00:00,Keeping our communities safe means investing in resources that will help us address the root causes of crime and reduce the cycle of recidivism. I’m proud to have brought home major funding that will help strengthen public safety in neighborhoods across the Badger State. https://t.co/OxGFzLtrnt
SenatorBaldwin,2023-10-05 16:47:11+00:00,I’ve been pushing @FAANews to stop using dangerous firefighting foams with PFAS at airports because it’s contaminating the drinking water that families rely on. I questioned the FAA Administrator Nominee on their commitment to replacing these foams &amp; keeping our communities safe. https://t.co/aZwXQrOWGN
SenatorBaldwin,2023-10-05 03:26:00+00:00,"Trans kids deserve to feel safe and welcome in Wisconsin, not discriminated against. They deserve the freedom to just be kids, play sports, and get the health care they need, all without politicians butting in. Thanks for standing up for LGBTQ+ kids, @GovEvers."
SenatorBaldwin,2023-09-28 17:08:03+00:00,"I’ve heard firsthand from Wisconsinites about how a government shutdown would be detrimental to our families, economy, and our troops. 

I’m fighting to fund our government and pass a responsible budget because working families’ livelihoods are on the line. https://t.co/t3Skc9m4T2"
SenatorBaldwin,2023-09-28 01:09:40+00:00,"Our skilled workforce, world-class research institutions, and hardworking manufacturers speak for themselves. Wisconsin is ready to be home to a Tech Hub and I won’t stop fighting to make that a reality.
https://t.co/7soFoM6dg4"
SenatorBaldwin,2023-09-27 16:39:17+00:00,"Congratulations to our Milwaukee @Brewers for winning the NL Central Division championship title! 

You’ve earned this, and you’ve made Wisconsin proud! #ThisIsMyCrew"
Brewers,2023-09-27 04:12:28+00:00,"THE NATIONAL LEAGUE CENTRAL BELONGS TO YOUR MILWAUKEE BREWERS ‼️

#BrewedForBattle | #ThisIsMyCrew https://t.co/2TeF4q2SRW"
SenatorBaldwin,2023-09-26 23:14:05+00:00,"As the US invests in solar energy, we also need to invest in the valuable resources it sits on: our water &amp; soil. I joined @ChuckGrassley in introducing a bill that will give farmers who want to expand solar operations the tools they need to better manage our nation’s heartland. https://t.co/dhZgQSlVlx"
SenatorBaldwin,2023-09-26 18:05:15+00:00,"I am saddened to hear about the passing of USW President Tom Conway and my heart goes out to his family and all @steelworkers. Tom dedicated his life to fighting for workers and to keep jobs here in America, and his impact will be felt for generations."
steelworkers,2023-09-25 21:48:16+00:00,Our hearts are broken. #USW International President Tom Conway passes away today at age 71. More: https://t.co/dYQQVDmXxJ #1u #EverybodysUnion #RIP https://t.co/rjGRPa75zm
