username,orario,text
SenatorHassan,2023-09-28 20:18:38+00:00,"RT @The climate crisis impacts all aspects of NH’s economy. From ski resorts to maple farms, less seasonal predictability is hurting business.

Combatting climate change is critical for our economy; it’s why EDF Action and @SenatorHassan worked so hard to pass the clean energy act. https://t.co/riLbIidXzb"
EDFaction,2023-09-28 17:01:25+00:00,"The climate crisis impacts all aspects of NH’s economy. From ski resorts to maple farms, less seasonal predictability is hurting business.

Combatting climate change is critical for our economy; it’s why EDF Action and @SenatorHassan worked so hard to pass the clean energy act. https://t.co/riLbIidXzb"
SenatorHassan,2023-09-28 18:14:48+00:00,"Shutdowns are costly, avoidable, and cause real harm to people in New Hampshire and across the country.

I urge House Republicans to stop playing partisan politics and work in good faith to keep the government open.

https://t.co/e7TCfimLyQ"
SenatorHassan,2023-09-28 14:44:49+00:00,"Thanks to everyone who joined my PACT Act town hall on Tuesday! 

September 30th is the VA health care enrollment deadline for post-9/11 combat veterans who were discharged more than 10 years ago. Read more and spread the word:

 https://t.co/am1vp80sTJ"
SenatorHassan,2023-09-26 23:23:38+00:00,"Today we mark 50 years of the Rehabilitation Act, which took major steps forward in prohibiting discrimination against people who experience disabilities. We still have a long way to go in improving accessibility &amp; inclusion, but we recognize the impact of this critical law today"
SenatorHassan,2023-09-26 20:06:01+00:00,"Thank you to everyone who attended my town hall this morning to discuss the benefits that veterans exposed to toxic substances can get through the bipartisan PACT Act.

It was great to hear your questions as we continue to spread the word about this important law. https://t.co/kSuSktEM5i"
SenatorHassan,2023-09-26 18:33:01+00:00,"I urge Senator Menendez to resign. He is entitled to equal justice under the law just as every American is, but he is not entitled to a Senate seat."
SenatorHassan,2023-09-26 17:41:50+00:00,"RT @#HelpDesignHistory! For the first time ever, the public is asked to help design a Memorial on our National Mall in D.C. We want YOUR design input on the Memorial that will honor all who served in the Global War on Terrorism.

Give input: https://t.co/o8Fs4kStxl https://t.co/sLDJqoss7Y"
GWOTMF,2023-09-26 13:15:43+00:00,"#HelpDesignHistory! For the first time ever, the public is asked to help design a Memorial on our National Mall in D.C. We want YOUR design input on the Memorial that will honor all who served in the Global War on Terrorism.

Give input: https://t.co/o8Fs4kStxl https://t.co/sLDJqoss7Y"
SenatorHassan,2023-09-25 19:44:52+00:00,"Happy Lobster Day, New Hampshire!

🦞 🦞🦞"
SenatorHassan,2023-09-25 18:12:58+00:00,"TOMORROW – Don’t miss my town hall on the PACT Act! Join to learn more about the benefits for veterans through this important bipartisan law. 

RSVP here: https://t.co/rA2tFYA46e"
SenatorHassan,2023-09-24 23:04:18+00:00,Wishing a meaningful fast to all those observing Yom Kippur. G’mar chatimah tovah.
SenatorHassan,2023-09-24 22:04:26+00:00,"Today is Gold Star Mother’s &amp; Family’s Day. My prayers continue to be with mothers &amp; family members of service members who lost their lives serving our country. We owe you a debt we can never fully repay, but we must strive to live up to the values our fallen heroes fought for."
SenatorHassan,2023-09-24 17:09:07+00:00,"Our bipartisan bill to support Vietnam veterans' children born with spina bifida due to Agent Orange exposure is heading to the President’s desk.
 
Glad to see these families getting the support that they have earned and deserve."
SenatorHassan,2023-09-23 22:04:47+00:00,I was honored to attend the POW/MIA Recognition Ceremony at the NH Veterans Cemetery this morning and pay tribute to those who were prisoners of war or who have not returned home. We will never forget their service to our country. https://t.co/uE9EZukD0H
SenatorHassan,2023-09-22 17:05:41+00:00,"Government shutdowns are costly, avoidable, and cause real harm to the American people.

I urge my Republican colleagues to commit to working on a bipartisan basis to prevent a shutdown – so we can protect our economy and keep up our efforts to grow the middle class."
SenatorHassan,2023-09-21 23:13:31+00:00,"This latest act of antisemitism is deeply disturbing. 
 
All Granite Staters and Americans have the right to feel safe – no matter their religion or race. There is no place for hate in New Hampshire.
 https://t.co/md983FE5rG"
SenatorHassan,2023-09-21 17:10:12+00:00,"REMINDER – RSVP for my PACT Act Town Hall on Tuesday ⬇️

https://t.co/rA2tFYA46e"
SenatorHassan,2023-09-20 23:20:02+00:00,"Granite Staters are leading the way in tackling our mental health crisis by speaking out. Read my piece highlighting Granite Staters’ work:

https://t.co/DP6hoPfylX"
SenatorHassan,2023-09-20 23:20:02+00:00,"One of those Granite Staters is Lieutenant Stephen Holmes, an Exeter fire fighter who struggled with PTSD after serving in the Marines. 

Stephen is sharing his story, helping his fellow first responders get help and dismantling harmful stigmas."
SenatorHassan,2023-09-20 23:20:02+00:00,"Today at a Senate Veterans’ Affairs Committee hearing, I discussed with VA officials opportunities we have to improve mental health and suicide prevention for veterans. 

I will keep following the lead of Granite Staters and working to make progress on the mental health crisis."
SenatorHassan,2023-09-20 20:18:42+00:00,Thank you to the New England Chapter of Paralyzed Veterans of America for coming by my office today – it was great to talk with you all. https://t.co/oi8JjwQ1vP
SenatorHassan,2023-09-20 18:47:24+00:00,"Yesterday I led a hearing examining ways that we can mitigate the public safety risks posed by emerging technologies such as AI, quantum, and bioengineering.

https://t.co/tAME7SZMYR"
