username,orario,text,Unnamed: 0
SenatorHick,2023-09-28 19:55:08+00:00,"T-minus 2.5 days until House Republicans drag our nation into a catastrophic shutdown. 
 
A shutdown is not what the American people want. That’s why this week, the Senate is voting on a bipartisan deal so we can fund our government and do our jobs 🎥⬇️ https://t.co/7wvgS50LTn",
SenatorHick,2023-09-28 17:31:32+00:00,"Happy National Drink Beer Day, Colorado! Celebrate the day by supporting your local brewery 🍻
 
(FUN FACT: There are 400+ breweries all across the state to choose from!) https://t.co/K0M8mGQRIy",
SenatorHick,2023-09-28 00:35:15+00:00,Thank you to @VocesUnidasOrg and @colorlatina for stopping by the Capitol and for all your hard work uplifting our Latino communities across Colorado! https://t.co/dRtDZIwMuS,
SenatorHick,2023-09-27 00:32:42+00:00,"Flexible energy storage is a new, innovative system that’s less expensive, more durable, and requires fewer critical minerals, ensuring we have a reliable grid system even when the sun isn’t shining or the wind isn’t blowing – and Colorado is helping lead the way!",
SenatorHick,2023-09-26 01:22:49+00:00,"We’re working to address legacy pollution in Tribal communities and reduce harmful methane leaks with @Interior’s investment of nearly $500,000 from our Bipartisan Infrastructure Law to cap orphan wells on Southern Ute Indian Tribe lands.",
SenatorHick,2023-09-25 17:40:17+00:00,"Are you a student interested in applying for a military service academy? Join Team Hick, state congressional offices, and reps from ROTC and service academies to learn more about the nomination process TOMORROW at 5:30pm MT. Register here 👉 https://t.co/TwBT6AWEFn https://t.co/7IehU2Fxy8",
SenatorHick,2023-09-25 01:05:07+00:00,Wishing our Jewish community in Colorado and across the globe a meaningful fast and blessed Yom Kippur. G'mar Chatima Tovah.,
SenatorHick,2023-09-24 01:23:26+00:00,Stopped by the @UAW picket line in Denver to show our support for the car assembly workers striking for better pay and conditions 💪 https://t.co/FMVWdCdOPw,0.0
SenatorHick,2023-09-23 21:19:51+00:00,"Carbon has an undeniable cost for our planet. This is a great step, but Congress needs to pass a *price* on carbon to really get us to our clean energy future. https://t.co/x0Y16ozb0R",1.0
SenatorHick,2023-09-23 17:24:31+00:00,"It’s National Public Lands Day! 
 
Here in Colorado, public lands protect our stunning landscapes and allow generations of Coloradans to access the benefits of the outdoors ⛰️ https://t.co/zBcQVDaArf",2.0
SenatorHick,2023-09-23 00:55:01+00:00,"Earlier this year, @SenatorBennet and I called on @SecMayorkas to designate and extend TPS status for Venezuelans. Glad to see the recent decision to do just that.",3.0
DHSgov,2023-09-21 02:14:32+00:00,"NEW: Today, @SecMayorkas announced the extension and redesignation of Venezuela for Temporary Protected Status (TPS) for 18 months, due to extraordinary and temporary conditions in Venezuela that prevent individuals from safely returning. ⤵️

https://t.co/WRCqquSiMb https://t.co/QiK17j0kcQ",4.0
SenatorHick,2023-09-22 22:24:14+00:00,"Noncompete agreements stifle innovation and hurt American workers by blocking them from getting better jobs or starting a new business.

That’s why @SenWarren and I support FTC's move to ban noncompete agreements so American workers are free to help our economy grow.",5.0
SenatorHick,2023-09-22 20:11:18+00:00,"TODAY: @UAW workers in Colorado are joining the nationwide strike to fight for better conditions, pay, and benefits. 
 
I stand with the workers here in Colorado and across the country as they push for a fair agreement so they can continue driving our nation forward.",6.0
DenverChannel,2023-09-22 19:06:16+00:00,"5,600 additional workers joined the strike on top of the 13,000 that began the strike one week ago. Employees at the General Motors plant in Aurora and the Stellantis plant in Commerce City will be a part of the expanded movement.  https://t.co/lNhj34jjnX",7.0
SenatorHick,2023-09-22 20:11:19+00:00,AND: I made a little HikTok video yesterday on the importance of unions to our middle class and country. Check it out:,8.0
SenatorHick,2023-09-21 19:53:08+00:00,"🎬 I’m ready for my close-up…
 
If we’re going to build a more equitable economy, unions will play a huge role in getting workers better conditions, pay, and benefits 💪 https://t.co/4vqwKNhswx",9.0
SenatorHick,2023-09-22 18:03:20+00:00,"If House Republicans march our country into a catastrophic shutdown, our economy stands to lose BILLIONS of dollars at a time when we should be fighting for the middle class and working to lower costs for American families, not holding our government hostage.",10.0
SenatorHick,2023-09-22 16:25:04+00:00,"The lack of reliable access to clean drinking water so many Native communities face is unacceptable. 
 
It’s our trust and treaty responsibility to ensure Tribes have the basic infrastructure they need.",11.0
SenatorBennet,2023-09-21 22:36:23+00:00,"Clean drinking water is a fundamental human right — yet far too many Tribal communities still lack access to it.

I'm working to bring light to that shameful reality and affirm the federal government's commitment to providing these communities with clean drinking water.",12.0
SenatorHick,2023-09-22 00:28:00+00:00,"Thanks to our CHIPS + Science Act, @CUBoulder will be a part of a new Southwest Regional Hub to accelerate and enhance research efforts in the microchip sector.
 
This partnership will guarantee that Colorado is at the forefront of keeping America as the world’s economic leader.",13.0
SenatorHick,2023-09-21 16:41:47+00:00,Investments all over the country (including in Colorado!) will help propel us into our clean energy future. Take a look at what we’ve already done:,14.0
SecGranholm,2023-09-18 18:58:17+00:00,"What’s red, white, and blue and has historic clean energy investments spread all over?

It’s you, America. 🇺🇸⚡️

ICYMI: We launched an interactive map highlighting the incredible impact of @POTUS’ Investing in America agenda.

Check it out ⬇️ 
https://t.co/S6ah16ZU33 https://t.co/osU6IMCi6b",15.0
SenatorHick,2023-09-21 01:30:01+00:00,"We’ve already led the way with marijuana legalization in Colorado – and we’re taking it national!
 
With our PREPARE Act, we’re setting our country up for success when marijuana becomes legal nationally. https://t.co/iNgKT3jyxi",16.0
SenatorHick,2023-09-20 23:07:32+00:00,"Once a mayor, always a mayor. Great to run into @MayorofCOS this week! https://t.co/zhiDCUsdeB",17.0
SenatorHick,2023-09-20 19:25:17+00:00,House Republicans are holding our seniors and military service members hostage as they spiral our country into a catastrophic shutdown. My statement below ⬇️: https://t.co/BjzvF24LZd,18.0
SenatorHick,2023-09-20 16:36:07+00:00,Renaming one of Colorado’s tallest peaks – now Mount Blue Sky – to honor the Arapaho and Cheyenne people is an important step forward as we address the dark history of the atrocities committed against Native Americans.,19.0
SenatorBennet,2023-09-19 19:42:50+00:00,"It’s official — Colorado’s Mount Evans will be renamed Mount Blue Sky.

@SenatorHick and I supported this change alongside local communities and Tribes. I’m pleased that we are making efforts to formally address the wrongs done to the Cheyenne and Arapaho Tribes.",20.0
SenatorHick,2023-09-20 00:50:34+00:00,Always a pleasure to have @CSCEDC visit Washington to hear more about how we can better support our business community and expand Colorado Springs’ booming economy. https://t.co/WjMMySCM36,21.0
SenatorHick,2023-09-19 22:07:13+00:00,"COLORADO: This Saturday, in honor of National Public Lands Day, you can visit any of our breathtaking national parks for free! Check it out: https://t.co/317lXCac0c",22.0
SenatorHick,2023-09-19 19:23:35+00:00,"For the United States to remain 🥇 across sectors, we have to make sure AI is safe and transparent for consumers to use. https://t.co/AUSWCLGsKF",23.0
