username,orario,text
SpeakerMcCarthy,2023-10-18 16:34:51+00:00,"Your capitol is open—especially for our veterans.

This morning, I welcomed over a hundred living legends from my home of Kern County, California to see the heart of our democracy.

Today and all days, we honor those who serve 🇺🇸 https://t.co/Ultd6Fr2gI"
SpeakerMcCarthy,2023-09-29 03:59:51+00:00,RT @GOPoversight: 🚨 @RepJamesComer Subpoenas Hunter and James Biden’s Personal and Business Bank Records https://t.co/Dj2Tcu8wIT
GOPoversight,2023-09-29 02:00:10+00:00,🚨 @RepJamesComer Subpoenas Hunter and James Biden’s Personal and Business Bank Records https://t.co/Dj2Tcu8wIT
SpeakerMcCarthy,2023-09-29 03:20:00+00:00,"I never give up. 

If we have to play into overtime to curb spending and secure the border, I'm prepared to do it. https://t.co/t3p2vH3CcU"
SpeakerMcCarthy,2023-09-29 01:53:46+00:00,"RT @The #BidenBorderCrisis has now led to 30,000 southern border crossings in just THREE DAYS. This absurd number shows @SecMayorkas' dereliction of duty. The administration MUST secure our southern border. https://t.co/e9T61Dhqhh"
RepDesposito,2023-09-29 01:40:21+00:00,"The #BidenBorderCrisis has now led to 30,000 southern border crossings in just THREE DAYS. This absurd number shows @SecMayorkas' dereliction of duty. The administration MUST secure our southern border. https://t.co/e9T61Dhqhh"
SpeakerMcCarthy,2023-09-29 00:57:21+00:00,"RT @Local governments across #NY24 have stood up, issued emergency orders &amp; refused to take these unvetted migrants. 

I will continue to stand with local leaders resisting these disastrous policies! https://t.co/S4IQluBRFl"
RepTenney,2023-09-29 00:16:00+00:00,"Local governments across #NY24 have stood up, issued emergency orders &amp; refused to take these unvetted migrants. 

I will continue to stand with local leaders resisting these disastrous policies! https://t.co/S4IQluBRFl"
SpeakerMcCarthy,2023-09-28 20:27:18+00:00,RT @ChadGilmartinCA: Joe Biden has had more dinners with Hunter’s foreign business partners than trips to the southern border.
ChadGilmartinCA,2023-09-28 19:52:06+00:00,Joe Biden has had more dinners with Hunter’s foreign business partners than trips to the southern border.
