,username,orario,text
0,TheDemCoalition,2023-06-09 04:27:10+00:00,"This is gold. Watch and share widely. Trump on Hillary Clinton from seven years ago 👇

#ProsecuteTrump https://t.co/geFYQUyvoA"
1,TheDemCoalition,2023-09-27 19:27:00+00:00,"""Biden’s arrival at the UAW picket line is a startling kicker to nearly four decades of declining union membership.""

#StandUpUAW
#SolidaritySeason

https://t.co/NZx0szrVWl"
2,TheDemCoalition,2023-09-27 19:25:13+00:00,"RT @🚨 NEW: After hearing personal stories from nearly 1,000 Virginians who would feel the consequences of a reckless shutdown, I’m calling on Speaker McCarthy to immediately bring bipartisan legislation to fund the government to the floor of the U.S. House for a vote. https://t.co/egUBN5cEe7"
3,RepSpanberger,2023-09-27 16:55:20+00:00,"🚨 NEW: After hearing personal stories from nearly 1,000 Virginians who would feel the consequences of a reckless shutdown, I’m calling on Speaker McCarthy to immediately bring bipartisan legislation to fund the government to the floor of the U.S. House for a vote. https://t.co/egUBN5cEe7"
4,TheDemCoalition,2023-09-27 19:25:01+00:00,"RT @Justice Thomas' years-long relationship with the Kochs, including attending Koch donor retreats, is a blatant conflict of interest in the upcoming Loper case funded by the Koch network.

I’m leading 49 colleagues to demand his recusal from all future cases tied to Koch interests. https://t.co/rDRyLKvo9u"
5,RepDanGoldman,2023-09-27 16:12:14+00:00,"Justice Thomas' years-long relationship with the Kochs, including attending Koch donor retreats, is a blatant conflict of interest in the upcoming Loper case funded by the Koch network.

I’m leading 49 colleagues to demand his recusal from all future cases tied to Koch interests. https://t.co/rDRyLKvo9u"
6,TheDemCoalition,2023-09-27 19:18:24+00:00,"RT @""Biden’s arrival at the UAW picket line is a startling kicker to nearly four decades of declining union membership.""

#StandUpUAW 

https://t.co/ctmHVk5o89"
7,UAW,2023-09-27 18:30:34+00:00,"""Biden’s arrival at the UAW picket line is a startling kicker to nearly four decades of declining union membership.""

#StandUpUAW 

https://t.co/ctmHVk5o89"
8,TheDemCoalition,2023-09-27 18:34:02+00:00,"RT @Anybody heard any condemnation of this lunacy from the Trump supporters running against me? Or Connecticuter Dave McCormick? Or frankly any Republican running for office?

The cowardice is stunning. https://t.co/y2Jrgp1aF4"
9,ChrisForPA,2023-09-26 23:54:30+00:00,"Anybody heard any condemnation of this lunacy from the Trump supporters running against me? Or Connecticuter Dave McCormick? Or frankly any Republican running for office?

The cowardice is stunning. https://t.co/y2Jrgp1aF4"
10,TheDemCoalition,2023-09-27 18:20:23+00:00,"President Joe Biden joined the United Auto Workers picket line today in his strongest show of support yet for union members striking against General Motors, Ford and Stellantis.

Biden, donning a @UAW International Union baseball cap, used a bullhorn to address members striking outside General Motors' Willow Run Redistribution Center in Belleville, Michigan.

""The fact of the matter is that you guys, UAW, you saved the automobile industry back in 2008 and before,"" Biden said. ""Made a lot of sacrifices, gave up a lot and the companies were in trouble. But now they're doing incredibly well and guess what, you should be doing incredibly well too. Folks, stick with it because you deserve the significant raise you need and other benefits,"" he continued.

#StandUpUAW
#SolidaritySeason"
11,TheDemCoalition,2023-09-27 18:18:59+00:00,"RT @The answer here is simple — there is no better way to solve the problems Starbucks workers are facing than to sit down with our union and bargain. Together, we can solve the very issues Narasimhan is identifying and make Starbucks a better company for both customers &amp; workers!"
