username,orario,text,Unnamed: 0
TheDemocrats,2023-09-25 18:30:05+00:00,"BIG NEWS: Starting today, you can order FREE COVID-19 tests delivered to your home. Get yours today by visiting https://t.co/VyVLw8YIEx.",
TheDemocrats,2023-09-25 17:45:29+00:00,WATCH: Trump takes CREDIT for the overturning of Roe v. Wade and paving the way for abortion bans across the country. https://t.co/BOto7kJHox,
TheDemocrats,2023-09-25 15:45:07+00:00,"The economy has created about 13.5 million jobs since President Biden took office, including over 800,000 manufacturing jobs. https://t.co/FMMrpMvUuu",
TheDemocrats,2023-09-25 00:06:21+00:00,President Biden is delivering for Gen Z 😎 https://t.co/bXVunxU6ii,
TheDemocrats,2023-09-24 03:15:15+00:00,The Biden-Harris administration is listening to young people 💙 https://t.co/60VwNfScEY,0.0
TheDemocrats,2023-09-24 01:34:11+00:00,He said it. https://t.co/1EDMfH9F1K,1.0
TheDemocrats,2023-09-23 23:39:00+00:00,"No one can be denied coverage for a preexisting condition thanks to the Affordable Care Act.

MAGA Republicans want to repeal the Affordable Care Act, which could strip away these protections.",2.0
TheDemocrats,2023-09-23 21:30:23+00:00,"It's National Public Lands Day! 

Explore the beauty of our natural landscapes today. Whether visiting a local park or hiking in the forest, nature has endless wonders to offer. https://t.co/6yHQOQFIit",3.0
TheDemocrats,2023-09-23 19:00:07+00:00,"This week, the Biden-Harris administration announced plans to remove medical debt from Americans' credit reports. 

It’s a big deal. 
https://t.co/hfIOhbZYwa",4.0
TheDemocrats,2023-09-23 16:15:09+00:00,🍂 Happy first day of fall! 🍂 https://t.co/qcefXJ2J2M,5.0
TheDemocrats,2023-09-23 02:04:05+00:00,Getting things done for the American people. https://t.co/U7qGaQ8vF3,6.0
TheDemocrats,2023-09-23 00:16:00+00:00,"“I felt like she actually gave us a voice and wants us to be heard and even gave us some strength,” O’Riordan, who is majoring in forensic psychology, said. “I just love her.” 💙
https://t.co/ryG3XzQc4l",7.0
TheDemocrats,2023-09-22 23:00:01+00:00,"RT @Tuesday, I’ll go to Michigan to join the picket line and stand in solidarity with the men and women of UAW as they fight for a fair share of the value they helped create.

It’s time for a win-win agreement that keeps American auto manufacturing thriving with well-paid UAW jobs.",8.0
POTUS,2023-09-22 22:56:21+00:00,"Tuesday, I’ll go to Michigan to join the picket line and stand in solidarity with the men and women of UAW as they fight for a fair share of the value they helped create.

It’s time for a win-win agreement that keeps American auto manufacturing thriving with well-paid UAW jobs.",9.0
TheDemocrats,2023-09-22 22:48:06+00:00,Another week delivering for the American people. https://t.co/QetbDRzKyn,10.0
TheDemocrats,2023-09-22 21:39:16+00:00,"Time to unpin that tweet, Kevin McCarthy. https://t.co/TZQYEEESeJ",11.0
TheDemocrats,2023-09-22 19:55:06+00:00,"President Biden's new Office of Gun Violence Prevention builds on historic actions he has taken to end gun violence in our country, including signing the Bipartisan Safer Communities Act and taking more executive actions than any other president to make our communities safer. https://t.co/MRrf43COK2",12.0
TheDemocrats,2023-09-22 18:58:47+00:00,RT @The new Office of Gun Violence Prevention will play a critical role in implementing @JoeBiden’s and my efforts to reduce gun violence while encouraging elected leaders and advocates to come together to save lives. https://t.co/YRZzDuNuyS,13.0
KamalaHarris,2023-09-22 18:12:08+00:00,The new Office of Gun Violence Prevention will play a critical role in implementing @JoeBiden’s and my efforts to reduce gun violence while encouraging elected leaders and advocates to come together to save lives. https://t.co/YRZzDuNuyS,14.0
TheDemocrats,2023-09-22 18:58:39+00:00,RT @JoeBiden: Yes. https://t.co/xgKhfKXBKa,15.0
JoeBiden,2023-09-22 15:56:31+00:00,Yes. https://t.co/xgKhfKXBKa,16.0
TheDemocrats,2023-09-22 17:52:04+00:00,"Trump on women who get an abortion: “There has to be some form of punishment.”

Trump on appointing the Supreme Court justices who overturned Roe v. Wade: “Nobody has ever done more [than me].”

Trump on signing a national abortion ban: “We’ll get it done.”",17.0
TheDemocrats,2023-09-22 14:45:06+00:00,"This is a significant step forward in helping to end gun violence. 

Thank you, President Biden. https://t.co/GtCqXGdT3A",18.0
TheDemocrats,2023-09-22 04:31:30+00:00,"RT @It was an honor to see President Zelenskyy again. The people of Ukraine are fighting bravely to defend their homes, their families, and for the principles of independence, sovereignty, and territorial integrity.

We will not waver in our support. https://t.co/s0VchusU2g",19.0
VP,2023-09-22 04:25:21+00:00,"It was an honor to see President Zelenskyy again. The people of Ukraine are fighting bravely to defend their homes, their families, and for the principles of independence, sovereignty, and territorial integrity.

We will not waver in our support. https://t.co/s0VchusU2g",20.0
TheDemocrats,2023-09-22 03:15:17+00:00,"RT @POTUS: Last time there was a government shutdown, 800,000 Americans were furloughed or worked without pay.

But enjoy your weekend.",21.0
POTUS,2023-09-22 00:51:26+00:00,"Last time there was a government shutdown, 800,000 Americans were furloughed or worked without pay.

But enjoy your weekend.",22.0
axios,2023-09-21 20:47:42+00:00,NEW: Congress is officially heading home for the weekend after House GOP hardliners once again tanked plans to fund the government by the Oct. 1 deadline. https://t.co/LPVm1w2XP2,23.0
TheDemocrats,2023-09-22 01:45:06+00:00,"President Biden’s revived Cancer Moonshot program aims to end cancer as we know it by:

🔵Preventing 4 million cancer deaths by 2047
🔵Investing in cancer research
🔵Improving early cancer detection
🔵Facilitating over 240 research projects https://t.co/dQosI5d5Jh",24.0
TheDemocrats,2023-09-22 00:17:05+00:00,President Biden will never stop fighting to deliver student loan relief. https://t.co/3Spqjef6O8,25.0
TheDemocrats,2023-09-22 00:15:52+00:00,"RT @Two nations. One clear, firm, and unwavering message: We stand together.

Дві країни. Один чіткий, твердий і непохитний сигнал: ми разом. https://t.co/d5VGFt8nJk",26.0
POTUS,2023-09-22 00:10:19+00:00,"Two nations. One clear, firm, and unwavering message: We stand together.

Дві країни. Один чіткий, твердий і непохитний сигнал: ми разом. https://t.co/d5VGFt8nJk",27.0
TheDemocrats,2023-09-21 23:13:26+00:00,Trump: “I was able to do something that nobody thought was possible. … We ended Roe v. Wade.” https://t.co/oB3PS2iwr6,28.0
TheDemocrats,2023-09-21 22:03:00+00:00,"As we approach this fall and winter, our defenses against major seasonal viruses are stronger than ever.

Learn about RSV and where to get updated COVID and flu vaccines near you at https://t.co/iJ6ny5xzua.",29.0
TheDemocrats,2023-09-21 21:26:01+00:00,"This week, House Democrats introduced the John R. Lewis Voting Rights Advancement Act to protect and expand the right to vote.

It’s time to #ProtectOurVotingRights.",30.0
TheDemocrats,2023-09-21 20:15:29+00:00,https://t.co/jvxAlkboHq,31.0
JakeSherman,2023-09-21 17:41:49+00:00,"Just to put this in context, republicans cannot even agree to debate the pentagon spending bill. This bill usually passes by big margins. 

It failed twice this week. 

Kevin mccarthys House Republicans are in a state of crisis.",32.0
TheDemocrats,2023-09-21 18:25:01+00:00,"Biden-Harris wins this week:

✅ Approved another $37 million of student loan cancellation
✅ Established the American Climate Corps
✅ Announced free at-home COVID tests
✅ Moving to restore benefits for LGBTQ+ veterans
✅ Announced the Partnership for Workers’ Rights",33.0
TheDemocrats,2023-09-21 16:00:22+00:00,"Too many in our communities, including our children, have been drinking contaminated water from lead pipes for years. 

Because Americans voted for @JoeBiden and @KamalaHarris, we’re working to remove all lead pipes in our nation.",34.0
TheDemocrats,2023-09-21 01:44:05+00:00,"NEWS: The Biden-Harris administration announced the creation of the American Climate Corps, which will help conserve our lands and waters and protect communities from floods and wildfires.

This is what taking action on climate looks like. https://t.co/0KvnKiQbzV",35.0
