username,orario,text,Unnamed: 0
TomSteyer,2023-09-28 19:46:19+00:00,Self-explanatory. The climate transition is inevitable and accelerating. https://t.co/7klGC0t9UA,
TomSteyer,2023-09-14 19:43:45+00:00,"I believe investing in the climate transition is the right thing to do AND the economic opportunity of our generation. At @GalvanizeLLC, we’ve assembled an experienced team of investors and experts to support the next generation of climate solutions.

https://t.co/rOYDrxt9TE",0.0
TomSteyer,2023-09-20 23:58:52+00:00,"The American Climate Corps will mobilize leaders of the climate transition, pave the way to well-paying jobs and help ensure a livable future.

Young people made this possible.",1.0
POTUS,2023-09-20 14:00:02+00:00,"Today, we are mobilizing the next generation of clean energy, conservation, and climate resilience workers.

 Join us at https://t.co/dp0NctSzPp https://t.co/vKjvLalUbV",2.0
TomSteyer,2023-09-18 17:12:13+00:00,"Remarkable images from @NASA’s TEMPO pollution monitoring instrument, which is continuously measuring North American air quality with the resolution of a few square miles.

Game-changing data that will inform the fight for clean air and healthy communities. https://t.co/jgy6OwQ9le",3.0
TomSteyer,2023-09-13 20:55:12+00:00,"Insurance companies are in the business of pulling the future into the present. With the damaging effects of climate change, they are not willing to take that bet. 

https://t.co/9tWqE5ESqN",4.0
TomSteyer,2023-09-07 16:48:47+00:00,"It’s been a record-breaking summer of high temperatures and extreme weather. But despite this, I’m more optimistic than ever that we can avoid the worst impacts of #climatechange.

Why? Because climate transition momentum is building throughout the global economy. (A thread. 🧵) https://t.co/zjDH2LvVvj",5.0
TomSteyer,2023-09-07 16:48:53+00:00,"This rapid shift in economics of new tech mirrors what we’ve seen in past technological revolutions.

Betting on fossil fuels now is like betting on horses over cars in 1910. https://t.co/ZV5JXNJB3H",6.0
TomSteyer,2023-09-07 16:48:55+00:00,"So, is the science alarming? Absolutely. But we still have reason to be extremely optimistic. The climate transition is building in momentum. Better products, better economics and a better future is something worth doubling down on.

It’s taking shape right now. https://t.co/NDK7iIIZFL",7.0
TomSteyer,2023-09-05 18:43:32+00:00,"We're entering a new era of opportunity on climate, but we can't manage what we don't accurately measure.

California is poised to become the world’s fourth-largest economy. Our actions will lead the way for meaningful emissions reporting rules worldwide.

https://t.co/muZ3m9f8AH",8.0
