username,orario,text,Unnamed: 0
TulsiGabbard,2023-09-24 11:07:26+00:00,The political prosecution of Trump is an obvious attempt by Biden/Dem elite to drain Trump’s attention and resources. Their actions expose their utter contempt for democracy and the rule of law—and makes laughable all of their verbiage about “protecting democracies around the world.”,0.0
TulsiGabbard,2023-09-23 11:06:31+00:00,"It's not surprising that one of our country's biggest warmongers is also one of its most corrupt. These indictments are just a tiny piece of this dark slime that has polluted our nation for so long. 

https://t.co/Yqek3k1pCv",1.0
TulsiGabbard,2023-09-22 14:26:46+00:00,"RT @Help turnout voters in Virginia's critical 2023 State Elections by sending 10 postcards today!

Get ten addresses at https://t.co/QRDRWwmMd4.",2.0
MattBraynard,2023-09-20 21:09:18+00:00,"Help turnout voters in Virginia's critical 2023 State Elections by sending 10 postcards today!

Get ten addresses at https://t.co/QRDRWwmMd4.",3.0
LookAheadOrg,2023-09-20 16:55:38+00:00,"Will you send 10 postcards to encourage disaffected patriots in Virginia to vote in this year’s critical state election?

Get your ten addresses today at  https://t.co/Fs8WENvG54. https://t.co/6jADSKzXQq",4.0
TulsiGabbard,2023-09-22 11:26:37+00:00,"The Biden Admin's refusal of Robert Kennedy Jr.'s repeated requests for Secret Service protection is the height of irresponsibility and callousness, showing their complete lack of concern for anyone who doesn't align with their political views.",5.0
TulsiGabbard,2023-09-21 11:00:30+00:00,"Our open borders are a playground for gangs, cartels and traffickers. It's time to: 1️) End the Biden/Harris open-border policy, 2️) reinstate Trump's effective Remain in Mexico policy, 3️) secure our border with physical barriers, high tech, and more border guards, 4️) demand Congress overhaul our archaic immigration laws.",6.0
TulsiGabbard,2023-09-20 10:57:16+00:00,"Biden Admin’s “accomplishment” is that America has gone to hell in a handbasket since he took office: 
- Successfully gotten our country into a new cold war and hot proxy war with Russia.  
- Succeeded in driving Russia and North Korea into each other’s arms.  
- Handed over control of our border to the cartels and human traffickers 
- Handed over our cities to criminals. 
- Undermined our democracy. 
- Divided our country. 
- And the list goes on… 

The Democrat elite don’t want to lose their power. If they need to replace Joe Biden, they will.",7.0
TulsiGabbard,2023-09-19 11:32:35+00:00,"NY Mayor warns surge of illegal immigrants “will destroy New York City.” Yet instead of ending their disastrous open-border policy, Biden Admin pushes plan to force illegal immigrants to stay in Texas. This shows their contempt for the American people.",8.0
TulsiGabbard,2023-09-18 11:22:17+00:00,"The Biden Admin's refusal of Robert Kennedy Jr.'s repeated requests for Secret Service protection is the height of irresponsibility and callousness, showing their complete lack of concern for anyone who doesn't align with their political views.",9.0
