,username,orario,text
0,WhiteHouse,2023-09-27 19:09:09+00:00,"More than 13,000 air traffic controllers and 50,000 Transportation Security Officers would be forced to work without getting paid under an Extreme Republican Shutdown."
1,WhiteHouse,2023-09-27 19:00:00+00:00,"The Mata Family lost their ten-year-old daughter, Tess Marie Mata, in the shooting at Robb Elementary School in Uvalde, Texas.

To them, the White House Office of Gun Violence Prevention is one step closer to justice for every family who has lost a loved one to gun violence. https://t.co/Qn6O3o6iFq"
2,WhiteHouse,2023-09-27 16:02:24+00:00,"This week, @FLOTUS announced an exciting new addition to the White House: The Military Children’s Corner.
 
As part of Dr. Biden’s Joining Forces initiative, this new art display celebrates our nation’s four million military-connected children. https://t.co/iOASlrNXBK"
3,WhiteHouse,2023-09-27 03:07:30+00:00,"An Extreme Republican Shutdown would force over 1.3 million active duty troops to work without getting paid – harming our military families.

Watch as National Security Council Coordinator for Strategic Communications John Kirby explains the stakes: https://t.co/2EoC6SKox9"
4,WhiteHouse,2023-09-27 02:00:00+00:00,An Extreme Republican Shutdown would undermine our national security and force service members across the country and around the world to work without getting paid. https://t.co/BhUIzhlsld
5,WhiteHouse,2023-09-27 01:00:00+00:00,The most pro-union President in American history. https://t.co/eq3VperVvF
6,WhiteHouse,2023-09-27 00:00:01+00:00,"President Biden joined the picket line in Michigan today to stand in solidarity with the men and women of UAW as they fight for a fair share of the value they helped create.

Record corporate profits should mean record contracts. https://t.co/uMTErmIJEH"
7,WhiteHouse,2023-09-26 22:00:08+00:00,"Today, President Biden joined the picket line with UAW members in Wayne County, Michigan – marking the first time a sitting President has visited a picket line in modern times.

The Biden-Harris Administration is proud to be the most pro-union Administration in history. https://t.co/TlfQMz04DB"
8,WhiteHouse,2023-09-26 18:30:02+00:00,"House Republicans have turned their backs on the bipartisan budget deal that two-thirds of them voted for a few months ago.

Now, they’re marching toward an Extreme Republican Shutdown – which would force troops to work without getting paid and undermine our national security. https://t.co/DuElJOifr7"
9,WhiteHouse,2023-09-26 17:30:58+00:00,1.3 million active-duty troops would be forced to work without getting paid under an Extreme Republican Shutdown.
10,WhiteHouse,2023-09-26 16:00:00+00:00,Building a better future for the next generation. https://t.co/1qYohMNWm2
11,WhiteHouse,2023-09-26 04:15:18+00:00,"An Extreme Republican Shutdown would have devastating effects on millions of Americans – from jeopardizing nutrition assistance to stopping families in rural areas from being able to apply for @USDA housing loans.
 
Watch as @SecVilsack explains the stakes: https://t.co/iCfrb6gbiv"
12,WhiteHouse,2023-09-26 04:00:00+00:00,Rural families won’t be able to apply for or receive @USDA housing loans and farmers in the middle of harvest season won’t be able to access new loans under an Extreme Republican Shutdown.
13,WhiteHouse,2023-09-26 02:30:12+00:00,"Today, @POTUS and @VP hosted a meeting with the President’s Board of Advisors on Historically Black Colleges and Universities.

This Administration is committed to ensuring HBCUs receive the same kinds of investments as other universities and remain affordable for students. https://t.co/vygrBp1XGZ"
14,WhiteHouse,2023-09-26 00:00:00+00:00,"We stand with our Pacific Island partners in the fight to tackle the climate crisis that poses an existential threat to their nations.

Today, we affirm our position that they should never lose their statehood or UN membership as a result of this crisis. https://t.co/xtduOupE86"
15,WhiteHouse,2023-09-25 23:00:00+00:00,Nearly seven million women and children across the country would be at risk of losing critical nutrition assistance under an Extreme Republican Shutdown. https://t.co/4bfrPytxq3
16,WhiteHouse,2023-09-25 22:00:00+00:00,"Extreme House Republicans are demanding a devastating list of cuts to vital programs that hardworking Americans rely on.

If they don’t get their way, they're threatening to shut down the government – putting nutrition assistance at risk for seven million women and children. https://t.co/pm6uyDGafk"
17,WhiteHouse,2023-09-25 21:45:01+00:00,RT @Join the Vice President and me as we meet with my Board of Advisors on Historically Black Colleges and Universities. https://t.co/kh6QUr7ApN
18,POTUS,2023-09-25 21:44:34+00:00,Join the Vice President and me as we meet with my Board of Advisors on Historically Black Colleges and Universities. https://t.co/kh6QUr7ApN
19,WhiteHouse,2023-09-25 21:15:00+00:00,"During an Extreme Republican Shutdown, some of the nearly seven million women and children who count on the Special Supplemental Nutrition Program for Women, Infants, and Children could soon start being turned away at grocery store counters. https://t.co/gy5Ne47Ad9"
20,WhiteHouse,2023-09-25 19:32:52+00:00,Tune in for a briefing with Press Secretary Karine Jean-Pierre and Secretary of Agriculture Tom Vilsack. https://t.co/9TPGfx2S7K
21,WhiteHouse,2023-09-25 17:00:53+00:00,"Here’s what you need to know from last week:

President Biden focused on delivering for Americans – from tackling climate change, to working with our allies and partners, to fighting gun violence.

House Republicans marched us closer toward an extreme Republican shutdown. https://t.co/b0DpOKLEA4"
22,WhiteHouse,2023-09-25 16:47:33+00:00,Happening Now: President Biden hosts a meeting with Pacific Islands Forum leaders for the U.S.-Pacific Islands Forum Summit. https://t.co/0h1yIwgN94
23,WhiteHouse,2023-09-25 16:20:43+00:00,"Starting today, every household can order another free round of COVID tests – shipped straight to your door.

Head to https://t.co/GqK9GmYJE2 to order yours. https://t.co/LUg77yZLhU"
24,WhiteHouse,2023-09-24 23:00:01+00:00,"To celebrate the start of a new school year, Marlon, age 9, from Memphis, Tennessee visited the White House and shared a message for his classmates across the country:

“Try your hardest and never give up!” https://t.co/4LI0k0h4zM"
25,WhiteHouse,2023-09-24 21:00:00+00:00,Extreme House Republicans want to take 70 ATF agents off the beat as a condition of keeping the government open.
