,username,orario,text
0,WillHurd,2023-07-29 03:40:58+00:00,"I went to Iowa and told the truth. Some folks didn’t like it and some did. If you want to see a leader on the debate stage telling the truth to Trump’s face, give me at least $1 to qualify.

Link: https://t.co/tMMYO5wtG1"
1,cspan,2023-07-29 03:14:45+00:00,".@WillHurd in Iowa: ""Donald Trump is not running for president to make America great again…Donald Trump is running to stay out of prison…Listen, I know the truth is hard, but if we elect Donald Trump, we are willingly giving Joe Biden four more years in the White House."" https://t.co/wZvx9FBEIa"
2,WillHurd,2023-09-22 19:01:00+00:00,Read my strategy to optimize our use of AI and win this Cold War with China. https://t.co/0dqZyrZFGo https://t.co/2H4Y9jPfw2
3,WillHurd,2023-09-22 15:59:50+00:00,"How do you feel about AI? 

Join our movement if you believe our leaders should be doing more to protect our economy, promote transparency and take advantage of AI before it takes advantage of us. https://t.co/tMMYO5wtG1 https://t.co/fLvOSOK2yR"
4,WillHurd,2023-09-21 22:01:02+00:00,"As we continue to navigate the ever-evolving landscape of AI, I’m committed to innovating while ensuring responsible and ethical AI development. 
https://t.co/0dqZyrZFGo https://t.co/xRZX3obBZJ"
5,WillHurd,2023-09-21 21:07:00+00:00,"Thank you @dcexaminer for taking the time to write about this. We are in a Cold War with China and there are steps we can take to remain the world superpower, warm relations with China while competing with them.
https://t.co/IP5sE3E8lx"
6,WillHurd,2023-09-21 19:31:51+00:00,I'm not going to take constitutional insights from a guy who gets his foreign policy platform from TikTok.
7,VivekGRamaswamy,2023-09-21 17:21:25+00:00,The Declaration of Independence from China is what Thomas Jefferson would’ve signed if he were alive today. 🇺🇸 https://t.co/AGKHWmALwW
8,WillHurd,2023-09-21 16:21:14+00:00,Great joining @krystalball and @esaagar on @BreakingPointsN this morning to talk about my campaign and Zelensky’s visit to DC. Tune into the podcast later today! https://t.co/naWe12enIS
9,WillHurd,2023-09-21 15:09:17+00:00,Democrats wonder why VP Harris is so unpopular... look no further than Eagle Pass. Where is Joe Biden's 'Border Czar'? NOWHERE near the crisis at our border.
10,BillMelugin_,2023-09-20 18:37:22+00:00,"It’s a total free for all in Eagle Pass right now. Mass illegal crossing taking place for over an hour and a half. Almost 2 years to the day we saw 15,000+ Haitians under the bridge in Del Rio, we now have thousands of predominantly Venezuelans gathering under Eagle Pass bridge. https://t.co/VkfUQnexGZ"
11,WillHurd,2023-09-21 01:14:20+00:00,I held the first AI hearing in Congress and I'm the only presidential candidate to talk about this issue. Yet 65% of people are worried that robots are going to take their job. This is how we harness AI for everyone. https://t.co/CJ1F2pxVYQ
12,WillHurd,2023-09-21 00:43:28+00:00,"RT @Former Texas Rep. @WillHurd is the first of the Republican presidential candidates to present a detailed plan for regulating artificial intelligence.

https://t.co/mX6Ut83uDe"
13,dcexaminer,2023-09-21 00:11:33+00:00,"Former Texas Rep. @WillHurd is the first of the Republican presidential candidates to present a detailed plan for regulating artificial intelligence.

https://t.co/mX6Ut83uDe"
14,WillHurd,2023-09-20 21:58:36+00:00,"RT @“Nuclear fission controlled gives you nuclear power — clean, cheap, limitless power,” @WillHurd told me about his new A.I. plan. “Nuclear fission uncontrolled gives you nuclear weapons that can destroy the world. And I think A.I. is equivalent.” https://t.co/Lec7wbLDFG"
15,MaggieAstor,2023-09-20 20:41:14+00:00,"“Nuclear fission controlled gives you nuclear power — clean, cheap, limitless power,” @WillHurd told me about his new A.I. plan. “Nuclear fission uncontrolled gives you nuclear weapons that can destroy the world. And I think A.I. is equivalent.” https://t.co/Lec7wbLDFG"
16,WillHurd,2023-09-20 21:39:42+00:00,"Good chat with the @nytimes today. 

AI isn't on the horizon – it's here. America needs technologically savvy leaders to lead the way and do what's necessary to responsibly take advantage of AI before it takes advantage of us.
https://t.co/xJkkUIec9R"
17,WillHurd,2023-09-20 16:46:43+00:00,"The US is either at the table or on the menu when it comes to AI. We need to leverage it for national security, our American workforce, and global competitiveness. Read my plan to keep us secure and ahead of the rest of world. https://t.co/0dqZyrZ7QQ"
18,ryanaxios,2023-09-20 15:02:49+00:00,"Exclusive: First AI plan in Republican primary. @WillHurd has serious AI chops - so it's notable that he's pro-regulation and hawkish on China when it comes to AI. But he's polling 3% in NH, yet to qualify for 2nd debate https://t.co/1J7dzsqBEa"
19,WillHurd,2023-09-20 15:08:31+00:00,"No one in the presidential field—Republican or Democrat—is talking about how they would confront the threat of AI. We have to take advantage of technology before it takes advantage of us. 

My plan on how we do that ⬇️ https://t.co/vhfersU7Mh"
20,WillHurd,2023-09-20 14:50:06+00:00,"RT @Exclusive: Republican presidential primary contender Will Hurd, who believes in regulation of AI, becomes the first candidate  to release an AI policy plan. It frames coming AI development as a ""Cold War with China.""
https://t.co/C1j45Vqfol"
21,axios,2023-09-20 13:05:18+00:00,"Exclusive: Republican presidential primary contender Will Hurd, who believes in regulation of AI, becomes the first candidate  to release an AI policy plan. It frames coming AI development as a ""Cold War with China.""
https://t.co/C1j45Vqfol"
22,WillHurd,2023-09-19 21:00:46+00:00,Israel is our single most important ally in that region. Those running for the highest office in the land need to know who are our friends and who are our enemies – and Israel is a friend. https://t.co/BjvqynQvxn
23,WillHurd,2023-09-19 17:10:58+00:00,Dictators and tyrants jail the free press. We need leaders who will stand up to Putin and this charade. #FreeEvan
24,FoxNews,2023-09-19 15:13:01+00:00,"BREAKING NEWS: Wall Street Journal reporter Evan Gershkovich appeal denied in Russia, keeping him jailed until November https://t.co/n0171UF3ND"
25,WillHurd,2023-09-19 02:06:51+00:00,"This was not a holiday message. This was a deliberate dog whistle to bigots and racists. Shame, yet again, on Donald Trump. https://t.co/Jv3OBJAUvI"
26,WillHurd,2023-09-18 20:10:58+00:00,Iran is a problem – and we should not be giving them $6 billion without anything to show for it. It's just one more example of the Biden administration's crazy foreign policy that's hurting America. https://t.co/Iir8STX6jX
27,WillHurd,2023-09-18 17:05:19+00:00,"RT @.@WillHurd promises @IowaFaith dinner attendees that he will protect religious liberty if elected #POTUS in #2024 

Watch LIVE➡ https://t.co/aeKhZCtVbe

WATCH now: https://t.co/3AiC89qMH7 https://t.co/YTK8sgJdkq"
28,RealAmVoice,2023-09-18 02:30:00+00:00,".@WillHurd promises @IowaFaith dinner attendees that he will protect religious liberty if elected #POTUS in #2024 

Watch LIVE➡ https://t.co/aeKhZCtVbe

WATCH now: https://t.co/3AiC89qMH7 https://t.co/YTK8sgJdkq"
29,WillHurd,2023-07-29 03:40:58+00:00,"I went to Iowa and told the truth. Some folks didn’t like it and some did. If you want to see a leader on the debate stage telling the truth to Trump’s face, give me at least $1 to qualify.

Link: https://t.co/tMMYO5wtG1"
30,cspan,2023-07-29 03:14:45+00:00,".@WillHurd in Iowa: ""Donald Trump is not running for president to make America great again…Donald Trump is running to stay out of prison…Listen, I know the truth is hard, but if we elect Donald Trump, we are willingly giving Joe Biden four more years in the White House."" https://t.co/wZvx9FBEIa"
31,WillHurd,2023-09-17 19:44:00+00:00,"Let's keep fighting for a brighter future. 🇺🇸Your support matters more than ever. Please chip in $1 or more today and keep this movement going!

Link: https://t.co/tMMYO5vVQt https://t.co/G78YURwFd7"
32,WillHurd,2023-09-16 21:56:00+00:00,"Donate $1 or more today to help us continue our work for a stronger, more united America. Together, we can make a difference.

Link: https://t.co/tMMYO5vVQt

If you have already donated, please retweet and help us extend the reach of our message. https://t.co/2yzZIzLRtX"
33,WillHurd,2023-09-16 18:32:00+00:00,"Only 23% of Americans vote in primaries. That's something we need to change if we want something other than a rematch from Hell between Trump and Biden. 

Join my team and help me get a new fresh perspective in the discussion: https://t.co/tMMYO5vVQt https://t.co/irFdWivikJ"
34,WillHurd,2023-09-16 17:01:00+00:00,Happening today! I’ll be speaking at the @FaithandFreedom Coalition Dinner. https://t.co/WRkFKXEUSb
35,WillHurd,2023-09-16 04:54:55+00:00,"Shana Tovah to all my Jewish friends celebrating #RoshHashanah around the world! Wishing you a new year filled with health, hope, and happiness."
36,WillHurd,2023-09-16 01:53:13+00:00,I’m excited to be a part of the @FaithandFreedom Coalition Banquet tomorrow. Tune in! https://t.co/HLqb6iXQZh
37,WillHurd,2023-09-15 20:33:48+00:00,"If we don't defend the international order that we've built, it will hurt us. Part of that is supporting our Ukrainian allies. 

Help me have these important conversations by chipping in today: https://t.co/tMMYO5wtG1 https://t.co/91NNZl4ddV"
38,WillHurd,2023-09-15 15:44:17+00:00,.@ChrisSununu is right: Donald Trump is running to stay out of prison.
39,kaitlancollins,2023-09-15 04:04:50+00:00,"Gov. Chris Sununu on Trump saying it's unlikely he'd pardon himself: ""Of course he'd pardon himself. That's the main reason he's running. That is not some sort of Washington secret. Of course he would pardon himself."" https://t.co/BA4phUYaA8"
40,WillHurd,2023-09-14 22:07:24+00:00,"An entire generation of Americans are learning that indictments of former Presidents, or the family members of current Presidents, is normal. 

This can't be the new normal. America deserves better."
41,yashar,2023-09-14 19:34:54+00:00,"BREAKING

Hunter Biden has been indicted on three counts of making false statements related to a firearms purchase. https://t.co/zCoOC8BYBU"
