username,orario,text,Unnamed: 0
amyewalter,2023-09-25 14:15:17+00:00,Winning 25% of R’s is hard. Winning 60-70% of Indie voters. REALLY hard.,
sahilkapur,2023-09-25 13:24:26+00:00,"SCOOP: Kyrsten Sinema is quietly pitching donors on a “path to victory” as an independent Senate candidate in 2024.

A 2-page prospectus maps out how she “Will Win Arizona”—with a larger share of GOP voters than Dems.

Clear she’s actively weighing a run.

https://t.co/zoaijjWmKy",
amyewalter,2023-09-23 21:07:34+00:00,"RT @After calls to resign, Senator Menendez said “I am not going anywhere.” As a result, I feel compelled to run against him. Not something I expected to do, but NJ deserves better. We cannot jeopardize the Senate or compromise our integrity. Please join me:
https://t.co/QFIaMsgJc9",0.0
AndyKimNJ,2023-09-23 21:02:42+00:00,"After calls to resign, Senator Menendez said “I am not going anywhere.” As a result, I feel compelled to run against him. Not something I expected to do, but NJ deserves better. We cannot jeopardize the Senate or compromise our integrity. Please join me:
https://t.co/QFIaMsgJc9",1.0
amyewalter,2023-09-23 20:19:31+00:00,“What was the worried thing you said to me/I thought we could make it through anything” is best appreciated on a gray and rainy day.,2.0
mpdillon,2023-09-23 19:41:45+00:00,"in retrospect, an interminably gray and rainy day was maybe not the best choice for listening to a new The National album",3.0
amyewalter,2023-09-22 23:04:47+00:00,Dems want to make strong contrast with Trump on corruption. Standing behind Menendez isn’t the way to do that.,4.0
johnsb01,2023-09-22 22:48:36+00:00,"I have confirmed that several top New Jersey Democrats, including @GovMurphy, are going to call on @SenatorMenendez to resign shortly after he was indicted again. https://t.co/tyvlbHugEF",5.0
amyewalter,2023-09-21 15:04:21+00:00,"“Craig Kolwaski of Dubuque, who attended Wednesday, told the Register that he is ""pro-life"" and the former president's comments were concerning but wouldn't be enough to stop supporting him in the caucuses.” https://t.co/fDKjxVsouK",6.0
amyewalter,2023-09-19 14:48:46+00:00,Ok. So who is speaker if McCarthy ousted? Haven’t we seen this movie before?,7.0
JakeSherman,2023-09-19 14:31:48+00:00,"☀️ AM: MCCARTHY HANDCUFFED

@SpeakerMcCarthy's orbit has become increasingly convinced that his opponents are sparking a shutdown to push him out of the speakership.

Some expect a motion to vacate to be filed THIS WEEK

McCarthy has very little room to maneuver. But is optimistic he'll get out of this/beat back any opposition.

9 a.m. meeting this AM. Stay tuned for reporting from the session.

AM: https://t.co/k7tA7NfNJF",8.0
amyewalter,2023-09-18 16:32:16+00:00,"Right. He understands how toxic abortion is for winning back indie and swing voters. Yet, his behavior (Jan 6th, etc) is what prevents him from making up ground w/ those voters.",9.0
PatrickRuffini,2023-09-18 14:50:15+00:00,"Thing is, Donald Trump’s still gonna be talking 2000 mules and justice for J6 in September 2024 so it’s not like appeasing the resist-libs on abortion is going to help him politically.",10.0
amyewalter,2023-09-16 19:42:03+00:00,"For those missing the Run-Up pod, here’s your chance to get your Astead fix. Smart stuff re: VP Harris, Dem voters vs elites and more!",11.0
AsteadWH,2023-09-15 14:55:30+00:00,"Talked w/ the great @amyewalter abt how voter dissatisfaction with their 2024 options threatens to upend next year's elections. 

And how @TheRunUpNYT goes about showing the gap between voter concerns and the presumptions of the political establishment

https://t.co/kHwNzbXDEw",12.0
amyewalter,2023-09-16 17:50:49+00:00,No better content on this platform than the folks at @dog_rates … can’t help but feel ok about the planet after watching these every Friday.,13.0
dog_rates,2023-09-15 18:17:34+00:00,Here are the Top 5 Dogs of the week! https://t.co/8O6nSBGZS6,14.0
amyewalter,2023-09-15 16:50:07+00:00,"Polarization &amp; issue cross-pressure mean data points like POTUS job approve, right direction/wrong track &amp; opinions on economy no longer as predictive of election outcomes as they once were. https://t.co/to1FydKzEI",15.0
amyewalter,2023-09-15 16:50:07+00:00,"Take right direction/wrong track. Usually, if that was tilted heavily wrong track meant disaster for incumbent party as it meant voters looking for change. Yet, CNN poll finds 45% of BIDEN voters say things are on wrong track. https://t.co/to1FydKzEI",16.0
amyewalter,2023-09-15 15:00:03+00:00,"Why disconnect between Biden message on economy &amp; voters pessimistic view? Biden leans hard into things like jobs, but latest @QuinnipiacPoll poll shows 5% pick jobs as top worry, 47% say cost of gas and consumer goods &amp; 36% say housing and rent

https://t.co/to1FydKzEI",17.0
amyewalter,2023-09-15 15:00:03+00:00,"Until people feel better about day-to-day living expenses, Biden won’t see better marks on economy.  Which is why you’ll see Biden campaign lean more into contrast between “MAGA economics v. Bidenomics” like we saw in MD yesterday. https://t.co/to1FydKzEI",18.0
amyewalter,2023-09-15 15:00:04+00:00,"Here’s another important data point from @BillGalston: between 2021-22, “3/4 of electorate experienced reduced incomes.” But, there’s reason to believe that ‘24 will be better as wages outstripping inflation for the 1st time since the spring of ‘21. https://t.co/L7hmS4lH35",19.0
amyewalter,2023-09-15 01:10:40+00:00,RT @Hungry for serious political analysis? Download the latest episode of Beyond The Polls! ⁦@geoffreyvs⁩ and ⁦@amyewalter⁩ join me to go over all the latest! https://t.co/TfP3lCrjkf,20.0
henryolsenEPPC,2023-09-15 00:34:07+00:00,Hungry for serious political analysis? Download the latest episode of Beyond The Polls! ⁦@geoffreyvs⁩ and ⁦@amyewalter⁩ join me to go over all the latest! https://t.co/TfP3lCrjkf,21.0
amyewalter,2023-09-14 21:41:17+00:00,https://t.co/OcqV11zjg7,22.0
capitalweather,2023-09-14 21:35:19+00:00,"🍂Are you ready? We declare summer OVER in DC. That means we don't see much potential for sustained 90-degree weather. But we do see LOTS of nice days ahead.🍂
https://t.co/MSZSkBM1Il",23.0
amyewalter,2023-09-14 00:20:20+00:00,“When Sepp was dropped” 🤔😐,24.0
jasongay,2023-09-14 00:12:28+00:00,real hot dog costume here from Primoz Roglic https://t.co/jDgTtnWh12,25.0
amyewalter,2023-09-13 17:49:27+00:00,"Big Q now is if a ‘Trumpy’ Republican gets in given that the 2 other Rs in the race, are most establishment than MAGA.",26.0
allymutnick,2023-09-13 17:17:36+00:00,"News - John Tuttle, vice chair of @NYSE, has decided NOT to run for #MISEN

That's good news for GOP leaders who are hoping to make primary field less crowded. Ex-Rep. Mike Rogers entered last week

https://t.co/jq1MfWskxW",27.0
amyewalter,2023-09-12 21:30:45+00:00,Pretty amazing to see the transformation of Ken Buck from guy who lost 2010 CO SEN because he was ‘too conservative and fringe” to being thorn in the side of Freedom Caucus and a regular mainstream media guest.,28.0
amyewalter,2023-09-10 00:45:48+00:00,Could not love Coco more!!!!,29.0
amyewalter,2023-09-09 23:17:41+00:00,"One way to look at CNN poll showing Trump/Biden tied: bad news for Biden to not be crushing a guy who has 91 indictments. Yet, Biden also tied w/ DeSantis who DOESN’T have 91 indictments. So, why isn’t DeSantis crushing Biden who has a lowly 40% job approve?",30.0
amyewalter,2023-09-09 23:17:41+00:00,"The answer: negative partisanship. If we’ve learned anything from last 7 years it’s that our politics is driven more by who we dislike than who we love. Who we fear vs. who inspires us. This is not a bug, but feature of modern politics.",31.0
amyewalter,2023-09-09 23:17:41+00:00,"One way to look at CNN poll showing Trump/Biden tied: bad news for Biden to not be crushing a guy who has 91 indictments. Yet, Biden also tied w/ DeSantis who DOESN’T have 91 indictments. So, why isn’t DeSantis crushing Biden who has a lowly 40% job approve?",32.0
amyewalter,2023-09-09 18:32:52+00:00,"Lotta talk about GOP trying new messaging on abortion for 2024. 

Will it work? 

The VA legislative elections this fall can give us some clues. 

https://t.co/ztX5XMf0QB",33.0
amyewalter,2023-09-08 13:46:41+00:00,https://t.co/arpdpYPjzV,34.0
exjon,2023-09-08 02:05:34+00:00,"Using an image, show a movie you are SURE you have watched more than ten times. https://t.co/fU8rsJdppg",35.0
amyewalter,2023-09-08 13:45:41+00:00,"Yep. Can a big event move numbers a bit? Sure. But, don’t expect to see real substantive or sustained movement. This is going to be another very close race.",36.0
NateSilver538,2023-09-08 13:19:12+00:00,"Guys please stop dissecting the minutiae of 2024 general election polls right now, there is going to be lots and lots and lots of time for that later on. Literally just go for a hike or something.
https://t.co/RmU8QA8PEZ https://t.co/fdkt6z2aIb",37.0
amyewalter,2023-09-07 03:47:09+00:00,DC responds to @PostalService “DC Sleeps Alone Tonight” at the Anthem in DC. https://t.co/uzNgIXuhUO,38.0
amyewalter,2023-09-06 15:50:53+00:00,"Special election primaries in RI &amp; UT provide good news for Biden and Speaker McCarthy. Former Obama/Biden staffer wins Dem primary in RI. In UT, both remaining candidates are more leadership friendly than Freedom Caucus curious. From @leahaskarinam 

https://t.co/yAEwHq2ULZ",39.0
amyewalter,2023-09-04 16:26:58+00:00,"In DC, summer is letting us know that Sept. 23, not Labor Day, is the OFFICIAL end of summer.",40.0
amyewalter,2023-08-27 20:22:34+00:00,"States, not the federal government, set election rules like paper ballots, ID, etc.",41.0
MeetThePress,2023-08-27 16:09:03+00:00,"WATCH: GOP presidential candidate @VivekGRamaswamy, who voted by mail in 2020, says fmr. VP Mike Pence should have implemented ""reforms"" prior to certifying the 2020 election to build consensus: 

➡️ Single-day voting on Election Day
➡️ Paper ballots
➡️ Government-issued ID https://t.co/JGWYX5r1r1",42.0
amyewalter,2023-08-27 00:40:08+00:00,https://t.co/SOApa6jIpW,43.0
amyewalter,2023-08-26 20:10:05+00:00,This is the perfect tweet. RIP Bob Barker.,44.0
louisvirtel,2023-08-26 18:51:33+00:00,I cannot believe Bob Barker lived as close to 100 as possible without going over.,45.0
amyewalter,2023-08-24 16:51:38+00:00,Me vs my kid on the way to Great Wolf Lodge.,46.0
MargieOmero,2023-08-24 16:45:12+00:00,My kids vs me on the way to Six Flags. https://t.co/qX5tyZjs74,47.0
amyewalter,2023-08-24 15:26:28+00:00,"Trump won last night’s debate. Why? 1) Trump defender/avatar Ramaswamy is getting all the attention today instead of DeSantis; 2) all but 2 said they’d support Trump as nominee, even if convicted; 3) no one consolidated the ‘not’ &amp; ‘sometimes’ Trump vote.

https://t.co/P6CTCpjEPJ",48.0
amyewalter,2023-08-24 04:45:45+00:00,"Seems like her message was aimed more at swing voters (on abortion, climate, Trump, Ukraine), than on GOP base.",49.0
RichLowry,2023-08-24 04:42:47+00:00,Nikki Haley has had a good night,50.0
amyewalter,2023-08-24 04:43:08+00:00,Agree. The candidate who stays above the fray and sounds ‘normal’ always gets something of a bump.,51.0
DrewSav,2023-08-24 04:34:11+00:00,Burgum has had the least amount of speaking time but he's utilized it well to make his case. He's actually trying here.,52.0
amyewalter,2023-08-24 04:35:06+00:00,"Trump has to be pretty happy with this debate. Lots of infighting among GOP hopefuls.  For any GOP voter who says they are ‘persuadable’ to vote for someone other than Trump, don’t know that anyone made their case.",53.0
amyewalter,2023-08-24 04:29:30+00:00,Just the fact that everyone is going after Vivek and not DeSantis tells you everything about who the rest of the field thinks is most likely to get traction going forward.,54.0
amyewalter,2023-08-24 03:20:50+00:00,"Caught in low single digits, Pence and Haley are desperate for a break-out moment. But, Pence is doing more to help than hurt Ramaswamy .",55.0
amyewalter,2023-08-24 00:46:37+00:00,https://t.co/w8Pl3JpUCM,56.0
DougBurgum,2023-08-23 23:07:29+00:00,I’m in https://t.co/DZqLf3Yxik,57.0
amyewalter,2023-08-24 00:45:52+00:00,RT @DougBurgum: I’m in https://t.co/DZqLf3Yxik,58.0
amyewalter,2023-08-23 20:36:45+00:00,"RT @TONIGHT on @NBCNewsNOW: @chucktodd anchors a @MeetThePress special following the first GOP debate. Featuring analysis from the @NBCNews team, @lanheechen, @dpletka, @amyewalter, &amp; more.

Live at 11 p.m. ET, wherever you stream your news 👇

https://t.co/JXyldoiZmp https://t.co/t1obJSdEBU",59.0
NBCNewsPR,2023-08-23 19:17:13+00:00,"TONIGHT on @NBCNewsNOW: @chucktodd anchors a @MeetThePress special following the first GOP debate. Featuring analysis from the @NBCNews team, @lanheechen, @dpletka, @amyewalter, &amp; more.

Live at 11 p.m. ET, wherever you stream your news 👇

https://t.co/JXyldoiZmp https://t.co/t1obJSdEBU",60.0
amyewalter,2023-08-23 16:49:44+00:00,Every middle-aged person seeing this: https://t.co/gkic5rkJM6,61.0
