username,orario,text,Unnamed: 0
dscc,2023-09-27 16:32:06+00:00,"🤭 
https://t.co/Ppseu6M2Hs",
dscc,2023-09-26 20:33:22+00:00,She's baaaaack!,
KariLake,2023-09-26 14:42:48+00:00,Stay tuned. https://t.co/FKJYdMaowx,
dscc,2023-09-26 19:31:09+00:00,"A government shutdown would be devastating for Florida and Texas families, raising costs and risking Social Security. Rick Scott and Ted Cruz don’t care – they’re cheering it on. 

We’re making sure voters know it. 
#FLSen #TXSen
https://t.co/BVA4gSoss8",
dscc,2023-09-25 16:36:34+00:00,"RT @PADems: David McCormick thinks he can paper over his history on China, but we have the receipts ⤵ https://t.co/k024rvjtC9",
dscc,2023-09-25 15:39:26+00:00,We’re making sure that Florida voters searching for information about how a government shutdown would impact their hard-earned benefits will see how Rick Scott is once again risking their social security. #FLSen,
dscc,2023-09-22 22:31:11+00:00,McCormick used the Pittsburgh skyline green screen for this interview to trick Pennsylvanians into thinking he lives there. #PASen https://t.co/OcKcub1JPh,0.0
dscc,2023-09-22 16:05:36+00:00,"RT @NEW:@dscc launching advertising campaign highlighting how Scott &amp; Cruz's government shutdown would threaten Social Security and raise costs.  

-&gt; ads will reach voters searching for information about a shutdown and its impacts

more here: https://t.co/jEQ4rjpoFC #FLSEN #TXSEN https://t.co/spyEAufqI6",1.0
DavidABergstein,2023-09-22 14:22:25+00:00,"NEW:@dscc launching advertising campaign highlighting how Scott &amp; Cruz's government shutdown would threaten Social Security and raise costs.  

-&gt; ads will reach voters searching for information about a shutdown and its impacts

more here: https://t.co/jEQ4rjpoFC #FLSEN #TXSEN https://t.co/spyEAufqI6",2.0
dscc,2023-09-22 04:19:51+00:00,"2️⃣0️⃣2️⃣2️⃣: We flipped Pennsylvania &amp; expanded our Democratic Senate majority. 
2️⃣0️⃣2️⃣4️⃣: Mitch McConnell has ranked PA's other Senate seat as one of his top four to flip.

Chip in to support @Bob_Casey and keep Mitch far from the majority leader’s office. https://t.co/AS0k1EU4Kq",3.0
dscc,2023-09-22 01:35:20+00:00,David McCormick supports an abortion ban with no exceptions for rape or incest. #PASen https://t.co/np4T6yl9w2,4.0
dscc,2023-09-22 00:41:45+00:00,This plane has probably spent more nights on the ground in PA than McCormick has. #PASen,5.0
RyanDeto,2023-09-21 23:46:54+00:00,"Plane flying over the Heinz History Center in Pittsburgh, with a banner reading “welcome to Pennsylvania, Dave.” PA Dems are taking credit, who are eager to point out that McCormick, a PA native, has his main residence in Connecticut. https://t.co/ZWdzmXLupN",6.0
dscc,2023-09-21 23:28:22+00:00,Pennsylvanians deserve better than David McCormick. #PASen https://t.co/wdkZpVneFV,7.0
dscc,2023-09-21 21:55:35+00:00,Ted Cruz is backing a government shutdown that would prevent seniors and veterans from accessing services and cause chaos in our economy. #TXSen https://t.co/u1IcSYsrTx,8.0
dscc,2023-09-21 18:38:02+00:00,https://t.co/ev7JEesPQt,9.0
thehill,2023-09-20 14:36:05+00:00,Contested GOP Senate primaries could create headaches in 2024 https://t.co/n1gFYTD7sK https://t.co/Uz1SqdQQwl,10.0
dscc,2023-09-21 17:06:25+00:00,"You’ll have to bear with Tim Sheehy, he’s not really from Montana. #MTSen https://t.co/YFZ5Rk6AXK",11.0
dscc,2023-09-19 20:50:44+00:00,It sure does! #MTSen,12.0
SydneyKashiwagi,2023-09-15 19:11:29+00:00,"#MTSEN: A private plane registered to @SheehyforMT's company flew to SD the same day he attended a campaign rally with Trump. Though he's allowed to fly on a private jet, it runs in contrast to everyday Montanian persona he's been cultivating

More here: https://t.co/I4SdkzTeQU https://t.co/MQ8UcsbuKN",13.0
dscc,2023-09-19 15:56:54+00:00,"Good morning! It’s time to go to https://t.co/cLKJH3wcZe and:

✅ Check your registration status
🏠 Confirm your address is correct and current
🗳️ Get ready to vote in your next election!

#NationalVoterRegistrationDay",14.0
dscc,2023-09-19 15:56:12+00:00,"RT @Ohio taxpayers are footing a $600,000 bill for Frank LaRose to move the Secretary of State office to the same building as his political campaign. 

Working Ohioans shouldn’t pay for LaRose's scheme. https://t.co/DIR8aULv5A",15.0
OHDems,2023-09-15 21:02:59+00:00,"Ohio taxpayers are footing a $600,000 bill for Frank LaRose to move the Secretary of State office to the same building as his political campaign. 

Working Ohioans shouldn’t pay for LaRose's scheme. https://t.co/DIR8aULv5A",16.0
dscc,2023-09-19 00:09:33+00:00,"RT @Is multimillionaire transplant @SheehyforMT using company resources to help his Senate campaign? The answer may be hiding in plane sight. ✈️ #mtpol #mtsen

https://t.co/8HPhxP9wVr https://t.co/57nRZnAgC4",17.0
