username,orario,text,Unnamed: 0
gillibrandny,2023-09-26 22:22:17+00:00,"My heart goes out to Tom’s family and loved ones, as well as everyone at @steelworkers. Tom was a powerful champion for unions and working families, and I know he’ll be sorely missed.",
gillibrandny,2023-09-26 20:01:24+00:00,I'm in Central Park — one of the most iconic green spaces in the world — to announce $20 million in federal funding to expand green space access in New York City. This funding will help increase the quality of life for New Yorkers and help keep our communities cool! https://t.co/WcQK4nRQcH,
gillibrandny,2023-09-26 00:08:50+00:00,Solidarity with @UAWRegion9A! Keep fighting through rain or shine for the fair wages and benefits you deserve!,
gillibrandny,2023-09-23 00:46:45+00:00,"Far too many communities have been devastated by gun violence in New York and across the country. Now is the time to take bold action to end the gun violence epidemic. Thank you, @POTUS!",0.0
POTUS,2023-09-22 15:25:01+00:00,"We've taken historic action to combat the scourge of gun violence in America, but I'll tell you myself:
 
There's more to do.
 
I'm proud to establish the first-ever White House Office of Gun Violence Prevention. https://t.co/FNWoCPgHOF",1.0
gillibrandny,2023-09-22 19:23:33+00:00,".@UAW Local 3039, New York is with you! Stand strong for the fair wages and benefits you deserve. #StandUpUAW",2.0
DawnJetLe,2023-09-22 18:09:49+00:00,"UAW Local 3039 in Tappan, NY walks! https://t.co/Qk0XPzdJGl",3.0
gillibrandny,2023-09-22 00:32:36+00:00,"My heart goes out to the students, families, and all those involved in this horrific crash. My office and I are closely monitoring this situation, and we're grateful for the first responders who worked so hard to save lives. https://t.co/rwhIUESNp3",4.0
gillibrandny,2023-09-21 23:38:33+00:00,"I was proud to join members of the SUNY community today for their #SUNYDayDC!

I'm working hard to ensure that college students can access SNAP benefits and take advantage of opportunities such as the Cyber Academy. I'll never stop fighting for New York's best and brightest! https://t.co/8rl6EayZ1H",5.0
gillibrandny,2023-09-21 21:06:00+00:00,.@ZelenskyyUa gave us an update on the war in Ukraine this morning. His people have been fighting bravely to defend their freedom — and our support has been critical. The United States must never waver in our defense of democracy. https://t.co/Qx50G4aecp,6.0
gillibrandny,2023-09-21 03:10:59+00:00,"I'm grateful the Biden administration heeded our call to redesignate Venezuela for Temporary Protected Status, which will allow asylum seekers in New York to access work permits more quickly. It's common sense – and it will relieve some of the pressure on our city and state.",7.0
camiloreports,2023-09-21 01:48:08+00:00,"BREAKING — The Biden administration will be offering more than 400,000 Venezuelan migrants in the U.S. legal status and work permits through an expansion of the TPS program following demands from New York and other cities, three sources tell @CBSNews.
https://t.co/pSRy7TOttB",8.0
gillibrandny,2023-09-21 00:59:11+00:00,"12 years ago, we finally succeeded in repealing the anti-LGBTQ+ policy of Don't Ask Don't Tell in our military, so that Americans don't have to fear discrimination based on who they love when they choose to serve. I'll never stop fighting for the rights of our LGBTQ+ community.",9.0
gillibrandny,2023-09-20 22:13:34+00:00,".@POTUS just announced the creation of the American Climate Corps, which will prepare thousands of young Americans for clean energy and climate resilience jobs.
 
I've been fighting to create a climate corps for years, and I'm so proud to see this become a reality!",10.0
WhiteHouse,2023-09-20 16:00:03+00:00,"Big News: The Biden-Harris Administration is launching the American Climate Corps – mobilizing more than 20,000 young Americans to work on the frontlines of conservation, clean energy and climate resilience.

Learn more at https://t.co/O32BxmJdgS. https://t.co/KOrqZXIrmk",11.0
