username,orario,text,Unnamed: 0
jamesrhenson,2023-09-27 16:56:52+00:00,"Rep. August Pfluger (R-TX), per @playbookdc: “The president needs to make a decision: If he wants to keep the government open, he needs to shut down the border. No border security, no funding.”
A familiar Texas play - from last week... https://t.co/O7XkkY4Q1z #txlege #shutdown",
jamesrhenson,2023-09-26 22:26:27+00:00,"Texas support for ""prohibiting sexually oriented performances in public places in the presence of a minor""  by party ID (June 2023 UT/@TxPolProject Poll) https://t.co/zZ8xi4rWut #txlege https://t.co/QsPb2qV9Ul",
jamesrhenson,2023-09-26 22:22:46+00:00,"U.S. District Court Judge David Hittner ruled the law, known as Senate Bill 12, violated the free speech and expression rights of drag performers and was written too vaguely to be easily understood or enforced. https://t.co/8ySrsoL5b2  #txlege",
jamesrhenson,2023-09-26 01:06:55+00:00,"RT @Dallas Mayor @Johnson4Dallas talking with the @TxPolProject in 2013 on rebuilding the Democratic Party in Texas: https://t.co/fAqTKc88WG (Though, if you listen carefully, a lot tea leaves with 20-20 hindsight). #txlege",
jamesrhenson,2023-09-25 04:49:10+00:00,"RT @New post on our website this week: Polling vouchers – The choice of words can be taxing, via  @JoshuaMBlank &amp; @jamesrhenson https://t.co/6pc81qkCax #txlege https://t.co/s76tVkJ0qL",
jamesrhenson,2023-09-25 04:48:12+00:00,RT @Multiple Texas polling results over the last decade+ related to Ted Cruz from our polling archive: https://t.co/PLwbOMp9ms #TribFest23 #tx2024 https://t.co/vMrTLCqOym,
jamesrhenson,2023-09-23 22:23:56+00:00,"Robert F. Kennedy, Jr. Favorability in Texas (August 2023 @UTAustin/@TxPolProject Poll) https://t.co/lcE5vbD0Ax #TribFest23 https://t.co/ddG8JPIw4R",0.0
jamesrhenson,2023-09-23 20:54:37+00:00,"Per Ted Cruz point that voters were informed about Paxton charges when he was re-elected - lots of data says, not so much. #tribfest23  https://t.co/s8gMbBqbdX",1.0
jamesrhenson,2023-09-23 20:38:56+00:00,Ted Cruz Approval by intensity of conservative self-identification (August 2023 UT/ @TxPolProject Poll) https://t.co/89PoCpSlzY #TribFest23 https://t.co/fuYPJBlq89,2.0
jamesrhenson,2023-09-23 20:36:08+00:00,"Ted Cruz job approval in Texas, by party ID (August 2023 UT/@TxPolProject Poll) https://t.co/89PoCpSlzY #TribFest23 #tx2024 https://t.co/7tR4a13x8J",3.0
jamesrhenson,2023-09-23 18:54:06+00:00,Evaluation of Business Response to Climate Change. Texas views from August 2023 @UTAustin/@TxPolProject  https://t.co/86oukUgTHs #tribfest23 #txlege https://t.co/6sAmAgCm4K,4.0
jamesrhenson,2023-09-23 18:45:44+00:00,Is Climate Change Happening? Texas responses from June 2023 UT/@TxPolProject Poll https://t.co/Z9qO0N0dCp #tribfest23 https://t.co/hMoIp9AOT1,5.0
jamesrhenson,2023-09-23 18:29:02+00:00,Texans’ confidence that the #txlege increased the reliability of the state’s electric grid in June 2023 UT/@TxPolProject Poll as @NathanForTexas @toddahunter @PhilKingTX discuss power in Texas w/ @emfoxhall at #TribFest23. https://t.co/DOQ21Dxyq4 https://t.co/aSI181LiCw,6.0
jamesrhenson,2023-09-23 18:34:23+00:00,"Took me three tries to get that damn tweet right. Whatever the future of the grid, no AC in this tent. 😓 #TribFest23",7.0
jamesrhenson,2023-09-23 06:25:40+00:00,"One Day on the Border: 8,900 Migrants Arrested, and More on the Way via @NYTimes https://t.co/rWU2lYX7Bp",8.0
jamesrhenson,2023-09-22 18:24:55+00:00,".@davidaxelrod / @KarlRove combo at #tribfest23 turns back to pier of election deniers in GOP.
Texas responses: ""Regardless of whom you supported, do you think Joe Biden legitimately won the 2020 presidential election?” https://t.co/DOQ21Dxyq4 https://t.co/Oxp5Y8O44O",9.0
jamesrhenson,2023-09-22 18:53:59+00:00,Convo.,10.0
