username,orario,text
jonathanvswan,2023-10-19 18:58:35+00:00,Sidney Powell pleads guilty. Here's our Jan. 2021 deeply reported piece on perhaps the most unhinged meeting ever held in the Oval Office. w @zacharybasu https://t.co/hO0hH97iCN
jonathanvswan,2023-10-19 02:47:52+00:00,RT @Biden asked Netanyahu and his war cabinet what was their plan for Gaza on the day after the war. They said they still don't have one. My story on @axios  https://t.co/zit04eTbwe
BarakRavid,2023-10-19 01:24:25+00:00,Biden asked Netanyahu and his war cabinet what was their plan for Gaza on the day after the war. They said they still don't have one. My story on @axios  https://t.co/zit04eTbwe
jonathanvswan,2023-10-19 00:07:44+00:00,RT @First Ukraine aid now SALT. Almost like seeking leadership means failing the kinds purity tests Jordan eagerly imposed on his predecessors.
NoahCRothman,2023-10-18 23:56:30+00:00,First Ukraine aid now SALT. Almost like seeking leadership means failing the kinds purity tests Jordan eagerly imposed on his predecessors.
BGOV,2023-10-18 20:45:26+00:00,"Speaker candidate Jim Jordan told moderate New York holdouts he would support doubling the state-and-local tax deduction cap to $20,000, according to Rep. Mike Garcia. https://t.co/AU1755gf8X"
jonathanvswan,2023-10-18 18:29:22+00:00,RT @daveweigel: Have you thanked a poster today? https://t.co/0sexJqrD3z
daveweigel,2023-10-18 16:35:12+00:00,Have you thanked a poster today? https://t.co/0sexJqrD3z
smod4real,2023-10-18 04:21:22+00:00,Shaun King’s wife coming in with the funniest thing I’ve read in weeks https://t.co/7EPsQVqjC7
jonathanvswan,2023-10-18 16:00:09+00:00,RT @LPDonovan: The system works
LPDonovan,2023-10-18 15:56:25+00:00,The system works
VolbeckWasRight,2023-10-18 15:52:42+00:00,"Assuming that the “no” vote on #Jordan is growing, there is only one reason for going through with it…

It provides additional targets against whom outside professional conservatives can instigate primaries…

Which will lead to unelectable candidates and a House GOP minority."
jonathanvswan,2023-10-18 15:33:37+00:00,One of the more amusing responses I've ever heard to the 'why haven't you endorsed Trump' question. U.S. Senate candidate Matt Rosendale indicates he's worried his support might *hurt Trump* in Montana?! https://t.co/KDLXR1lTwz
annalecta,2023-10-05 17:16:27+00:00,"Wowza: former Trump campaign fundraiser Caroline Wren boasted about instructing a wealthy GOP donor to give to a member of Congress they ""can’t stand"" &amp; screenshot the maxi campaign contribution just to pressure them to vote against stopgap spending bill https://t.co/A2nLFJywON https://t.co/UNTSrdx1wk"
jonathanvswan,2023-10-05 15:26:59+00:00,"RT @""The sentiments were scripted, word for word, by Griffin’s spokesman, who gave them to the city, emails indicate. The mayor’s office then presented the statement as Suarez’s own words"" https://t.co/kj5bUdOJDA"
ShaneGoldmacher,2023-10-05 15:22:56+00:00,"""The sentiments were scripted, word for word, by Griffin’s spokesman, who gave them to the city, emails indicate. The mayor’s office then presented the statement as Suarez’s own words"" https://t.co/kj5bUdOJDA"
jonathanvswan,2023-10-05 15:08:53+00:00,RT @Still kind of funny to think of Linda Yaccarino trying to keep this site afloat by announcing co-branding deals with celebs past their sell-by dates and Elon just randomly waking up and deciding you can no longer use vowels in a post or whatever
ditzkoff,2023-10-05 14:54:21+00:00,Still kind of funny to think of Linda Yaccarino trying to keep this site afloat by announcing co-branding deals with celebs past their sell-by dates and Elon just randomly waking up and deciding you can no longer use vowels in a post or whatever
jonathanvswan,2023-10-05 14:12:02+00:00,"RT @The full interview with Rep. Nancy Mace on her vote to oust McCarthy, and what she is doing now vs. what she was doing in January, is worth watching. 

https://t.co/9QfXGwbi3s"
kaitlancollins,2023-10-05 14:04:52+00:00,"The full interview with Rep. Nancy Mace on her vote to oust McCarthy, and what she is doing now vs. what she was doing in January, is worth watching. 

https://t.co/9QfXGwbi3s"
jonathanvswan,2023-10-05 14:08:26+00:00,I'm not sure I've ever seen a company owner destroy a product's basic functionality as quickly as Musk has done with Twitter. I find it borderline useless as a fast news service these days and my feed is full of tweets from people I don't follow.
axios,2023-10-05 13:41:18+00:00,"You probably don't see a headline on this link right now. That's because X began removing news links and headlines from posts.
https://t.co/fEMApfR6AD"
jonathanvswan,2023-10-05 13:34:00+00:00,RT @mschlapp: Because he assumes he takes a step up in leadership. I predict a big fight for that number 2 slot.
mschlapp,2023-10-05 01:23:18+00:00,Because he assumes he takes a step up in leadership. I predict a big fight for that number 2 slot.
jonathanvswan,2023-10-05 13:33:28+00:00,"RT @Landslide ....

My most viewed American frontpage for yesterday via @nytimes with @jonathanvswan @maggieNYT @charlie_savage @emiliano_mega 👇

Today's U.S. run, starts in a few minutes

#frontpagestoday #USA #ThursdayPapers"
ukpapers,2023-10-05 12:24:00+00:00,"Landslide ....

My most viewed American frontpage for yesterday via @nytimes with @jonathanvswan @maggieNYT @charlie_savage @emiliano_mega 👇

Today's U.S. run, starts in a few minutes

#frontpagestoday #USA #ThursdayPapers"
jonathanvswan,2023-10-05 13:32:27+00:00,"Michael Wolff’s Fox book sells only 3,000 copies https://t.co/3MSRj90nrF via @thedailybeast"
jonathanvswan,2023-10-06 13:27:03+00:00,"""The Biden administration on Thursday said it would expand former President Donald Trump’s wall on the Mexican border and begin deporting thousands of Venezuelans in an effort to cut down on the migrant surge that shows no signs of abating."" https://t.co/lEZE6RIVu5"
jonathanvswan,2023-10-06 13:28:23+00:00,"""There is presently an acute and immediate need to construct physical barriers and roads in the vicinity of the border of the United States in order to prevent unlawful entries into the United States,"" Mr. Mayorkas said"
jonathanvswan,2023-10-06 02:52:47+00:00,"RT @Wowza: former Trump campaign fundraiser Caroline Wren boasted about instructing a wealthy GOP donor to give to a member of Congress they ""can’t stand"" &amp; screenshot the maxi campaign contribution just to pressure them to vote against stopgap spending bill https://t.co/A2nLFJywON https://t.co/UNTSrdx1wk"
jonathanvswan,2023-10-06 02:44:17+00:00,"RT @Confirming ABC News reporting, Trump is said to have discussed classified nuclear submarine intel with an Australian businessman/member of MAL after leaving office @alanfeuer Ben Protess @jonathanvswan me https://t.co/kcOfRjT2xk"
maggieNYT,2023-10-06 00:52:06+00:00,"Confirming ABC News reporting, Trump is said to have discussed classified nuclear submarine intel with an Australian businessman/member of MAL after leaving office @alanfeuer Ben Protess @jonathanvswan me https://t.co/kcOfRjT2xk"
jonathanvswan,2023-09-29 01:45:04+00:00,"Lines of attack the GOP group tested that either failed to lower Trump's support or back-fired by increasing his support:
-handling of the pandemic
-promotion of vaccines
-praise of Fauci
-reckless spending
-failure to build the wall
-soft on abortion
-J6

https://t.co/EUzNErSBUw"
jonathanvswan,2023-09-29 01:36:04+00:00,"“Even when you show video to Republican primary voters — with complete context — of President Trump saying something otherwise objectionable to primary voters, they find a way to rationalize and dismiss it,” Mr. McIntosh states in the memo. https://t.co/xokyIiGqtF"
jonathanvswan,2023-09-29 01:35:24+00:00,"New: In a remarkably candid memo to donors, the head of a well-funded GOP group admits that after extensive testing of more than 40 anti-Trump television ads, “all attempts to undermine his conservative credentials on specific issues were ineffective.” https://t.co/EUzNErSBUw"
jonathanvswan,2023-09-28 02:56:13+00:00,"RT @One overlooked Haley super PAC tidbit: 

In the last two months, her super PAC was the biggest advertiser in both states, spending $6.5 million in Iowa and close to $5 million in New Hampshire — more than her closest competitors.

https://t.co/5dy2kQlXuF"
jonathanvswan,2023-09-28 02:56:11+00:00,"RT @Can Another Trump-less G.O.P. Debate Amount to More Than a Race for Second Place?

A look at the dynamics with @maggieNYT and @jonathanvswan, as major donors tune in — and weigh who to get behind as Haley rises in early state polls.
 
https://t.co/5dy2kQlXuF"
jonathanvswan,2023-09-25 16:13:31+00:00,"RT @Candidates running for House and Senate increased spending on security by more than 500% between the 2020 and 2022 elections, a measure of the extraordinary rise in threats against elected officials in recent years. @Invisibae @MariannaReports @cdechalus https://t.co/8yeWj4SMc7"
