username,orario,text,Unnamed: 0
larryelder,2023-09-27 14:14:41+00:00,"Ever notice how @BarackObama, who always opposed reparations, has said absolutely 
nothing about the growing movement for them? Obama knows that the moment he reiterates his long standing opposition, he will be canceled.",
larryelder,2023-09-27 14:03:47+00:00,"Larry Elder: Democrats Play the @GavinNewsom Card at Their Own Peril in 2024
https://t.co/DMaLkySyEo

How bad is Newsom? Order my new book.
https://t.co/QsfzaOZdMt

#WeveGotACountryToSave 
#WeveGotAStateToSave",
larryelder,2023-09-27 13:46:38+00:00,"No, @KamalaHarris is NOT dead woman walking. She got elected DA, AG &amp; senate. The first Dem primary is SCarolina, where 
60% of their voters are black, mostly black female. They LOVE Harris—will revolt if she’s replaced by a white man. The race/gender party is stuck with Harris.",
larryelder,2023-09-27 13:03:42+00:00,"If @JoeBiden can fog up a mirror, he’s runs. If not, it’s @KamalaHarris. The first Dem primary is SCarolina, where 60% of the Dem voters are black, mostly black female. And they LOVE Harris. Live by the race/gender card, die by the race/gender card. Dems are stuck with Harris.",
larryelder,2023-09-27 12:09:30+00:00,"RUT ROH!

Hunter Biden received $250K wires originating in Beijing with beneficiary address listed as Joe Biden's home—Money came from Hunter's China-backed business partners

https://t.co/yVmSn1S9Lj

#BidenCrimeFamily",
larryelder,2023-09-27 09:13:06+00:00,"And you REALLY think this California hyper leftwing loon is more palatable than Biden?!?

Newsom to raise taxes on guns, makes it harder to have a concealed weapon
https://t.co/DF5uLoUXw3

All is revealed in my new book out in Nov.
https://t.co/QsfzaOZdMt

#WeveGotAStateToSave",
larryelder,2023-09-27 09:05:56+00:00,"Pressure builds for U.S. Supreme Court to get involved in legal dispute over homeless encampments 

https://t.co/YrNYl1Ua7G",
larryelder,2023-09-27 09:03:40+00:00,"Something to hide? FBI refuses to release documents in probe into possible nationwide voter registration fraud.  Bureau responds to Just the News FOIA request by suggesting the investigation is still ongoing. 

https://t.co/UU3XUSmW2R

#WeveGotACountryToSave",
larryelder,2023-09-27 03:24:10+00:00,"BREAKING NEWS: Larry Elder Reacts To Missing The 2nd Debate, Gives Update on His Candidacy  

https://t.co/FS4meGBhM9

#WeveGotACountryToSave",
larryelder,2023-09-27 03:00:32+00:00,"RT @Thursday on The @MegynKellyShow:

All-star analysis of the GOP debate, featuring:

- @ggreenwald 
- @MichaelDuncan 
- @elianayjohnson 
- @larryelder 

LIVE on @SIRIUSXM ch. 111 #Triumph at NoonET &amp; all platforms after. Subscribe:
https://t.co/YJPxz5Gu8d

https://t.co/F96HgI7HIW https://t.co/hloq90d7X6",
MegynKellyShow,2023-09-27 02:58:55+00:00,"Thursday on The @MegynKellyShow:

All-star analysis of the GOP debate, featuring:

- @ggreenwald 
- @MichaelDuncan 
- @elianayjohnson 
- @larryelder 

LIVE on @SIRIUSXM ch. 111 #Triumph at NoonET &amp; all platforms after. Subscribe:
https://t.co/YJPxz5Gu8d

https://t.co/F96HgI7HIW https://t.co/hloq90d7X6",
larryelder,2023-09-26 22:53:17+00:00,"Today's Democratic Party is not my mother's Democratic Party — or Robert F. Kennedy, Jr.'s.  
@patrickbetdavid

https://t.co/ojhoxBGD4S 

#WeveGotACountryToSave https://t.co/gSndI0sBL5",
larryelder,2023-09-26 22:50:49+00:00,"RT @NEWSMAX: .@larryelder: ""Joe Biden, apparently, is more black than I am."" https://t.co/wM4AQzFigT",
NEWSMAX,2023-09-26 22:50:00+00:00,".@larryelder: ""Joe Biden, apparently, is more black than I am."" https://t.co/wM4AQzFigT",
larryelder,2023-09-26 22:15:17+00:00,"How Many Times Does a Court Have to Rule Against Illegal DACA Program Before It’s Terminated?

https://t.co/44FC4idaG1",
larryelder,2023-09-26 22:10:41+00:00,"“Intuit said Bank of America required it to prohibit gun manufacturers from using QuickBooks and JPMorgan required Intuit to prohibit gun sellers from doing so.
https://t.co/Fcx68hspol

Old Glory Bank will NEVER cancel you for exercising your rights. 
https://t.co/AllkVFsy4z https://t.co/Mxh7cwlBdX",
larryelder,2023-09-26 21:49:30+00:00,"RT @""I'm not sure you will be able to get Democrats on board when it comes to this issue."" 

Presidential candidate @larryelder joined @_brittanylewis on ""Forbes Newsroom"" to discuss concerns around immigration. 
https://t.co/IDRVOIsSAQ https://t.co/Z93VdxMrMN",
Forbes,2023-09-26 21:39:57+00:00,"""I'm not sure you will be able to get Democrats on board when it comes to this issue."" 

Presidential candidate @larryelder joined @_brittanylewis on ""Forbes Newsroom"" to discuss concerns around immigration. 
https://t.co/IDRVOIsSAQ https://t.co/Z93VdxMrMN",
larryelder,2023-09-26 21:40:39+00:00,"RT @""Republicans are taking a pocket knife to a problem that requires a machete."" 

Presidential candidate @larryelder joined @_brittanylewis on ""Forbes Newsroom"" to discuss concerns around the economy. 
https://t.co/IDRVOIsSAQ https://t.co/yczAvoIVeS",
Forbes,2023-09-26 21:37:23+00:00,"""Republicans are taking a pocket knife to a problem that requires a machete."" 

Presidential candidate @larryelder joined @_brittanylewis on ""Forbes Newsroom"" to discuss concerns around the economy. 
https://t.co/IDRVOIsSAQ https://t.co/yczAvoIVeS",
larryelder,2023-09-26 20:47:51+00:00,"At 12:00pm PT on @NEWSMAX’s “American Agenda”: I discuss Elder vs RNC; @GavinNewsom at the GOP debate spin room; Newsom to debate @RonDeSantis; and my new book, “As Goes California.”

https://t.co/QsfzaOZdMt",
larryelder,2023-09-26 20:40:06+00:00,"The formula for success in America is simple: 

Finish high school, don't have a child before the age of 20, get married before having the child, and don’t get in trouble with the criminal justice system.

That is what we should be telling the black community, but too many black leaders prefer to push false narratives about victimhood and systemic racism.

@VanLathan @TheRachLindsay @Higher_Learning",
larryelder,2023-09-26 19:23:07+00:00,"Intuit and JPMorgan: discriminatory policy against the firearms industry

“…JPMorgan had ‘demanded that Intuit create &amp; enforce bank policies regarding firearm sellers &amp; manufacturers.’”

Old Glory Bank will never cancel you for exercising your rights.
https://t.co/AllkVFsy4z https://t.co/nhdbHdoCEa",
larryelder,2023-09-26 18:41:51+00:00,"Even Bill Gates is backtracking — the air’s gone out of the climate-crisis balloon

“…well-off white people who mostly run the left dreamed up causes and slogans, which their follow-the-herd peers uncritically adopted until they ran into reality…”

https://t.co/PaIRMcBwu2",
larryelder,2023-09-26 16:07:43+00:00,".@Liz_Wheeler’s new book is out today! 

‘Hide Your Children: Exposing the Marxists Behind the Attack on America's Kids’

https://t.co/ispEhgEMMh",
Liz_Wheeler,2023-09-26 13:48:17+00:00,"MY BOOK IS OUT TODAY! I’m excited &amp; nervous for you to read it. It’s a massive critique of the Republican Party—we’re losing the culture wars &amp; it’s GOP’s fault. 🫣 I offer a different solution on how to take back our institutions &amp; save our kids. BUY NOW

https://t.co/iI6fBvtAcC",
larryelder,2023-09-26 16:01:44+00:00,"Biden’s Pending (?) Political Demise

“Elder is correct that black women tend to be big Kamala Harris fans, but nobody else is.
And one does not get the impression that Jill Biden will pull herself and her husband aside for the benefit of Harris.”

https://t.co/LdOylCDKtZ",
larryelder,2023-09-26 15:56:39+00:00,"As president, I would immediately reinstate the Trump border policies. Even liberal big city mayors are speaking out against Joe Biden’s disastrous open border policies.

@SundayFutures @MariaBartiromo https://t.co/bEQitBJq0P",
larryelder,2023-09-26 12:28:46+00:00,#TrumpDerangementSyndrome,
larryelder,2023-09-26 12:22:50+00:00,"WATCH: Larry Elder Leaves Charlamagne tha God (@cthagod) Speechless over Biden’s Long History of Racism

https://t.co/8n7phCAbjv",
