,username,orario,text
0,marwilliamson,2023-09-24 14:00:43+00:00,"Dear .@AppleNews I am polling higher than the majority of candidates listed on your candidate tracker. Please correct your list to reflect the reality of the race?
      It is the job of the voters - not the media - to vet candidates."
1,Sir_Slytherin,2023-09-24 13:11:45+00:00,Dang... @AppleNews did @marwilliamson real dirty.  She isn't even an option to follow on their #Election2024 page.  The #DNC is a powerful machine. https://t.co/VKU9Fhj5GC
2,marwilliamson,2023-09-24 06:02:20+00:00,"RT @nancyladish2: .@marwilliamson 
#Marianne2024 

https://t.co/cb06mYy9LP"
3,nancyladish2,2023-09-24 05:44:00+00:00,".@marwilliamson 
#Marianne2024 

https://t.co/cb06mYy9LP"
4,marwilliamson,2023-09-24 02:49:32+00:00,"RT @Looking forward to joining @wejustwill this Sunday, September 24th.

More info at: https://t.co/ncVJRNVdpz https://t.co/S0qnGR8T8n"
5,marwilliamson,2023-09-22 02:11:57+00:00,"Looking forward to joining @wejustwill this Sunday, September 24th.

More info at: https://t.co/ncVJRNVdpz https://t.co/S0qnGR8T8n"
6,marwilliamson,2023-09-23 17:21:59+00:00,"There are two topics which the political establishment wants its chosen politicians to stay away from, one for which they will mock a candidate and one for which they will come at you with full frontal attack. 1/7"
7,marwilliamson,2023-09-23 19:55:58+00:00,"Darn right we need to talk about love. And darn right we need to talk about capitalism. For when the heart strays from love - personally or collectively - our lives go awry. 
And when capitalism strays from an ethical core - systematically putting short term profits before the safety, health, and well-being of people, animals, and planet - the world goes awry. 6/7"
8,marwilliamson,2023-09-23 20:05:43+00:00,"That is where we are today. 

It is the challenge, and the conversation that matters most. 

Institutionalized corporate greed is a killer. 

Love is that which stands up and says “No.” 
#Marianne2024 7/7"
9,marwilliamson,2023-09-23 10:35:17+00:00,https://t.co/yH4mA4xKR4
10,marwilliamson,2023-09-23 10:35:35+00:00,By Celso de Castro
11,marwilliamson,2023-09-23 04:17:21+00:00,It’s time for We the People to end the tyranny of the military industrial complex. https://t.co/qpdCaMiz9A
12,marwilliamson,2023-09-21 21:40:45+00:00,"Join me Friday, September 22 in Atlanta, Georgia.

More info at https://t.co/GRziRaJB8M. https://t.co/Aip9opgIKA"
13,marwilliamson,2023-09-21 21:18:23+00:00,"I’m looking forward to being back in New Hampshire beginning October 1.

Visit https://t.co/GRziRaJB8M for more information.

Oct 1st
📍 Franconia &amp; Durham

Oct 2nd
📍Rindge, Keene &amp; Exeter

Oct 3rd
📍Hanover

Oct 4th
📍Tilton, Henniker, Manchester &amp; Goffstown https://t.co/hz9MGMb4ca"
14,marwilliamson,2023-09-21 21:14:43+00:00,"We’re looking for the most amazing Social Media manager in the whole entire universe. 

Resumes please to: lauren@marianne2024.com"
15,marwilliamson,2023-09-21 19:53:15+00:00,Good
16,HeatherCherone,2023-09-20 20:37:21+00:00,"NEW: The city of Chicago has sued Monsanto for releasing highly toxic chemicals into the city’s air, water and soil for decades. The city wants the firm, which is now owned by Bayer, and a distributor, to pay to clean up PCB contamination in the city and its waterways. @wttw"
17,marwilliamson,2023-09-21 16:35:40+00:00,https://t.co/xbSbuAnE2S
18,marwilliamson,2023-09-21 07:27:19+00:00,Thank you @harveyjkaye !🇺🇸https://t.co/KNyMgEGTuD
19,marwilliamson,2023-09-20 22:57:04+00:00,We should cut our defense spending by at least 20% and audit every penny spent by the Pentagon. https://t.co/QYP27hYk3u
20,marwilliamson,2023-09-20 22:57:05+00:00,FULL INTERVIEW: https://t.co/PUWRjekXYb
21,marwilliamson,2023-09-20 21:11:12+00:00,I kinda love him for this.
