username,orario,text
rickhasen,2023-09-29 03:48:39+00:00,#ELB: Fifth Circuit Grants Rehearing En Banc in Case That Struck Down Mississippi Felon Disenfranchisement Law https://t.co/sUHKsVnpR7
rickhasen,2023-09-29 02:08:44+00:00,"#ELB: Fifth Circuit Panel, on Party Line Vote, Delays Louisiana Voting Rights Act Congressional Redistricting Case, Potentially Pushing Any Remedy to 2026 https://t.co/3j2axKh9I3"
rickhasen,2023-09-29 01:59:30+00:00,#ELB: “Biden Issues a Blistering Attack on Trump” https://t.co/2JglU5L5oR
rickhasen,2023-09-29 01:54:33+00:00,#ELB: “Republican Group Running Anti-Trump Ads Finds Little Is Working” https://t.co/S3uPrextKM
rickhasen,2023-09-28 18:44:41+00:00,"#ELB: “After two rejections, is Ohio attorney general slow-walking anti-gerrymandering amendment?” https://t.co/GgPwnOswgg"
rickhasen,2023-09-28 15:30:02+00:00,#ELB: “Judge Denies Trump’s Request That She Recuse Herself in Election Case” https://t.co/d8HDeTCNEc
rickhasen,2023-09-28 15:30:02+00:00,#ELB: “Media network paid by GOP groups is behind deluge of election records requests” https://t.co/tNwGt58zQC
rickhasen,2023-09-28 15:10:50+00:00,#ELB: “Twitter Fires Election Integrity Team Ahead of 2024 Elections” https://t.co/xGpM6s3A6g
rickhasen,2023-09-28 15:10:49+00:00,#ELB: “Redistricting redux: North Carolina lawmakers to draw again new maps for Congress and themselves” https://t.co/ULnMUTTuhv
rickhasen,2023-09-28 04:31:18+00:00,"RT @Great discussion during our event with the Safeguarding Democracy Project on How Should Platforms Handle Election Speech and Disinformation in 2024? with @yoyoel, @katieharbath , @josh_lawson, @Brandon1Tucker  and @rickhasen. 

Recording Here: https://t.co/KPs9UxgqPa https://t.co/lh5ADZ2vD4"
UCLAtech,2023-09-28 01:30:01+00:00,"Great discussion during our event with the Safeguarding Democracy Project on How Should Platforms Handle Election Speech and Disinformation in 2024? with @yoyoel, @katieharbath , @josh_lawson, @Brandon1Tucker  and @rickhasen. 

Recording Here: https://t.co/KPs9UxgqPa https://t.co/lh5ADZ2vD4"
rickhasen,2023-09-27 16:49:23+00:00,"#ELB: Kirkus Reviews Calls My Forthcoming Book, A Real Right to Vote, “A persuasive, up-to-date proposal that deserves widespread attention.” https://t.co/3vHj5Vd022"
rickhasen,2023-09-27 16:55:21+00:00,"Here's the full @KirkusReviews:
https://t.co/3o1sR9StyO"
rickhasen,2023-09-27 16:56:44+00:00,"@KirkusReviews Preorders of ""A Real Right to Vote,"" out Feb. 20:
Amazon: https://t.co/9xIgT8Z7bd
Bookshop: https://t.co/5OJh8rDnPj
Barnes and Noble: https://t.co/6tVgWOXV0P"
rickhasen,2023-09-27 16:43:34+00:00,"#ELB: “Voter Suppression, New York Style; Few states make it harder to participate in primary elections, which frequently determine the eventual winner.” https://t.co/RZFS3TDNA9"
rickhasen,2023-09-27 16:14:31+00:00,"#ELB: “Pluribus AM: All redistricting, all the time” https://t.co/xWAkemNT6J"
rickhasen,2023-09-27 16:08:42+00:00,#ELB: “Trump Lawyers Assail Gag Order Request in Election Case” https://t.co/NdFhD3wL6z
rickhasen,2023-09-27 01:51:00+00:00,ICYMI
rickhasen,2023-09-27 01:35:10+00:00,"#ELB: Watch Archived Video of Today’s Safeguarding Democracy Project Webinar, “How Should Platforms Handle Election Speech and Disinformation in 2024” https://t.co/bQufpj4aTf"
rickhasen,2023-09-27 00:50:14+00:00,#ELB: Fascinating Election Law Issue Raised in Petition for Review to California Supreme Court https://t.co/cHURrCNyYu
rickhasen,2023-09-27 00:34:32+00:00,#ELB: “Maine Referendum Spotlights Voting Rights for People Under Guardianship “ https://t.co/bJLphlyjQr
rickhasen,2023-09-27 00:24:21+00:00,"RT @“Panic responsibly.”

Great event today on platforms and election misinformation featuring @KatieHarbath and @Josh_Lawson (ex-Meta), @yoyoel (ex-twitter), and @Brandon1Tucker of Color Of Change and UCLA’s own @rickhasen. https://t.co/yBm8WpWjt0"
rickhasen,2023-09-26 17:36:21+00:00,RT @stevenmazie: +1
stevenmazie,2023-09-26 17:36:12+00:00,+1
TheAtlantic,2023-09-26 15:30:02+00:00,"""Sometimes it is more important for the law to be certain than to be right,"" @rickhasen writes. ""Nowhere is this principle more urgent than"" on the question of whether January 6 disqualifies Trump from the presidency.  https://t.co/2FrvL10xza"
rickhasen,2023-09-26 17:36:10+00:00,"RT @Special thanks to our incredible team lead by @RossDeuel, who argued before the Supreme Court in June and has been fighting Alabama most of his impressive career. He is joined by @SamSpital @scnaifeh, political participation fellow Brittany Carter, and many others on our staff. https://t.co/PqNGAzdgeA"
JNelsonLDF,2023-09-26 17:35:58+00:00,"Special thanks to our incredible team lead by @RossDeuel, who argued before the Supreme Court in June and has been fighting Alabama most of his impressive career. He is joined by @SamSpital @scnaifeh, political participation fellow Brittany Carter, and many others on our staff. https://t.co/PqNGAzdgeA"
rickhasen,2023-09-26 17:26:35+00:00,Join us today online!  (free registration required)
rickhasen,2023-09-26 16:57:48+00:00,RT @Read @rickhasen tell the truth about Section 3. Whatever is going to happen should happen sooner rather than later given the 2024 election. He’s right. https://t.co/lFL5wMLqRM
espinsegall,2023-09-26 16:19:38+00:00,Read @rickhasen tell the truth about Section 3. Whatever is going to happen should happen sooner rather than later given the 2024 election. He’s right. https://t.co/lFL5wMLqRM
rickhasen,2023-09-26 16:53:10+00:00,RT @Nedfoley: This is a great piece by ⁦@rickhasen⁩. Spot on in my view.  https://t.co/aGa9HtYaF4
Nedfoley,2023-09-26 16:52:51+00:00,This is a great piece by ⁦@rickhasen⁩. Spot on in my view.  https://t.co/aGa9HtYaF4
rickhasen,2023-09-26 16:49:31+00:00,#ELB: PlanScore Updated Through 2022 Elections https://t.co/3pGssf2yoH
rickhasen,2023-09-26 16:43:47+00:00,RT @The biggest danger of the attempts to disqualify Trump under the 14th Amendment may be that the Supreme Court doesn't settle the question. Via @rickhasen https://t.co/OJEpNS0jBq
NickRiccardi,2023-09-26 16:36:42+00:00,The biggest danger of the attempts to disqualify Trump under the 14th Amendment may be that the Supreme Court doesn't settle the question. Via @rickhasen https://t.co/OJEpNS0jBq
rickhasen,2023-09-26 16:34:42+00:00,#ELB: My New One in The Atlantic: “The Supreme Court Needs to Make a Call on Trump’s Eligibility; The question of the former president’s possible disqualification needs to be resolved sooner or later. Sooner is better than later.” https://t.co/LjIrQCGytC
rickhasen,2023-09-26 16:34:41+00:00,#ELB: “Ohio Sec. of State LaRose has flagged 641 cases of voter fraud. Less than 3% resulted in charges” https://t.co/JwbIOLQdZF
rickhasen,2023-09-26 16:20:09+00:00,"#ELB: “The High Cost of High Turnover; When local election officials leave their positions in record numbers, the costs to institutional knowledge and running elections are significant” https://t.co/1ZQl2VlRLV"
rickhasen,2023-09-26 16:20:08+00:00,"#ELB: “Seismic Shifts: How Economic, Technological, and Political Trends are Challenging Independent Counter-Election-Disinformation Initiatives in the United States” https://t.co/ffijUZKWrJ"
rickhasen,2023-09-26 16:13:47+00:00,#ELB: “Moving NY’s local elections to even years will drown out your voice” https://t.co/uUhB1803rX
rickhasen,2023-09-26 16:13:46+00:00,#ELB: “Independent State Legislature Doctrine and Election Litigation After Moore v. Harper” https://t.co/KYDLcDRHfi
rickhasen,2023-09-26 16:08:08+00:00,"#ELB: Without Noted Dissent, and As Expected, Supreme Court Denies Alabama’s Motion to Further Delay Having to Draw Second Black Majority Congressional District https://t.co/SF5fXyN3MH"
rickhasen,2023-09-26 16:04:20+00:00,RT @BREAKING: The US Supreme Court has denied Alabama's request to put a pause on a lower court ruling that struck down the state’s congressional map for likely violating the Voting Rights Act by diluting Black voters’ power. This allows the approval process for a new map to continue https://t.co/5XL7cEgwYK
hansilowang,2023-09-26 15:48:59+00:00,BREAKING: The US Supreme Court has denied Alabama's request to put a pause on a lower court ruling that struck down the state’s congressional map for likely violating the Voting Rights Act by diluting Black voters’ power. This allows the approval process for a new map to continue https://t.co/5XL7cEgwYK
rickhasen,2023-09-26 16:00:01+00:00,"RT @""Sometimes it is more important for the law to be certain than to be right,"" @rickhasen writes. ""Nowhere is this principle more urgent than"" on the question of whether January 6 disqualifies Trump from the presidency.  https://t.co/2FrvL10xza"
rickhasen,2023-09-25 00:10:43+00:00,"#ELB: “As Trump Prosecutions Move Forward, Threats and Concerns Increase” https://t.co/qNH1mUmhjS"
rickhasen,2023-04-10 16:58:17+00:00,"Videos from our https://t.co/11Osqrldjf event @UCLA_Law, Can American Democracy Survive the 2024 Elections?, Now Available. An outstanding cross-ideological, diverse group of leaders in law, media, politics, and tech."
ElectionLawBlog,2023-04-10 16:56:00+00:00,#ELB: Watch Archived Video of UCLA Law’s Safeguarding Democracy Project March 17 Conference: “Can American Democracy Survive the 2024 Elections?” https://t.co/llVAnbwMTU
rickhasen,2023-09-24 00:04:10+00:00,#ELB: “Mississippi high court blocks appointment of some judges in majority-Black capital city and county” https://t.co/D9Be1Ty9Ux
rickhasen,2023-09-23 23:55:48+00:00,#ELB: “Republicans Will Encourage Voting Before Election Day” https://t.co/JZNY4G79qh
rickhasen,2023-09-23 07:12:06+00:00,"RT @Thanks ⁦@NPRKelly⁩ for having me on All Things Considered to talk about Justice Thomas &amp; The Kochs. Having written books on both, there was lots to say! https://t.co/4VDAvznrf5"
JaneMayerNYer,2023-09-23 05:49:49+00:00,"Thanks ⁦@NPRKelly⁩ for having me on All Things Considered to talk about Justice Thomas &amp; The Kochs. Having written books on both, there was lots to say! https://t.co/4VDAvznrf5"
rickhasen,2023-09-22 22:26:21+00:00,#ELB: “Judge overseeing case to remove Trump from ballot agrees to order banning threats and intimidation” https://t.co/AV4uF2buh4
rickhasen,2023-09-22 18:23:39+00:00,#ELB: “Request for Gag Order on Trump Raises Free Speech Dilemma” https://t.co/lhxP3PRupg
rickhasen,2023-09-22 17:52:04+00:00,#ELB: “Anti-democratic moves by state lawmakers raise fears for 2024 election” https://t.co/VXyszu4ZUs
