username,orario,text
valdemings,2023-09-28 01:28:19+00:00,"Speaker McCarthy can try all he wants to shift the blame, but we all know who's responsible: the Speaker.

Leadership matters."
valdemings,2023-09-26 18:16:42+00:00,"You may not have heard it, but under President Biden, wages are rising faster than inflation.

America's workers are responsible for record profits. We are not where we need to be, but we are moving in the right direction.
https://t.co/AlS5NP5TJc"
valdemings,2023-09-23 00:55:56+00:00,"RT @The first bill I introduced was the Office of Gun Violence Prevention Act of 2023. Today, I stood alongside President Biden as he announced executive action to create the first National Office of Gun Violence Prevention. We are Organizing &amp; winning. Thank you @POTUS &amp; @VP! https://t.co/3HIxpZWJch"
MaxwellFrostFL,2023-09-22 23:56:07+00:00,"The first bill I introduced was the Office of Gun Violence Prevention Act of 2023. Today, I stood alongside President Biden as he announced executive action to create the first National Office of Gun Violence Prevention. We are Organizing &amp; winning. Thank you @POTUS &amp; @VP! https://t.co/3HIxpZWJch"
valdemings,2023-09-21 23:05:05+00:00,"The guiding light for political reporters should not be ""both sides."" It should be the truth, even if it's uncomfortable. And the truth is that the GOP has been hijacked by extremists who want to end our democracy. That story must be told."
valdemings,2023-09-20 21:10:55+00:00,"Fight over the issues, but every member has a responsibility to avoid a government shutdown. Keep the government open and functioning for the American people. https://t.co/Q1y2U2fQBl"
valdemings,2023-09-20 19:28:22+00:00,"Hours of foolishness from the GOP on the Judiciary Committee. They're terrified of the former president being held criminally accountable. They think he's above the law. He's not.

AG Garland bore it well. He stands on decades of honorable public service without fear or favor."
valdemings,2023-09-20 17:11:23+00:00,U.S. government contractors shouldn't have the power to unilaterally overturn U.S. national security policy. This should be common sense. https://t.co/ZsAF355p95
ThePlumLineGS,2023-09-15 18:16:25+00:00,"Important development: Senate Dems are demanding that the Pentagon turn over information about Elon Musk's Starlink contracts with the US military, to investigate whether there are safeguards in them to prevent another version of Musk's recent fiasco.

https://t.co/TKMBwu7pAt https://t.co/JINXfMrW0y"
valdemings,2023-09-19 21:35:19+00:00,"RT @Tomorrow from CNN: Is President Biden fixing too many roads?

Are Democrats too focused on capping prescription drug cost?

We discuss tonight!"
ammarmufasa,2023-09-19 03:55:33+00:00,"Tomorrow from CNN: Is President Biden fixing too many roads?

Are Democrats too focused on capping prescription drug cost?

We discuss tonight!"
mattyglesias,2023-09-19 03:03:49+00:00,I don’t think you can underrate the extent to which putting Trump back in office would be good for ratings https://t.co/WBYtsB7xGO
valdemings,2023-09-19 21:02:28+00:00,"We need to tell the whole story on the economy. President Biden has cut inflation by half and unemployment is at its lowest level in 50 years.

Should you be paid more? Yes!
Should we bring down costs? Yes!

But Biden deserves real credit.
https://t.co/lml69euEXn"
valdemings,2023-09-19 17:19:11+00:00,"On #NationalVoterRegistrationDay I am asking you to check with your family and friends and make sure they are registered. The power has always been in the hands of the people unless we choose to give it up.

""There's no such thing as a vote that doesn't matter."" - President Obama"
